Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,194.623001,16.708,16.708,0.0,52.441002,,,,51.473999,,,,,4.811,,,,125.433998,53.561001,119.378998,-65.818001,0.0,15.628,,,,,15.628,69.189001,,15.192,15.192,,,,8.686,,,,,,19.954,,,,19.954,43.832001,30.125,,,,,10.352,,,10.352,40.477,84.309001,0.0,24.51,,,0.0,,85.804001,110.314001,0.0,110.314001,194.623002,
06/30/1990,200.817001,16.622999,16.622999,0.0,55.595001,,,,52.424999,,,,,4.62,,,,129.263,56.042999,123.482002,-67.439003,0.0,15.511,,,,,15.511,71.553999,,15.518,15.518,,,,7.866,,,,,,24.552001,,,,24.552001,47.936001,30.337999,,,,,8.124,,,8.124,38.461999,86.398,0.0,24.559,,,0.0,,89.860001,114.419001,0.0,114.419001,200.817,
09/30/1990,204.888,19.166,19.166,0.0,53.780998,,,,53.972,,,,,4.078,,,,130.996994,57.801998,127.375999,-69.573997,0.0,16.089001,,,,,16.089001,73.890999,,14.571,14.571,,,,7.972,,,,,,26.151,,,,26.151,48.694,28.653,,,,,8.65,,,8.65,37.302999,85.997,0.0,24.563999,,,0.0,,94.327003,118.891003,0.0,118.891003,204.888002,
12/31/1990,206.395004,16.972,16.972,0.0,54.591,,,,55.875999,,,,,4.101,,,,131.539993,59.896,130.953995,-71.057999,0.0,14.959,,,,,14.959,74.855,,15.316,15.316,,,,7.938,,,,,,23.359998,,,,23.359998,46.613998,26.785999,,,,,9.312,,,9.312,36.097999,82.711997,0.0,24.584999,,,0.0,,99.098,123.682999,0.0,123.682999,206.394996,
03/31/1991,203.365997,11.434,11.434,0.0,52.956001,,,,57.896999,,,,,5.302,,,,127.588997,59.495998,131.852005,-72.356003,0.0,16.281,,,,,16.281,75.776999,,13.747,13.747,,,,6.706,,,,,,21.582,,,,21.582,42.035,25.822001,,,,,8.378,,,8.378,34.200001,76.235001,0.0,26.114,,,0.0,,101.016998,127.130999,0.0,127.130999,203.365999,
06/30/1991,201.863007,10.378,10.378,0.0,54.022999,,,,55.861,,,,,5.886,,,,126.148003,59.463001,133.367004,-73.903999,0.0,16.252001,,,,,16.252001,75.715002,,12.723,12.723,,,,5.795,,,,,,19.998999,,,,19.998999,38.516998,25.657,,,,,7.913,,,7.913,33.57,72.086998,0.0,26.204,,,0.0,,103.571999,129.775999,0.0,129.775999,201.862997,
09/30/1991,207.507004,13.439,13.439,0.0,56.036999,,,,55.002998,,,,,4.727,,,,129.205994,61.958,136.341995,-74.384003,0.0,16.343,,,,,16.343,78.301001,,14.41,14.41,,,,6.357,,,,,,21.224001,,,,21.224001,41.991001,23.347,,,,,8.755,,,8.755,32.102,74.093001,0.0,26.245001,,,0.0,,107.168999,133.414,0.0,133.414,207.507001,
12/31/1991,213.384995,21.636999,21.636999,0.0,52.300999,,,,54.716,,,,,4.484,,,,133.138,65.179001,141.505005,-76.325996,0.0,15.068,,,,,15.068,80.247001,,16.099001,16.099001,,,,8.614,,,,,,21.577999,,,,21.577999,46.291,21.063999,,,,,9.294,,,9.294,30.357999,76.648999,0.0,26.332001,,,0.0,,110.403999,136.736,0.0,136.736,213.384999,
03/31/1992,211.261002,20.021,20.021,0.0,51.567001,,,,53.373001,,,,,6.235,,,,131.195999,64.943001,142.216995,-77.274002,0.0,15.122,,,,,15.122,80.065001,,14.188,14.188,,,,6.917,,,,,,22.758999,,,,22.758999,43.863998,20.759001,,,,,8.244,,,8.244,29.003001,72.867,0.0,26.528,,,0.0,,111.865997,138.393997,0.0,138.393997,211.260997,
06/30/1992,212.654007,18.757,18.757,0.0,49.654999,,,,56.394001,,,,,5.869,,,,130.675003,67.074997,146.701996,-79.626999,0.0,14.904,,,,,14.904,81.978997,,12.811,12.811,,,,6.604,,,,,,21.294999,,,,21.294999,40.709999,20.066999,,,,,9.244,,,9.244,29.311,70.020999,0.0,26.68,,,0.0,,115.953003,142.633003,0.0,142.633003,212.654002,
