Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Income Available to Shareholders,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1997,,,0.75,,898.955017,,,,-484.063995,,,,-229.992996,184.897995,,-45.609001,,0.75,-0.75,-52.820999,86.467995,0.0,0.0,0.0,-83.061996,4.906,-56.535999,-51.629999,-53.130001,0.75,0.75,0.75,103.994003,0.75,0.75,0.75,103.994003,
06/30/1997,,,0.33,,776.742004,,,,-404.312988,,,,-242.093002,130.335999,,-15.321,,0.33,-0.33,-46.993,68.021998,0.0,0.0,0.0,-38.949001,4.904,-56.772999,-51.868999,-27.700002,0.33,0.33,0.33,104.266998,0.33,0.33,0.33,103.994003,
09/30/1997,,,0.61,,804.153992,,,,-401.278015,,,,-239.026001,163.850006,,-33.715,,0.61,-0.61,-61.332001,68.803005,0.0,120.565002,10.0,42.333,4.892,-51.123001,-46.231001,60.013004,-0.45,-0.45,-0.45,104.481003,-0.45,-0.45,-0.45,104.481003,
12/31/1997,,,0.81,,870.583984,,,,-457.678009,,,,-271.121002,141.785004,,-37.5,,0.81,-0.81,-15.006,89.279004,0.0,0.0,0.0,-89.492188,4.899,-100.525002,-95.626002,-100.738186,-0.9,-0.9,-0.9,106.519997,-0.9,-0.9,-0.9,106.519997,
03/31/1998,599.987976,319.707001,0.0,19.809,939.504028,-140.919006,-148.863998,-224.912003,-514.695007,-62.417999,-32.873001,-147.681,-242.972,181.837006,0.0,0.784,-40.473,4.506,-8.494,-44.460999,138.160007,-47.118999,91.041,0.0,0.0,91.041,-4.892,86.149,86.149007,0.78,0.78,0.78,110.973,0.78,0.78,0.78,111.134003,
06/30/1998,642.812012,166.421005,0.0,21.726,830.958984,-171.279999,-137.240005,-112.689003,-421.209015,-67.073997,-33.042999,-162.966995,-263.084015,146.666,0.0,-6.546,-42.717999,4.415,-8.958,-47.261002,92.858999,-29.790001,63.069,0.0,0.0,63.069,-6.476,56.593,56.592998,0.5,0.5,0.5,111.372002,0.5,0.5,0.5,111.528,
09/30/1998,760.119995,96.857002,0.0,15.907,872.883972,-200.039001,-199.339996,-51.384998,-450.764008,-65.519997,-34.576,-157.850998,-257.946991,164.173004,0.0,11.152,-42.737,3.962,-7.602,-46.376999,128.948006,-32.412998,96.535004,0.0,0.0,96.532997,-5.763,90.769997,90.772007,0.82,0.82,0.82,111.606003,0.82,0.82,0.82,111.606003,
12/31/1998,636.278992,206.931,0.0,14.701,857.911011,-132.072998,-169.154999,-122.237999,-423.466003,-73.731003,-33.645,-169.244003,-276.619995,157.824997,,26.461,-42.256001,4.464,-6.015,-43.806999,140.478998,-26.274,114.205002,0.0,0.0,114.205002,-5.762,108.443002,108.442998,0.96,0.96,0.96,113.626999,0.95,0.95,0.95,113.626999,
03/31/1999,594.531006,305.13501,0.0,15.029,914.695007,-133.848999,-127.244003,-219.078995,-480.171997,-69.501999,-37.619999,-150.108994,-257.230988,177.292007,0.0,12.269,-41.41,2.916,-6.889,-45.382999,144.178008,-37.115002,107.063004,0.0,0.0,107.063004,-5.763,101.300004,101.300006,0.88,0.88,0.88,114.681,0.88,0.88,0.88,114.742996,
06/30/1999,607.276978,173.171997,0.0,20.385,800.833984,-152.856995,-130.634995,-114.501999,-397.993988,-69.894997,-37.477001,-165.348007,-272.720001,130.119995,0.0,-5.396,-43.941002,2.611,-7.362,-48.693001,76.030994,-21.034,54.997002,0.0,0.0,54.997002,-5.762,49.235002,49.234994,0.43,0.43,0.43,115.080002,0.43,0.43,0.43,115.102997,
09/30/1999,701.482971,88.419998,0.0,22.983999,812.887024,-190.195007,-139.817001,-38.910999,-368.923004,-70.777,-31.451,-150.356995,-252.585007,191.378998,0.0,3.027,-45.931999,3.727,-8.321,-50.526001,143.879997,-40.189999,103.690002,0.0,0.0,103.690002,-5.763,97.927002,97.926998,0.85,0.85,0.85,115.386002,0.85,0.85,0.85,115.399002,
12/31/1999,624.049988,198.216003,0.0,24.747999,847.013977,-141.100998,-169.533997,-112.614998,-423.25,-70.738998,-30.711,-179.417007,-280.867004,142.897003,0.0,25.267,-45.445999,4.118,-7.889,-49.216999,118.947004,-15.051,103.896004,0.0,0.0,103.896004,-5.762,98.134004,98.134005,0.85,0.85,0.85,115.682999,0.85,0.85,0.85,115.689003,
03/31/2000,633.122009,284.035004,0.0,21.513,938.669983,-142.895004,-162.628998,-186.753006,-492.277008,-72.190002,-34.223999,-157.156006,-263.570007,182.822998,0.0,22.155001,-43.535,3.045,-10.923,-51.412998,153.565001,-42.473999,111.091003,0.0,0.0,111.091003,-5.763,105.328003,105.328001,0.91,0.91,0.91,116.108002,0.91,0.91,0.91,116.108002,
06/30/2000,715.104004,139.358994,0.0,22.389,876.85199,-167.800995,-179.770004,-82.559998,-430.131012,-73.805,-32.789001,-155.548004,-262.141998,184.578995,0.0,11.913,-43.466999,3.491,-12.571,-52.547001,143.944994,-43.602001,100.343002,-13.658,0.0,86.684998,-5.762,80.922997,94.580993,0.81,0.81,0.69,116.611,0.81,0.81,0.69,116.649002,
