Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1999,3864.537109,26.469999,26.469999,0.0,280.01001,,,212.334,41.801998,0.0,170.531998,0.0,133.119003,,,,,,,,651.932983,2651.7229,4786.5,-2134.820068,0.0,,560.880981,0.0,,,,,560.880981,3212.603882,,188.589005,188.589005,,,,656.948975,,,,,,349.613998,,,349.613998,1195.151978,314.933014,,,,,2432.468994,,,,2432.468994,2747.402008,3942.553986,0.0,303.003998,,,0.0,,-381.020996,-78.016998,0.0,-78.016998,3864.536987,
06/30/1999,3875.025879,23.559,23.559,0.0,241.054001,,,206.994995,43.362,0.0,163.632996,0.0,151.039993,,,,,,,,622.64801,2674.266113,4863.138184,-2188.87207,48.578999,,529.53302,0.0,,,,,529.53302,3252.378132,,194.591995,194.591995,,,,359.277008,,,,,,330.206009,,,330.206009,884.075012,312.743011,,,,,2423.48291,,,,2423.48291,2736.225922,3620.300934,0.0,643.75,,,0.0,,-389.024994,254.725006,0.0,254.725006,3875.02594,
09/30/1999,3818.326904,21.511999,21.511999,0.0,290.011993,271.040009,,169.753006,42.686001,0.0,127.067001,0.0,128.820999,,,,,,,,610.098022,2635.675049,4877.277832,-2241.603027,0.0,,572.554016,0.0,,,,,572.554016,3208.229065,,192.585007,192.585007,,,,313.139008,,,,,,328.013962,,,328.013962,833.737976,312.334991,294.933992,17.400999,17.400999,,2431.110107,,,,2431.110107,2743.445099,3577.183075,0.0,643.75,,,-1.656,-399.811005,-1.138983,241.144012,0.0,241.144012,3818.327087,
12/31/1999,3745.153,13.602,13.602,,245.148,245.148,,161.851,85.463,,34.869,41.519,155.67,,,,,,,,576.271,2609.203,4903.729,-2294.526,,,559.679,,,,,,559.679,3168.882,,166.725,166.725,,,,279.549,,,,,,343.181,,,343.181,789.455,303.469,287.155,16.314,16.314,,2403.422,,,,2403.422,2706.891,3496.346,,643.75,,,-8.015,-385.765,-1.163,248.807,,248.807,3745.153,
03/31/2000,3899.636963,14.826,14.826,0.0,240.707993,240.707993,,164.572006,39.688,0.0,124.884003,0.0,165.317001,,,,,,,,585.422974,2583.425049,4878.40918,-2294.983887,0.0,,730.789001,0.0,,,,,730.789001,3314.21405,,138.110001,138.110001,,,,458.406006,,,,,,361.012009,,,361.012009,957.528015,302.47699,287.12999,15.347,15.347,,2399.101074,,,,2399.101074,2701.578064,3659.106079,0.0,643.75,,,-16.891001,-384.981995,-1.345999,240.531006,0.0,240.531006,3899.637085,
06/30/2000,3866.311035,8.181,8.181,0.0,262.942993,,,156.852997,40.529999,0.0,116.322998,0.0,149.751007,,,,,,,,577.728027,2574.444092,4852.01709,-2277.572998,0.0,,714.138977,0.0,,,,,714.138977,3288.583069,,143.313004,143.313004,,,,471.066986,,,,,,338.422012,,,338.422012,952.802002,300.605011,,,,,2358.725098,,,,2358.725098,2659.330109,3612.132111,0.0,643.75,,,-19.097,,-370.474014,254.178986,0.0,254.178986,3866.311096,
09/30/2000,3778.64209,10.653,10.653,0.0,224.246994,224.246994,,120.767998,39.943001,0.0,80.824997,0.0,146.033005,,,,,,,,501.700989,2571.585938,4871.930176,-2300.343994,0.0,,705.35498,0.0,0.0,0.0,,,705.35498,3276.940918,,137.776001,137.776001,,,,418.287994,,,,,,334.100983,,,334.100983,890.164978,299.638,286.089001,13.549,13.549,,2352.535889,,,,2352.535889,2652.173889,3542.338867,0.0,643.76001,,,-19.077,-388.058014,-0.321987,236.303009,0.0,236.303009,3778.641876,
12/31/2000,3812.064,10.57,10.57,,247.438,247.438,,99.47,30.053,,29.462,39.955,138.212,,,,,,,,495.69,2559.215,4904.267,-2345.052,,,757.159,,,,,221.391,535.768,3316.374,,127.21,127.21,,,,469.395,,,,,,331.591,,,331.591,928.196,298.691,286.096,12.595,12.595,,2341.148,,,,2341.148,2639.839,3568.035,,643.88,,,-18.873,-380.656,-0.322,244.029,,244.029,3812.064,
03/31/2001,3888.751953,15.295,15.295,0.0,252.546005,252.546005,,98.796997,42.209999,0.0,56.587002,0.0,244.615005,,,,,,,,611.252991,2544.601074,4938.902832,-2394.302002,0.0,,732.89801,0.0,0.0,0.0,,,732.89801,3277.499084,,130.878998,130.878998,,,,441.34201,,,,,,324.666992,,,324.666992,896.888,274.737,263.113999,11.623,11.623,,2393.88208,,,,2393.88208,2668.61908,3565.50708,0.0,643.963013,,,-18.525,-301.871002,-0.321985,323.245026,0.0,323.245026,3888.752106,
12/31/2001,4298.732,15.582,15.582,0.0,220.442,,,113.894,58.181,0.0,55.713,0.0,220.318,,,,,,,,570.236,2915.31,5413.96,-2498.65,0.0,,813.186,0.0,0.0,0.0,,,813.186,3728.496,,171.923,171.923,,,,72.771,69.032,3.739,3.739,,,396.047,,,396.047,640.741,472.669,464.187,8.482,8.482,,2913.763,,,,2913.763,3386.432,4027.173,0.0,644.43,,,-17.646,,-355.225,271.559,0.0,271.559,4298.732,
03/31/2002,4384.87207,24.298,24.298,0.0,220.987,,,183.617996,56.749001,0.0,126.869003,0.0,248.242004,,,,,,,,677.14502,2893.239014,5520.032227,-2626.792969,0.0,,814.487976,0.0,0.0,0.0,,,814.487976,3707.72699,,142.526993,142.526993,,,,228.268997,,,,,,385.466034,,,385.466034,756.262024,473.653015,466.157015,7.496,7.496,,2898.998047,,,,2898.998047,3372.651062,4128.913086,0.0,644.484009,,,-17.57,,-370.954994,255.959015,0.0,255.959015,4384.872101,
