Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2014,7435.6,,,,,,,,,,,,4402.6,,,,,3033.0,,,,,,3033.0,7435.6,,,,,,,,,,,,,,,,991.4,,,,2435.6,,,,2435.6,,,,,,,0.0,,,0.0,,0.0,,
09/30/2014,,0.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,0.0,,
12/31/2014,8157.5,0.5,0.5,0.0,149.4,149.4,0.0,24.9,344.5,60.0,284.5,519.3,4958.6,7935.4,-2976.8,2.7,2.7,2676.9,1975.5,1975.5,0.0,90.0,444.3,167.1,7638.2,,278.7,109.6,103.2,0.0,65.9,368.4,252.5,0.0,0.0,115.9,137.1,0.0,114.6,784.2,1472.8,1472.8,0.0,0.0,1724.2,0.0,53.0,1255.7,415.5,3197.0,3981.2,0.0,0.0,0.0,0.0,0.0,0.0,4176.3,4176.3,0.0,4176.3,8157.5,
03/31/2015,8397.3,253.1,253.1,0.0,144.8,144.8,0.0,25.2,145.9,49.2,96.7,569.0,5114.9,8121.6,-3006.7,2.6,2.6,2710.8,1975.5,1975.5,0.0,106.2,440.3,188.8,7828.3,,323.6,89.5,96.5,,137.6,0.0,0.0,,,,74.7,,52.3,398.3,2746.0,2746.0,,,1754.0,,48.8,1284.6,420.6,4500.0,4898.3,0.0,2577.9,3.2,2574.7,0.0,,-25.1,2552.8,946.2,3499.0,8397.3,
06/30/2015,9356.9,136.8,136.8,0.0,123.6,123.6,0.0,28.2,853.3,91.8,761.5,1141.9,5483.6,8476.6,-2993.0,12.1,12.1,2719.3,1975.5,1975.5,0.0,110.8,444.6,188.4,8215.0,,403.5,67.6,96.9,,239.0,738.9,738.9,,,0.0,121.1,,107.4,1263.5,2745.9,2745.9,,,1786.7,,46.7,1326.2,413.8,4532.6,5796.1,0.0,,,,0.0,,2610.5,2610.5,950.3,3560.8,9356.9,
09/30/2015,8963.6,63.8,63.8,0.0,133.1,133.1,0.0,26.0,145.0,50.0,95.0,367.9,5857.9,8865.6,-3007.7,15.5,15.5,2722.3,1975.5,1975.5,0.0,120.1,435.6,191.1,8595.7,,542.4,82.9,70.6,80.1,308.8,245.0,245.0,,,0.0,64.1,,50.2,851.5,2746.0,2746.0,,,1816.5,,49.5,1337.1,429.9,4562.5,5414.0,0.0,2638.1,3.2,2634.9,0.0,-16.5,-25.3,2596.3,953.3,3549.6,8963.6,
12/31/2015,10035.6,930.9,930.9,0.0,152.4,152.4,0.0,32.8,119.5,,119.5,1235.6,6063.7,9052.3,-2988.6,13.8,13.8,2722.5,1975.5,1975.5,0.0,115.7,438.1,193.2,8800.0,,242.8,56.8,106.0,9.5,70.5,15.0,15.0,0.0,0.0,,203.0,0.0,188.0,460.8,2725.6,2725.6,0.0,0.0,1836.2,0.0,49.4,1348.1,438.7,4561.8,5022.6,0.0,4036.7,4.0,4032.7,0.0,46.9,-27.0,4056.6,956.4,5013.0,10035.6,
03/31/2016,10091.1,640.9,640.9,0.0,161.5,161.5,0.0,33.2,112.7,0.0,112.7,948.3,6400.9,9426.0,-3025.1,13.8,13.8,2728.1,1975.5,1975.5,0.0,117.7,437.3,197.6,9142.8,,457.6,58.7,101.0,90.8,207.1,15.0,15.0,,,,41.4,,30.9,514.0,2725.9,2725.9,,,1867.3,,48.9,1395.3,423.1,4593.2,5107.2,0.0,4041.1,4.0,4037.1,-6.0,14.0,-26.6,4022.5,961.4,4983.9,10091.1,
06/30/2016,10151.0,374.5,374.5,0.0,163.8,163.8,0.0,26.5,93.5,0.0,93.5,658.3,6747.1,9805.0,-3057.9,14.0,14.0,2731.6,1975.5,1975.5,0.0,120.4,441.3,194.4,9492.7,,563.7,118.8,89.0,65.1,290.8,0.0,0.0,,,,33.7,,27.1,597.4,2726.7,2726.7,,,1855.1,,40.6,1419.0,395.5,4581.8,5179.2,0.0,4045.8,4.0,4041.8,-6.2,-2.6,-26.2,4010.8,961.0,4971.8,10151.0,
09/30/2016,10281.8,132.6,132.6,0.0,159.5,159.5,0.0,26.4,116.2,0.0,116.2,434.7,7107.7,10200.5,-3092.8,1.8,1.8,2737.6,1975.5,1975.5,0.0,111.8,441.4,208.9,9847.1,,506.4,84.1,67.1,37.1,318.1,250.0,250.0,,,0.0,46.1,,40.5,802.5,2727.7,2727.7,,,1867.4,,43.5,1446.6,377.3,4595.1,5397.6,0.0,4013.9,0.1,4013.8,0.0,-56.7,-26.3,3930.9,953.3,4884.2,10281.8,
