Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
12/31/1989,,30.735001,29.149,-18.27,-43.405998,-1.792,,,,,,
03/31/1990,,26.827,31.007999,4.755,-9.32,53.27,,,,,,
06/30/1990,,32.436001,33.347,10.98,-91.539001,-14.776,,,,,,
09/30/1990,,31.834,34.705002,-37.477001,34.189999,63.251999,,,,63.251999,,
12/31/1990,,7.012,34.638,-14.822,-47.478001,-20.65,,,,,,
03/31/1991,,17.992001,38.651001,2.287,42.729,101.658997,,,,,,
06/30/1991,,7.287,40.451,-9.756,34.839001,72.820999,,,,,,
09/30/1991,,2.88,48.939999,-6.555,38.042,83.306999,,,,83.306999,,
12/31/1991,,-94.609001,44.299999,91.528,3.689,44.908001,,,,,,
03/31/1992,,8.808,43.678001,-4.226,-20.709999,27.549999,,,,,,
06/30/1992,,17.381001,44.320999,-27.006001,-2.003,32.693001,,,,,,
09/30/1992,,27.236,46.422001,32.780998,-57.959999,48.479,,,,48.479,,
12/31/1992,,17.511999,44.083,-39.098,11.028,33.525002,,,,,,
03/31/1993,,11.103,44.424999,16.712,-11.083,61.157001,,,,,,
06/30/1993,,-549.530029,46.463001,494.028992,44.005001,34.966999,,,,,,
09/30/1993,,3.188,35.368999,4.459,-38.056,4.96,,,,4.96,,
12/31/1993,,24.903999,43.317001,-30.223,-43.417999,-5.42,,,,,,
03/31/1994,,25.783001,39.950001,2.427,-33.049,35.111,,,,,,
06/30/1994,,48.509998,40.247002,-6.776,-70.112999,11.868,,,,,,
09/30/1994,,71.002998,39.763,15.102,-51.597,74.271004,,,,74.271004,,
12/31/1994,,35.224998,38.782001,0.37,-16.819,57.557999,,-37.771,,,,
03/31/1995,,21.686001,42.035999,-8.033,15.995,71.683998,,-41.659,,,,
06/30/1995,,30.844,44.196999,-89.867996,-1.072,-15.899,,-39.599998,,,,
09/30/1995,,19.791,45.819,31.642,-49.776001,47.476002,,-69.0,,,,
12/31/1995,,1.966,48.189999,-29.237,-23.621,-2.702,,-44.391998,,,,
03/31/1996,,-49.556999,49.252998,4.31,37.125999,41.132,,-45.108002,,,,
06/30/1996,,7.898,49.355999,-39.563999,-38.594002,-20.903999,,-26.059,,,,
09/30/1996,,16.936001,50.868,9.976,21.308001,99.087997,,-35.699001,,,,
12/31/1996,,11.764,48.672001,-5.317,-13.01,42.109001,,-30.889,,,,
03/31/1997,,25.993,44.498001,-4.462,18.856001,84.885002,,-35.640999,,,,
06/30/1997,,43.236,45.106998,-70.628998,45.330002,63.043999,,-38.105,,,,
