Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/24/1990,125.602997,-88.861,36.741997,-17.547001,19.195,-2.276,,0.632,17.551,-6.358,,0.0,0,11.193,0,11.193,,11.193,,0.22,0.22,51.132002,,,,,
06/16/1990,132.884995,-92.717003,40.167992,-18.783001,21.385,-2.783,,0.536,19.138,-7.143,11.995,0.0,0,11.995,0,11.995,,11.995,,0.233333,0.233333,51.715502,,,,,
09/08/1990,136.634995,-96.819,39.815994,-18.121,21.695,-3.034,,0.67,19.331,-7.252,12.079,0.0,0,12.079,0,12.079,,12.079,,0.233333,0.233333,52.027502,,,,,
12/29/1990,193.863998,-133.910004,59.953995,-26.615,33.339001,-3.573,,1.492,31.258001,-11.327,31.124001,0.0,0,19.931,0,19.931,,19.931001,,0.366667,0.366667,54.129747,,,,,
03/23/1991,153.195007,-109.682999,43.512009,-23.237,20.275,-2.53,,0.629,18.374,-6.938,11.436,0.0,0,11.436,0,11.436,,11.435999,,0.2,0.2,57.375999,,,,,
06/15/1991,159.147995,-112.540001,46.607994,-23.643,22.965,-2.645,,0.447,20.767,-7.755,13.012,0.0,0,13.012,0,13.012,,13.012,,0.23,0.23,57.487,,,,,
09/07/1991,160.009995,-113.556,46.453995,-22.396,24.058001,-3.208,,0.445,21.295001,-8.051,13.244,0.0,0,13.244,0,13.244,,13.244001,,0.23,0.23,57.512001,,,,,
12/28/1991,222.647995,-163.132004,59.515991,-32.316002,27.200001,-4.634,,0.347,22.913001,-9.054,13.859,0.0,0,13.859,0,13.859,,13.859001,,0.24,0.24,56.935001,,,,,
03/21/1992,173.938995,-126.551003,47.387993,-24.84,22.548,-3.439,,0.303,19.412,-7.317,12.095,0.3,0,12.395,0,12.395,,12.095001,,0.21,0.22,57.673,,,,,
06/13/1992,184.098999,-131.983994,52.115005,-25.959,26.156,-3.409,,0.3,23.047,-8.588,14.459,0.0,0,14.459,0,14.459,,14.459,,0.25,0.25,57.852001,,,,,
09/05/1992,184.636993,-142.697006,41.939987,-26.844999,15.095,-2.776,,0.298,12.617,-6.444,6.173,0.0,0,6.173,0,6.173,,6.173,,0.1,0.1,57.966,,,,,
01/02/1993,251.867004,-194.339996,57.527008,-35.789001,21.738001,-2.947,,0.425,19.216001,-6.606,12.61,0.0,0,12.61,0,12.61,,12.610001,,0.22,0.22,58.074997,,,,,
03/27/1993,181.817993,-138.766998,43.050995,-26.914,16.136999,-2.342,,0.267,14.061999,-5.427,8.635,0.0,0,8.635,0,8.635,,8.634999,,0.15,0.15,57.886002,,,,,
06/19/1993,189.313995,-141.589005,47.724991,-28.235001,19.49,-2.45,,0.193,17.233,-6.746,10.487,0.0,0,10.487,0,10.487,,10.487,,0.18,0.18,57.676998,,,,,
09/11/1993,182.046997,-138.656006,43.390991,-27.698,15.693,-2.734,0.0,0.186,13.145,-7.336,5.809,0.0,0,5.809,0,5.809,,5.809,,0.1,0.1,57.681,,,,,
01/01/1994,242.328995,-186.802994,55.526001,-36.189999,19.336,-3.585,,-228.800003,-213.049003,86.772003,-126.277,0.0,0,-126.277,0,-126.277,,-126.276999,,-2.19,-2.19,57.683998,,,,,
03/26/1994,176.811996,-131.311996,45.5,-26.106001,19.393999,-2.962,0.0,0.128,16.559999,-6.855,9.705,0.0,0,9.705,0,9.705,,9.704999,,0.17,0.17,57.696999,,,,,
06/18/1994,183.334,-134.453995,48.880005,-25.865999,23.014,-3.26,0.0,0.129,19.883,-8.415,11.468,0.0,0,11.468,0,11.468,,11.468,,0.2,0.2,57.709999,,,,,
09/10/1994,182.149002,-133.505005,48.643997,-24.634001,24.01,-3.657,0.0,0.133,20.486,-8.274,12.212,0.0,0,12.212,0,12.212,,12.212,,0.21,0.21,57.847,,,,,
12/31/1994,248.972,-180.238007,68.733994,-35.827999,32.905998,-5.33,0.0,0.321,27.896998,-11.188,16.709,0.0,0,16.709,0,16.709,,16.708999,,0.29,0.29,57.773998,,,,,
03/25/1995,194.559006,-142.417007,52.141998,-27.57,24.572001,-4.544,0.0,0.26,20.288,-8.217,12.071,0.0,0,12.071,0,12.071,,12.071,,0.21,0.21,57.819,,,,,
06/17/1995,203.192001,-148.985992,54.206009,-29.323,24.882999,-4.843,0.0,0.225,20.264999,-8.134,12.131,0.0,0,12.131,0,12.131,,12.131,,0.21,0.21,57.905998,,,,,
09/09/1995,197.529007,-145.238998,52.290009,-29.087,23.202999,-4.671,0.0,0.171,18.702999,-7.577,11.126,0.0,0,11.126,0,11.126,,11.125999,,0.19,0.19,57.848999,,,,,
12/31/1995,263.971008,-191.826996,72.144012,-36.339001,35.805,-6.172,,3.579,33.212,-15.237,17.975,0.0,0,17.975,0,17.975,,17.975,,0.31,0.31,57.880001,,,,,
03/23/1996,201.723007,-145.822998,55.900009,-29.728001,26.172001,-4.264,0.0,0.18,22.088001,-9.011,13.077,0.0,0,13.077,0,13.077,,13.077001,0.23,0.23,0.23,57.903,,,,,
06/15/1996,211.354996,-154.787994,56.567001,-30.099001,26.468,-4.446,0.0,0.252,22.274,-8.67,13.604,0.0,0,13.604,0,13.604,,13.604,0.23,0.23,0.23,58.041,,,,,
09/07/1996,213.098007,-155.274002,57.824005,-30.455999,27.368,-4.388,0.0,0.208,23.188,-9.184,14.004,0.0,0,14.004,0,14.004,,14.004,0.24,0.24,0.24,58.330002,,,,,
12/28/1996,296.950012,-216.085999,80.864014,-41.382,39.481998,-6.142,0.0,0.758,34.097998,-13.674,20.424,0.0,0,20.424,0,20.424,,20.423998,0.35,0.35,0.35,58.363998,,,,,
03/22/1997,220.229996,-164.084,56.145996,-32.575001,23.570999,-4.361,0.0,0.227,19.436999,-7.599,11.838,0.0,0,11.838,0,11.838,,11.837999,0.2,0.2,0.2,58.285999,0.2,0.2,0.2,58.419998,
