Date,Total Assets,Cash & Cash Equivalents,Interbanking Assets,Fed Funds Sold & Repos,Other Interbank Assets,ST And LT Investments,Trading Securities/FVTPL,Available for Sales/FVTOCI,Held to Maturity/Amortized at Cost,Other Investments,Net Receivables,Total Loans,Reserve for Loan Losses,Net Loans,Net Fixed Assets,"Property, Plant & Equip",Operating Lease Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Total Deferred Tax Assets,Total Derivative Assets,Discontinued Operations,Customer Acceptances & Liab,Other Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Total Deposits,ST Borrowings & Repos,Trading Account Liabilities,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,ST Borrowings,LT Debt,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,LT Borrowings,Pension Liabilities,Pensions,Other Post-Ret Benefits,Total Deferred Tax Liabilities,Total Derivative Liabilities,Other Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2010,58060.5,1527.3,,,,8581.8,93.5,,,8488.3,914.6,32025.7,-180.8,31844.9,11024.8,93.8,10931.0,440.9,,,,,,,3726.2,,,,,,,4853.6,55.7,55.7,,,,,41369.1,,,,41369.1,,,,,,3253.1,49531.5,0.0,8405.8,2.0,8403.8,-0.1,82.9,39.2,8527.8,1.2,8529.0,58060.5,
06/30/2010,54916.8,10666.4,,,,216.1,216.1,,,0.0,818.7,28883.2,-337.8,28545.4,11042.5,91.8,10950.7,407.9,239.4,168.5,,,,,3219.8,,,,,,,4708.9,46.9,46.9,,,,,38276.5,,,,38276.5,,,,,,3250.6,46282.9,0.0,8421.1,2.0,8419.1,-4.0,225.0,-9.7,8632.4,1.5,8633.9,54916.8,
09/30/2010,52982.0,11178.0,,,,45.2,45.2,,,0.0,682.5,26753.4,-397.1,26356.3,11054.8,90.3,10964.5,391.4,255.1,136.3,,,,,3273.8,,,,,,,4788.6,123.0,123.0,,,,,35940.7,,,,35940.7,,,,,,3298.9,44151.2,0.0,8428.6,2.0,8426.6,-4.0,403.9,1.1,8829.6,1.2,8830.8,52982.0,
12/31/2010,51419.7,11204.2,,,,411.9,33.6,,,378.3,532.3,24628.6,-416.2,24212.4,11219.0,79.2,11139.8,459.6,340.4,119.2,75.6,,,,3304.7,,,,,,,4536.2,126.3,126.3,0.0,0.0,,126.3,34028.9,0.0,0.0,,34028.9,188.8,139.2,49.6,,,3618.7,42498.9,0.0,8436.1,2.0,8434.1,-8.8,505.4,-9.6,8923.1,-2.3,8920.8,51419.7,
03/31/2011,50675.2,5686.8,,,,6430.8,13.9,6213.2,186.4,17.3,516.1,23736.7,-402.5,23334.2,11118.4,78.2,11040.2,376.5,277.4,99.1,,,,,3212.4,,,,,,,4294.6,205.4,205.4,,,,,33686.6,,,,33686.6,,,,,,3494.6,41681.2,0.0,8442.4,2.0,8440.4,-9.9,563.9,-4.1,8992.3,1.7,8994.0,50675.2,
06/30/2011,48009.6,7355.7,,,,2995.9,12.6,2782.5,178.1,22.7,528.9,22284.7,-424.0,21860.7,10997.9,77.5,10920.4,348.6,264.5,84.1,,,,,3921.9,,,,,,,4428.1,230.6,230.6,,,,,30891.1,,,,30891.1,,,,,,3516.9,39066.7,0.0,8449.4,2.0,8447.4,-11.5,515.9,-12.3,8941.5,1.4,8942.9,48009.6,
09/30/2011,44477.8,6889.1,,,,800.4,77.3,530.4,175.6,17.1,534.0,21812.3,-414.5,21397.8,11270.1,79.1,11191.0,338.0,264.5,73.5,,,,,3248.4,,,,,,,4958.9,93.5,93.5,,,,,27001.0,,,,27001.0,,,,,,3520.2,35573.6,0.0,8455.8,2.0,8453.8,-12.5,499.6,-39.4,8903.5,0.7,8904.2,44477.8,
12/31/2011,45263.4,7436.8,,,,1300.6,42.8,954.1,213.4,90.3,729.5,19905.9,-407.8,19498.1,12085.9,79.5,12006.4,409.5,345.9,63.6,,,,,3803.0,,,,,,,6193.7,66.2,66.2,0.0,0.0,,66.2,26307.7,0.0,0.0,,26307.7,195.1,144.9,50.2,2088.0,,1526.6,36377.3,0.0,8461.3,2.0,8459.3,-12.8,517.7,-82.6,8883.6,2.5,8886.1,45263.4,
03/31/2012,44148.3,6336.1,,,,1355.2,21.0,1016.9,235.5,81.8,700.1,20490.6,-420.0,20070.6,11982.1,78.1,11904.0,380.8,330.8,50.0,,,,,3323.4,,,,,,,6814.7,92.0,92.0,,,,,25101.1,,,,25101.1,,,,,,3684.2,35692.0,0.0,8473.7,2.0,8471.7,-16.5,85.6,-89.6,8453.2,3.1,8456.3,44148.3,
