Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investments & Loans Income (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Operating (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,Extraordinary & Accounting Items,Income (Loss) incl. Minority Interest,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2013,1045,795.0,1366.0,1366.0,-571.0,250.0,55.0,0.0,55.0,0.0,70.0,125.0,-241.0,804.0,-245.0,0.0,245.0,559.0,-3.0,3.0,556.0,-211.0,345.0,-1.0,-1.0,0.0,346.0,0.0,346.0,-5.0,0.0,341.0,341.0,-71.45,451.0,0.76,0.76,0.595455,458.0,0.74,0.74,0.583996,
06/30/2013,1274,784.0,1337.0,1337.0,-553.0,490.0,251.0,0.0,251.0,0.0,69.0,170.0,-201.0,1073.0,-267.0,0.0,267.0,806.0,-3.0,3.0,803.0,-299.0,504.0,-38.0,-38.0,0.0,542.0,1.0,543.0,-5.0,0.0,538.0,538.0,-108.35,440.0,1.22,1.14,0.890114,448.0,1.2,1.12,0.878147,
09/30/2013,868,799.0,1340.0,1340.0,-541.0,69.0,0.0,0.0,0.0,0.0,83.0,-14.0,-207.0,661.0,-269.0,0.0,269.0,392.0,-4.0,4.0,388.0,-136.0,252.0,-8.0,-8.0,0.0,260.0,0.0,260.0,-5.0,0.0,255.0,255.0,-1.0,436.0,0.58,0.56,0.56422,445.0,0.57,0.55,0.547753,
12/31/2013,864,789.0,1334.0,1334.0,-545.0,75.0,-5.0,0.0,-5.0,0.0,67.0,13.0,-190.0,674.0,-331.0,0.0,331.0,343.0,-3.0,3.0,340.0,-129.0,211.0,-59.0,-59.0,0.0,270.0,0.0,270.0,-5.0,0.0,265.0,265.0,-5.85,443.0,0.61,0.47,0.451806,443.0,0.6,0.47,0.451806,
03/31/2014,936,766.0,1296.0,1296.0,-530.0,170.0,0.0,0.0,0.0,0.0,61.0,109.0,-185.0,751.0,-392.0,0.0,392.0,359.0,-4.0,4.0,355.0,-136.0,219.0,0.0,0.0,0.0,219.0,0.0,219.0,-5.0,0.0,214.0,214.0,-78.0,427.0,0.5,0.5,0.318501,435.0,0.49,0.49,0.31069,
06/30/2014,937,662.0,1175.0,1175.0,-513.0,275.0,0.0,0.0,0.0,0.0,73.0,202.0,-165.0,772.0,-272.0,0.0,272.0,500.0,-2.0,2.0,498.0,-191.0,307.0,0.0,0.0,0.0,307.0,0.0,307.0,-2.0,0.0,305.0,305.0,-66.0,422.0,0.72,0.72,0.566351,430.0,0.71,0.71,0.556512,
09/30/2014,912,624.0,1132.0,1132.0,-508.0,288.0,0.0,0.0,0.0,0.0,81.0,207.0,-140.0,772.0,-209.0,0.0,209.0,563.0,-2.0,2.0,561.0,-200.0,361.0,2.0,2.0,0.0,359.0,0.0,359.0,0.0,0.0,359.0,359.0,-141.0,415.0,0.87,0.87,0.53012,423.0,0.85,0.85,0.516667,
12/31/2014,786,614.0,1127.0,1127.0,-513.0,172.0,0.0,0.0,0.0,0.0,82.0,90.0,-138.0,648.0,-225.0,0.0,225.0,423.0,-2.0,2.0,421.0,-159.0,262.0,-1.0,-1.0,0.0,263.0,0.0,263.0,0.0,0.0,263.0,263.0,-50.05,413.0,0.65,0.65,0.513196,413.0,0.64,0.64,0.513196,
03/31/2015,832,583.0,1097.0,1097.0,-514.0,249.0,5.0,0.0,5.0,0.0,77.0,167.0,-125.0,707.0,-233.0,0.0,233.0,474.0,-1.0,1.0,473.0,-181.0,292.0,0.0,0.0,0.0,292.0,0.0,292.0,0.0,0.0,292.0,292.0,-98.0,398.0,0.73,0.73,0.487437,405.0,0.72,0.72,0.478025,
06/30/2015,750,549.0,1064.0,1064.0,-515.0,201.0,7.0,0.0,7.0,0.0,106.0,88.0,-198.0,552.0,-254.0,0.0,254.0,298.0,-3.0,3.0,295.0,-113.0,182.0,0.0,0.0,0.0,182.0,0.0,182.0,0.0,0.0,182.0,182.0,-28.0,381.0,0.48,0.48,0.404199,387.0,0.47,0.47,0.397649,
