Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
12/31/2007,94,-142,134,-568,,,-568,670.0,,,670,,476,486,509.0,,,-23.0,,,0.0,0.0,0.0,,,,,-10,128,0.0,-7,,,,0.0,0.0,0.0,135,,698,,379,
03/31/2008,-173,-214,155,-348,6.0,64.0,-418,234.0,255.0,,-21,,405,-52,4.0,,,-56.0,,,0.0,0.0,0.0,,,,,457,-1778,0.0,-1596,,,,0.0,0.0,0.0,-182,,-1546,7.0,470,
06/30/2008,-246,197,125,-470,,21.0,-491,-98.0,-501.0,,403,,-14,-16,7.0,,,-23.0,,,,,,,,,,2,349,,481,,,,,,,-132,,89,8.0,164,
09/30/2008,941,136,138,753,,-145.0,898,-86.0,372.0,,-458,,65,-24,5.0,,,-29.0,,,0.0,0.0,0.0,,,,,89,-525,0.0,-533,,,,0.0,0.0,0.0,8,,481,1.0,710,
12/31/2008,139,-109,133,5,,33.0,-28,110.0,249.0,,-139,,-18,362,397.0,,,-35.0,,,0.0,0.0,0.0,,,,,-380,685,0.0,696,,,,0.0,0.0,0.0,-11,,806,58.0,187,
03/31/2009,80,32,132,-78,13.0,10.0,-101,-6.0,194.0,,-200,0.0,-27,-51,0.0,,0.0,-51.0,-51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,-84,0.0,-77,-119.0,64.0,-22.0,0.0,0.0,0.0,-7,,-31,,226,
06/30/2009,-116,-78,136,-186,9.0,16.0,-211,12.0,-165.0,,177,,-110,-46,0.0,,0.0,-46.0,-46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64,82,0.0,146,-808.0,963.0,-9.0,0.0,0.0,0.0,-64,,-144,2.0,172,
09/30/2009,573,238,131,220,8.0,-11.0,223,-16.0,-52.0,,36,,-27,-43,0.0,,0.0,-43.0,-43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,-1115,0.0,-840,-838.0,1.0,-3.0,0.0,0.0,0.0,-275,,-569,4.0,165,
12/31/2009,224,-43,157,11,8.0,1.0,2,99.0,131.0,,-32,,-86,-58,0.0,,0.0,-58.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-28,-62,0.0,-31,753.0,6.0,-790.0,0.0,0.0,0.0,-31,,76,1.0,198,
03/31/2010,281,-47,158,112,6.0,14.0,92,58.0,161.0,,-103,,143,-66,0.0,,0.0,-66.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209,-296,0.0,-295,-36.0,0.0,-259.0,0.0,0.0,0.0,-1,,128,3.0,144,
