Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,1896.648,148.177,148.169,0.008,149.368,56.988,,25.324,,,,,1573.779,,,,1896.648,,,,,,,,,,,,,,,,53.572,53.572,,,,722.379,,,,,22.868,,,22.868,798.819,,,,,,,,,,0.416,1089.057,,,,,-246.095,843.378,254.451,1097.829,,
06/30/1997,1874.891,42.479,42.039,0.44,144.067,61.27,,42.368,,,,,1645.977,,,,1874.891,,,,,,,,,,,,,,,,64.887,64.887,,,,707.393,,,,,22.745,,,22.745,795.025,,,,,,,,,,0.456,1092.213,,,,,-275.761,816.908,262.958,1079.866,,
09/30/1997,2595.598,30.218,28.527,1.691,153.875,71.709,,55.633,,,,,2355.872,,,,2595.598,,,,,,,,,,,,,,,,79.768,79.768,,,,1436.419,,,,,28.447,,,28.447,1544.634,0.0,,,,,,,0.0,1544.634,0.457,1095.306,,,,,-303.725,792.038,258.926,1050.964,2595.598,
12/31/1997,3009.464,25.16,23.462,1.698,164.74,77.687,,190.701,,,,,2628.863,,,,3009.464,0.0,,,0.0,,,0.0,,,,,,0.0,0.0,,121.164,121.164,,,,1566.014,,,,,30.374,,,30.374,1717.552,0.0,,0.0,,,,0.0,0.0,1717.552,0.0,1336.558,,,,,-314.935,1021.623,270.289,1291.912,3009.464,
03/31/1998,16232.0,293.0,293.0,,563.0,563.0,,69.0,,,,,571.0,,,,1496.0,9852.0,,,781.0,,,4103.0,3473.0,3473.0,0.0,,,630.0,14736.0,,277.0,277.0,,,,1365.0,,,,,1264.0,,,1264.0,2906.0,6744.0,,1065.0,,,,1065.0,7809.0,10715.0,175.0,4872.0,,,,,-107.0,4940.0,577.0,5517.0,16232.0,
06/30/1998,16253.0,487.0,487.0,,593.0,593.0,,69.0,,,,,556.0,,,,1705.0,9714.0,,,734.0,,,4100.0,3554.0,3554.0,0.0,,,546.0,14548.0,,237.0,237.0,,,,988.0,,,,,1194.0,,,1194.0,2419.0,7085.0,,1110.0,,,,1110.0,8195.0,10614.0,175.0,5070.0,,,,31.0,-148.0,5128.0,511.0,5639.0,16253.0,
09/30/1998,16227.0,260.0,260.0,,640.0,640.0,,67.0,,,,,622.0,,,,1589.0,9853.0,9853.0,,768.0,,,4017.0,3602.0,3602.0,0.0,,,415.0,14638.0,,271.0,271.0,,,,982.0,,,,,1312.0,,,1312.0,2565.0,7436.0,,1035.0,,,,1035.0,8471.0,11036.0,158.0,2504.0,,,,1619.0,327.0,4608.0,583.0,5191.0,16227.0,
12/31/1998,13417.0,157.0,157.0,,484.0,484.0,,58.0,,,,,75.0,,,,774.0,7877.0,8776.0,-899.0,379.0,,,4387.0,2714.0,,,,,1673.0,12643.0,,169.0,169.0,,,,687.0,,,,,891.0,,,891.0,1747.0,5802.0,,987.0,,,,987.0,6789.0,8536.0,149.0,4575.0,,,,2.0,-89.0,4637.0,244.0,4881.0,13417.0,
03/31/1999,13137.0,180.0,180.0,0.0,465.0,465.0,,58.0,58.0,0.0,0.0,0.0,84.0,,,,787.0,7745.0,,,387.0,,,4218.0,2728.0,,,,,1490.0,12350.0,,178.0,178.0,,,,241.0,,,,,1059.0,,,1059.0,1478.0,5942.0,,1906.0,,,,1906.0,7848.0,9326.0,148.0,4591.0,,,0.0,-959.0,-191.0,3589.0,222.0,3811.0,13137.0,
06/30/1999,13088.0,169.0,169.0,0.0,510.0,,,60.0,60.0,0.0,0.0,0.0,78.0,,,,817.0,7712.0,8584.0,-872.0,401.0,,,4158.0,2717.0,,,,,1441.0,12271.0,,172.0,172.0,,,,209.0,,,,,1001.0,,,1001.0,1382.0,5925.0,,1881.0,,,,1881.0,7806.0,9188.0,148.0,4599.0,,,0.0,,-1060.0,3687.0,213.0,3900.0,13088.0,
09/30/1999,13238.0,195.0,195.0,0.0,536.0,,,63.0,63.0,0.0,0.0,0.0,77.0,,,,871.0,7838.0,8103.0,-265.0,380.0,,,4149.0,2685.0,,,,,1464.0,12367.0,,188.0,188.0,,,,233.0,,,,,1014.0,,,1014.0,1435.0,6015.0,,1892.0,,,,1892.0,7907.0,9342.0,136.0,4568.0,,,0.0,,-1038.0,3666.0,230.0,3896.0,13238.0,
