Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Adjustments,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Sales,EV/EBITDA,EV/EBIT,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
06/30/1999,742.427992,-26.948,0.0,0.0,0.0,,715.479992,28.904999,0.0,0.0,,,,,,19.755909,,
09/30/1999,1234.947952,-24.797001,0.0,0.0,0.0,,1210.150951,31.972999,0.0,0.0,,,,1521.839943,1497.042942,33.317301,,
12/31/1999,2396.507886,-59.983002,0.0,0.0,0.0,,2336.524884,70.359,0.0,0.0,,,,2628.954114,2568.971112,55.573328,,
03/31/2000,1441.11025,-61.224998,0.0,0.0,0.0,,1379.885252,75.438999,0.0,0.0,21.512304,146.469087,191.650732,1565.36375,1504.138752,32.435834,,
06/30/2000,1172.493563,-56.224998,0.0,0.0,0.0,,1116.268565,83.426998,0.0,0.0,13.016191,68.390428,85.120373,1255.15575,1198.930752,25.973023,,
09/30/2000,734.842034,-53.016998,0.0,0.0,0.0,,681.825036,87.684999,0.0,0.0,6.275715,39.379984,53.052057,784.244,731.227002,15.773493,,
12/31/2000,206.292501,-36.023,0.0,0.0,0.0,,170.269502,80.089004,0.0,0.0,1.490911,44.32947,,205.9315,169.908501,3.92055,,
03/31/2001,117.546467,-30.278999,0.0,0.0,0.0,,87.267468,72.634003,0.0,0.0,0.741641,,,117.118968,86.839968,1.983622,,
06/30/2001,433.803309,-68.597,0.0,0.0,0.0,,365.206309,107.095997,0.0,0.0,3.109515,,,389.948584,321.351584,7.395834,,
09/30/2001,229.809919,-69.783001,0.0,0.0,0.0,,160.026918,96.487997,0.0,0.0,1.490467,,,229.837762,160.054761,3.231039,,
12/31/2001,537.832257,-72.420002,0.0,0.0,0.0,,465.412255,95.665998,0.0,0.0,4.244178,,,535.979808,463.559806,9.319802,,
03/31/2002,589.854452,-75.466,0.0,0.0,0.0,,514.388452,96.402998,0.0,0.0,4.689346,,,585.717699,510.2517,10.133337,,
06/30/2002,250.534266,-78.912001,0.0,0.0,0.0,,171.622265,93.481998,0.0,0.0,1.592679,,,249.751866,170.839866,3.349773,,
09/30/2002,194.261497,-80.333002,0.0,0.0,0.0,,113.928494,93.685005,0.0,0.0,1.052302,,,200.286399,119.953397,2.213923,,
12/31/2002,279.31518,-61.865001,0.0,0.0,0.0,,217.450179,96.111996,0.0,0.0,2.007906,94.873549,,289.281894,227.416894,4.180609,,
03/31/2003,332.888914,-63.159,0.0,0.0,0.0,,269.729914,99.063004,0.0,0.0,2.46976,57.474944,,347.249213,284.090213,5.116855,,
06/30/2003,447.161111,-64.164,0.0,0.0,0.0,,382.997112,104.231003,0.0,0.0,3.439981,52.065948,198.238673,473.121524,408.957525,7.117582,,
09/30/2003,527.23372,-44.878,0.0,0.0,0.0,,482.35572,110.428999,0.0,0.0,4.162006,51.129502,115.148179,567.98404,523.10604,8.801148,,
12/31/2003,828.249825,-137.902002,0.0,0.0,0.0,,690.347823,232.532006,0.0,0.0,5.526319,53.354032,86.989393,831.33705,693.435048,10.460449,,
