Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
04/01/1990,10.58,10.68,10.68,,18.592697,2.469944,1.766199,-0.22,-0.08,,-0.22,-0.08,-0.08,0.0,0.199906,,1.334216,-19.63639,
07/01/1990,10.434,10.644,10.644,,19.19457,2.795472,2.135475,-0.8,-0.1,,-0.8,-0.1,-0.1,0.0,1.660278,,1.13111,-20.887866,
09/30/1990,10.433,10.414,10.414,,18.842233,2.221337,1.578452,-0.7,-0.7,,-0.7,-0.7,-0.7,0.0,0.627905,,3.038915,-21.405158,
12/30/1990,10.39,10.4115,10.4115,,17.978101,1.922105,1.354464,-0.35,-0.35,-0.35,-0.35,-0.35,-0.35,0.0,-0.152428,,1.77796,-21.829451,
03/31/1991,10.49,10.463,10.463,,17.122335,1.862372,1.231004,-0.48,-0.48,,-0.48,-0.48,-0.48,0.0,0.367008,,0.738322,-22.265205,
06/30/1991,10.491,10.519,10.519,,16.972716,2.117216,1.511646,-0.27,-0.27,,-0.27,-0.27,-0.27,0.0,0.877365,,0.992851,-22.643695,
09/29/1991,10.491,11.127,11.127,,16.022109,1.955963,1.395435,-0.11,-0.11,,-0.11,-0.11,-0.11,0.0,0.702256,,1.192451,-22.56944,
12/29/1991,10.484,10.484,10.484,,17.052365,2.545403,1.962514,-0.45,-0.45,-0.45,-0.45,-0.45,-0.45,0.0,0.237696,,1.005437,-22.840995,
03/29/1992,10.541,10.526,10.526,,16.32757,1.919533,1.299449,-0.76,-0.18,,-0.76,-0.18,-0.18,0.0,0.267053,,1.245233,-22.968124,
06/28/1992,20.541,11.749,11.749,,14.609073,1.688654,1.131671,-0.89,-0.25,,-0.89,-0.25,-0.25,0.0,-0.293727,,2.562095,-10.449686,
09/27/1992,22.028999,21.996,21.996,,8.364294,0.84279,0.537143,-0.14,-0.14,,-0.14,-0.14,-0.14,0.0,-0.479042,,1.396296,-9.842754,
12/27/1992,22.027,22.027,22.027,,8.204113,0.992328,0.640895,-0.28,-0.28,-0.28,-0.28,-0.28,-0.28,0.0,0.182639,,1.754211,-10.565124,
03/31/1993,22.027,22.027,22.027,,7.648341,0.817133,0.530939,-0.16,-0.16,,-0.16,-0.16,-0.16,0.0,0.150043,,1.722613,-10.702501,
06/27/1993,22.027,22.025999,22.025999,,7.86121,0.870971,0.579179,-0.14,-0.14,,-0.14,-0.14,-0.14,0.0,0.175883,,1.586598,-10.93685,
09/26/1993,22.027,22.025999,22.025999,,7.673387,0.722237,0.44284,-0.22,-0.22,,-0.22,-0.22,-0.22,0.0,-0.381685,,0.585872,-11.130612,
12/31/1993,22.027,22.027,22.027,,7.749353,0.71485,0.43542,-0.66,-0.66,-0.66,-0.66,-0.66,-0.66,0.0,0.418396,,1.449766,-11.793117,
03/31/1994,22.027,22.027,22.027,,7.687656,0.818087,0.546284,-0.12,-0.11,,-0.12,-0.11,-0.11,0.0,-0.457393,,0.799292,-11.868616,
