Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1997,1385.553,67.914,67.914,0.0,291.427,291.427,,28.604,,,,,128.566,,,,,516.511,279.168,,,0.0,589.874,540.421,,,,49.453,869.042,,214.716,214.716,,,,8.827,,,,,,16.514,,,16.514,240.057,506.912,,,,,92.149,,,,,,92.149,599.061,839.118,1.0,1178.969,,,,-623.886,-9.648,546.435,0.0,546.435,1385.553,
06/30/1997,1397.193,75.834,75.834,0.0,287.987,287.987,,27.921,,,,,131.728,,,,,523.47,273.14,,,0.0,600.583,551.813,,,,48.77,873.723,,210.073,210.073,,,,16.535,,,,,,24.858,,,24.858,251.466,499.207,,,,,85.308,,,,,,85.308,584.515,835.981,1.0,1183.046,,,,-615.827,-7.007,561.212,0.0,561.212,1397.193,
09/30/1997,1421.742,124.509,124.509,0.0,271.116,271.116,,29.235,,,,,128.575,,,,,553.435,267.912,,,0.0,600.395,535.497,,,,64.898,868.307,,232.991,232.991,,,,24.408,,,,,,21.56,,,21.56,278.959,490.965,,,,,85.196,,,,,,85.196,576.161,855.12,1.0,1185.975,,,,-612.863,-7.49,566.622,0.0,566.622,1421.742,
12/31/1997,1400.927979,161.660995,161.660995,0.0,238.369003,,,30.360001,,,,,141.494003,,,,,571.883972,250.223007,576.41803,-326.195007,0.0,578.820984,513.778992,,,,65.041992,829.043991,,244.884995,244.884995,,,,32.647999,,,,,,17.613002,,,17.613002,295.145996,482.161011,,,,,81.960999,,,,,,81.960999,564.12201,859.268006,1.0,1198.494019,,,0.0,,-657.833984,541.660035,0.0,541.660035,1400.928041,
03/31/1998,1403.578003,172.584,172.584,0.0,242.645996,,,29.958,,,,,136.429993,,,,,581.617981,247.690002,,,0.0,574.27002,508.60199,,,,65.66803,821.960022,,248.289993,248.289993,,,,37.653999,,,,,,13.504005,,,13.504005,299.447998,469.397003,,,,,83.274002,,,,,,83.274002,552.671005,852.119003,1.0,1201.833984,,,,,-651.375,551.458984,0.0,551.458984,1403.577988,
06/30/1998,1364.081055,152.686005,152.686005,0.0,243.238007,,,29.221001,,,,,125.949997,,,,,551.094971,244.395996,,,0.0,568.590027,505.623993,,,,62.966034,812.986023,,226.117004,226.117004,,,,42.655998,,,,,,9.622993,,,9.622993,278.395996,446.339996,,,,,78.730003,,,,,,78.730003,525.07,803.465996,1.0,1202.911011,,,,,-643.296021,560.61499,0.0,560.61499,1364.080986,
09/30/1998,1366.165039,180.996002,180.996002,0.0,236.393005,,,29.799,,,,,114.497002,,,,,561.684998,241.417999,,,0.0,563.062012,500.890991,,,,62.171021,804.480011,,243.789001,243.789001,,,,47.091,,,,,,12.483006,,,12.483006,303.363007,423.5,,,,,77.910004,,,,,,77.910004,501.410004,804.77301,1.0,1196.385986,,,,,-635.994019,561.391968,0.0,561.391968,1366.164978,
12/31/1998,1360.23999,202.908005,202.908005,0.0,220.860992,,,31.164,,,,,123.253998,,,,,578.187012,240.389008,,,0.0,541.664001,494.721008,,,,46.942993,782.053009,,242.285004,242.285004,,,,51.444,,,,,,15.735992,,,15.735992,309.464996,413.425995,,,,,69.418999,,,,,,69.418999,482.844994,792.30999,1.0,1201.307983,,,,,-634.377991,567.929993,0.0,567.929993,1360.239983,
03/31/1999,1318.198975,154.197006,154.197006,0.0,229.785995,,,33.042,0.0,0.0,0.0,0.0,113.613998,,,,,530.638977,241.294998,596.379028,-355.084015,0.0,546.265015,489.783997,,,,56.481018,787.560013,,243.216003,243.216003,,,,56.445999,56.445999,0.0,0.0,,,9.542984,,,9.542984,309.204987,360.187012,360.187012,0.0,0.0,,71.519997,,,,,,71.519997,431.707008,740.911995,1.0,1199.682007,,,0.0,,-623.39502,577.286987,0.0,577.286987,1318.198982,
06/30/1999,1312.807007,148.477997,148.477997,0.0,224.919998,,,32.923,0.0,0.0,0.0,0.0,121.486,,,,,527.807007,243.106995,598.484009,-355.377014,0.0,541.893005,482.812988,,,,59.080017,785.0,,239.223999,239.223999,,,,61.452,61.452,0.0,0.0,,,12.679012,,,12.679012,313.355011,338.390991,338.390991,0.0,0.0,,63.243,,,,,,63.243,401.633991,714.989002,1.0,1202.187012,,,0.0,,-605.369019,597.817993,0.0,597.817993,1312.806995,
