Date,P/E,P/Book,P/Tangible Book,P/Sales,P/Free Cash Flow,Price/Share,High,Low,Market Cap,Average,Market Cap / Deposits,Source: Bloomberg
09/30/1980,,,,,,5.87037,,,,,,
12/31/1980,,,,,,6.314815,,,,,,
03/31/1981,,,,,,7.87037,,,,,,
06/30/1981,,,,,,8.555556,,,,,,
09/30/1981,,,,,,7.314815,,,,,,
12/31/1981,,,,,,8.074074,,,,,,
03/31/1982,,,,,,7.481481,,,,,,
06/30/1982,,,,,,6.833333,,,,,,
09/30/1982,,,,,,8.027778,,,,,,
12/31/1982,,,,,,9.0,,,,,,
03/31/1983,,,,,,10.694444,,,,,,
06/30/1983,,,,,,10.555556,,,,,,
09/30/1983,,,,,,9.194444,,,,,,
12/31/1983,,,,,,9.777778,,,,,,
03/31/1984,,,,,,10.083333,,,,,,
06/30/1984,,,,,,8.0,,,,,,
09/30/1984,,,,,,10.166667,,,,,,
12/31/1984,,,,,,11.5,,,,,,
03/31/1985,,,,,,12.5,,,,,,
06/30/1985,,,,,,13.75,,,,,,
09/30/1985,,,,,,11.166667,,,,,,
12/31/1985,,,,,,15.125,,,,,,
03/31/1986,,,,,,18.208333,,,,,,
06/30/1986,,,,,,17.083333,,,,,,
09/30/1986,,,,,,14.458333,,,,,,
12/31/1986,,,,,,14.083333,,,,,,
03/31/1987,,,,,,14.583333,,,,,,
06/30/1987,,,,,,14.0,,,,,,
09/30/1987,,,,,,12.708333,,,,,,
12/31/1987,,,,,,7.125,,,,,,
03/31/1988,,,,,,7.125,,,,,,
06/30/1988,,,,,,10.208333,,,,,,
09/30/1988,,,,,,10.666667,,,,,,
12/31/1988,,,,,,10.333333,,,,,,
03/31/1989,,,,,,12.041667,,,,,,
06/30/1989,,,,,,11.958333,,,,,,
09/30/1989,,,,,,13.625,,,,,,
12/31/1989,,,,,,9.958333,,,,,,
03/31/1990,,,,,,7.791667,,,,,,
06/30/1990,,,,,,8.5,,,,,,
09/30/1990,,,,,,5.166667,,,,,,
12/31/1990,,,,,,3.583333,,,,,,
03/31/1991,,,,,,5.791667,,,,,,
06/30/1991,,,,,,7.125,,,,,,
09/30/1991,,,,,,8.458333,,,,,,
12/31/1991,,,,,,7.083333,,,,,,
03/31/1992,,,,,,10.916667,,,,,,
06/30/1992,,,,,,12.375,,,,,,
09/30/1992,,,,,,10.875,,,,,,
12/31/1992,,,,,,12.875,,,,,,
12/31/1993,,,,,,13.375,,,,,,
12/31/1994,,,,,,11.958333,,,,,,
12/31/1995,,,,,,19.583333,,,,,,
12/31/1996,,,,,,29.791667,,,,,,
12/31/1997,,,,,,36.5,,,,,,
12/31/1998,,,,,,47.333333,,,,,,
03/31/1999,,,,,,54.25,0.393783,0.393783,104215.249969,0.393783,0.39409,
06/30/1999,,,,,,57.666667,0.425237,0.344148,109549.916443,0.387974,0.41365,
09/30/1999,,,,,,50.25,0.416175,0.349092,,0.386562,,
12/31/1999,,,,,,51.791667,0.339537,0.339537,95839.650955,0.339537,0.333862,
03/31/2000,,,,,,58.125,0.423303,0.305119,106800.323868,0.347654,0.412364,
06/30/2000,,,,,,46.0625,0.4406,0.210279,84283.089912,0.300826,0.311104,
09/30/2000,,,,,,46.1875,0.265182,0.204692,87807.055122,0.235405,0.32547,
12/31/2000,,,,,,45.4375,0.227978,0.169852,87625.764375,0.200485,0.31366,
03/31/2001,,,,,,44.9,0.386439,0.274917,89092.1515,0.338879,0.326857,
06/30/2001,,,,,,44.47,0.366422,0.292486,88459.01248,0.33804,0.319573,
09/30/2001,,,,,,34.15,0.328473,0.221158,67373.5788,0.290726,0.239249,
12/31/2001,,,,,,36.35,0.282913,0.228815,71732.5084,0.25766,0.244279,
03/31/2002,,,,,,35.65,0.262976,0.189444,70949.4179,0.227476,0.251561,
06/30/2002,,,,,,33.92,0.270865,0.222297,67615.04256,0.248492,0.230117,
09/30/2002,,,,,,18.99,0.22083,0.124447,37901.41938,0.169459,0.129723,
12/31/2002,,,,,,24.0,0.172337,0.105431,47968.944,0.148255,0.157403,
03/31/2003,,,,,,23.71,0.183304,0.136087,48132.20098,0.155294,0.160085,
06/30/2003,,,,,,34.18,0.243816,0.161331,69560.12816,0.207209,0.218572,
09/30/2003,,,,,,34.33,0.23807,0.20949,70004.7061,0.220725,0.223211,
12/31/2003,,,,,,36.73,0.239229,0.225283,75025.4326,0.232109,0.229793,
03/31/2004,,,,,,41.95,0.27113,0.228403,87326.7277,0.252878,0.259217,
06/30/2004,,,,,,38.77,0.258183,0.217524,80932.56885,0.23336,0.233545,
09/30/2004,,,,,,39.73,0.412181,0.28506,141600.5011,0.389645,0.285224,
12/31/2004,,,,,,39.01,0.289436,0.265771,138727.009662,0.276551,0.266038,
03/31/2005,,,,,,34.6,0.267463,0.231557,121975.327408,0.252012,0.229545,
06/30/2005,,,,,,35.32,0.240108,0.226002,124112.487775,0.234727,0.232142,
09/30/2005,,,,,,33.93,0.236011,0.220637,118870.6141,0.228192,0.222137,
12/31/2005,,,,,,39.69,0.26286,0.218403,138386.696213,0.244068,0.249349,
03/31/2006,,,,,,41.64,0.264467,0.239047,,0.254706,,
06/30/2006,,,,,,42.0,0.245793,0.245793,145764.432828,0.245793,0.245512,
09/30/2006,,,,,,46.96,0.280045,0.238244,162835.190157,0.262665,0.27973,
12/31/2006,,,,,,48.3,0.291704,0.262295,167199.332418,0.2826,0.261745,
03/31/2007,,,,,,48.38,0.2799,0.253927,165280.184125,0.26753,0.263845,
06/30/2007,,,,,,48.45,0.290133,0.254096,164659.382914,0.278594,0.252789,
09/30/2007,,,,,,45.82,0.262488,0.223387,153900.701692,0.239556,0.226962,
12/31/2007,,,,,,43.65,0.23744,0.197943,146986.254593,0.222221,0.198435,
03/31/2008,,,,,,42.95,0.219348,0.167276,146066.20496,0.193149,0.191782,
06/30/2008,,,,,,34.31,0.21991,0.160103,117880.513777,0.194484,0.163065,
09/30/2008,,,,,,46.7,0.245833,0.149285,174048.427282,0.184946,0.179472,
12/31/2008,,,,,,31.53,0.202613,0.087441,117695.204022,0.136221,0.116613,
03/31/2009,,,,,,26.58,0.115934,0.059202,99880.521025,0.089536,0.110126,
06/30/2009,,,,,,34.11,0.161397,0.1129,133852.238983,0.141988,0.154479,
09/30/2009,,,,,,43.82,0.210908,0.146083,172595.983415,0.183428,0.198849,
12/31/2009,,,,,,41.67,0.213669,0.182288,164261.436197,0.196387,0.17505,
03/31/2010,,,,,,44.75,0.195936,0.158374,177897.203017,0.177537,0.192258,
06/30/2010,,,,,,36.61,0.205407,0.157892,145554.44298,0.177338,0.163949,
09/30/2010,,,,,,38.06,0.186609,0.159133,149417.784167,0.17404,0.165443,
12/31/2010,,,,,,42.42,0.184695,0.160659,165874.676146,0.17145,0.178289,
03/31/2011,,,,,,46.1,0.201742,0.182356,183783.43472,0.192043,0.184553,
06/30/2011,,,,,,40.94,0.190569,0.15513,160083.439715,0.17318,0.152652,
09/30/2011,,,,,,30.12,0.160246,0.107476,114422.281744,0.136635,0.104714,
12/31/2011,,,,,,33.25,0.132096,0.098688,125441.966274,0.113393,0.111227,
03/31/2012,,,,,,45.98,0.156613,0.117618,175736.598504,0.133262,0.155724,
06/30/2012,,,,,,35.73,0.156042,0.104568,135661.003696,0.129481,0.121572,
09/30/2012,,,,,,40.48,0.141515,0.115345,153806.096465,0.126879,0.134964,
12/31/2012,,,,,,43.969125,0.148539,0.13106,167256.430976,0.139473,0.140129,
03/31/2013,,,,,,47.46,0.163541,0.141948,179862.880776,0.153252,0.149573,
06/30/2013,,,,,,52.79,0.174823,0.14699,198966.444066,0.160267,0.165399,
09/30/2013,,,,,,51.69,0.177555,0.151878,194312.493883,0.167874,0.151676,
12/31/2013,,,,,,58.48,0.170925,0.149116,219657.214086,0.160769,0.170572,
03/31/2014,,,,,,60.71,0.179584,0.158409,229769.912327,0.169239,0.179129,
06/30/2014,,,,,,57.62,0.179111,0.157295,216725.006034,0.16582,0.164217,
09/30/2014,,,,,,60.24,0.175645,0.159332,225188.490059,0.166805,0.168739,
12/31/2014,,,,,,62.58,0.176891,0.155239,232471.512204,0.168869,0.170505,
03/31/2015,,,,,,60.58,0.171333,0.148164,224817.659608,0.161737,0.164354,
06/30/2015,,,,,,67.76,0.195337,0.1634,250581.044381,0.177601,0.194651,
09/30/2015,,,,,,60.97,0.202025,0.1719,224438.482504,0.188347,0.176292,
12/31/2015,,,,,,66.03,0.197949,0.174257,241899.221433,0.18855,0.189026,
03/31/2016,,,,,,59.22,0.183321,0.152657,216547.341539,0.167679,0.163826,
06/30/2016,,,,,,62.14,0.182056,0.158793,224448.58385,0.17287,0.168637,
09/30/2016,,,,,,66.59,0.183183,0.163607,238276.618272,0.177584,0.173149,
12/31/2016,,,,,,86.29,0.226557,0.17457,307295.075781,0.198841,0.223458,
03/31/2017,,,,,,87.84,0.243122,0.21675,312078.28588,0.229272,0.21931,
