Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2006,2577.706,198.379,98.894,99.485,244.594,244.594,,185.189,50.726,6.685,127.778,,795.748,,,,1423.91,211.291,450.124,-238.833,0.0,,942.505,311.403,203.891,107.512,631.102,1153.796,,125.546,125.546,,,,0.585,,,,,450.743,,,450.743,576.874,121.701,,,,120.202,,,,,,120.202,241.903,818.777,0,362.257,,,-102.735,1467.224,32.183,1758.929,0,1758.929,2577.706,
12/31/2006,1315.555054,244.510994,128.660995,115.849998,239.468002,239.468002,,201.923996,56.318001,8.276,137.330002,0.0,36.055,,,,721.958008,215.554993,,,0.0,,378.041992,314.076996,204.710999,109.365997,63.964996,593.596985,,132.945007,132.945007,,,,0.664,,,,,160.591005,,,160.591005,294.200012,122.044998,,,,76.712997,,,,,,76.712997,198.757996,492.958008,0,314.946014,,,0.0,518.968018,-11.317017,822.597015,0,822.597015,1315.555023,
03/31/2007,1399.827026,312.022003,93.772003,218.25,256.052002,256.052002,,201.720993,49.319,11.216,141.186005,0.0,31.281,,,,801.075989,196.102997,,,0.0,,402.64801,315.30899,206.438995,108.869995,87.33902,598.751007,,134.542999,134.542999,,,,0.736,,,,,153.937004,,,153.937004,289.216003,122.084,,,,100.946999,,,,,,100.946999,223.030998,512.247002,0,365.06601,,,0.0,533.559998,-11.046021,887.579987,0,887.579987,1399.826988,
06/30/2007,1415.144043,329.919998,80.044998,249.875,249.884003,249.884003,,199.210007,45.716999,7.187,146.306,0.0,30.73,,,,809.744019,202.533005,450.529999,-247.996994,0.0,,402.867004,319.877014,209.940994,109.93602,82.98999,605.400009,,129.632004,129.632004,,,,120.865997,,,,,140.900009,,,140.900009,391.39801,2.069,,,,94.492996,,,,,,94.492996,96.561996,487.960006,0,376.946014,,,0.0,553.205017,-2.967041,927.18399,0,927.18399,1415.143997,
09/30/2007,1487.56,348.662,93.062,255.6,289.077,289.077,,189.137,45.199,8.435,135.503,,30.662,,,,857.538,224.494,478.54,-254.046,0.0,,405.528,325.457,213.667,111.79,80.071,630.022,,150.388,150.388,,,,120.636,,,,,145.026,,,145.026,416.05,2.077,,,,85.662,,,,,,85.662,87.739,503.789,0,381.353,,,0.0,585.143,17.275,983.771,0,983.771,1487.56,
12/31/2007,1519.862,383.721,124.771,258.95,265.978,265.978,0.0,197.51,46.825,9.892,140.793,0.0,38.476,,,,885.685,228.571,482.482,-253.911,0.0,,405.606,328.925,216.449,112.476,76.681,634.177,,137.696,137.696,,,,120.832,0.0,,,,0.0,,,0.0,396.268,2.743,,,,93.755,,,,,,93.755,96.498,492.766,0,394.074,,,0.0,612.885,20.137,1027.096,0,1027.096,1519.862,
03/31/2008,1605.31,378.872,378.872,0.0,260.715,260.715,,202.466,49.358,8.274,144.834,0.0,36.733,,,,878.786,236.797,500.282,-263.485,74.333,,415.394,339.644,224.243,115.401,75.75,726.524,,145.883,145.883,,,,120.916,,,,,140.485,,,140.485,407.284,2.709,,,,104.045,,,,,,104.045,106.754,514.038,0,433.775,,,0.0,635.389,22.108,1091.272,0,1091.272,1605.31,
06/30/2008,1435.337,155.145,155.145,0.0,232.001,232.001,,159.151,40.553,2.997,115.601,0.0,171.539,,,,717.836,213.258,421.299,-208.041,66.71,,437.533,234.332,159.454,74.878,203.201,717.501,,128.055,128.055,,,,0.254,,,,,183.635,,,183.635,311.944,0.869,,,,104.22,,,,,,104.22,105.089,417.033,0,426.194,,,0.0,568.672,23.438,1018.304,0,1018.304,1435.337,
09/30/2008,1467.3,453.73,445.332,8.398,244.316,244.316,,149.512,42.119,3.434,103.959,0.0,35.932,,,,883.49,221.667,423.969,-202.302,57.443,,304.7,234.015,159.218,74.797,70.685,583.81,,147.467,147.467,,,,0.184,,,,,137.459,,,137.459,285.11,0.683,,,,70.901,,,,,,70.901,71.584,356.694,0,445.251,,,0.0,702.375,-37.02,1110.606,0,1110.606,1467.3,
12/31/2008,1428.513,334.354,325.914,8.44,233.607,233.607,0.0,159.117,46.517,3.676,108.924,0.0,37.566,,,37.566,764.644,220.842,418.659,-197.817,56.697,56.697,386.33,310.426,220.49,89.936,75.904,663.869,,249.947,134.93,22.493,,92.524,0.151,0.0,,,0.151,0.0,,,0.0,250.098,0.512,0.512,,,71.235,,,,,19.897,51.338,71.747,321.845,0,451.585,0.981,450.604,0.0,727.66,-72.577,1106.668,0,1106.668,1428.513,
