Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1048.802002,19.899,19.899,,77.087997,,,,29.596001,,,,,11.351,,,,,,137.934006,891.400024,1530.053955,-638.653992,0.0,19.468,,,,,19.468,910.868025,,88.966003,88.966003,,,,26.143,,,,,10.118994,,,,10.118994,125.227997,273.178009,,,,162.406998,,,162.406998,435.585007,560.813004,12.355,268.088013,,-15.256,,222.802005,487.989017,0.0,487.989017,1048.802021,
06/30/1990,1045.125,12.533,12.533,,52.424999,,,,35.617001,,,,,11.322,,,,,,111.897003,910.343018,1562.94104,-652.598022,0.0,22.885,,,,,22.885,933.228018,,72.915001,72.915001,,,,8.114,,,,,12.026999,,,,12.026999,93.056,319.820007,,,,160.539001,,,160.539001,480.359009,573.415009,12.355,268.195007,,-26.846001,,218.006004,471.710011,0.0,471.710011,1045.125019,
09/30/1990,1059.276001,3.369,3.369,0.0,42.057999,,,,38.147999,,,,,15.055,,,,,,98.629997,938.715027,1603.366943,-664.651978,0.0,21.931,,,,,21.931,960.646027,,70.212997,70.212997,,,,35.560001,,,,,4e-06,,,,4e-06,105.773003,326.169006,,,,169.052002,,,169.052002,495.221008,600.994011,12.355,268.247986,,-33.397999,,211.077,458.281986,0.0,458.281986,1059.275997,
12/31/1990,1150.953003,11.114,11.114,,95.651001,,,,34.221001,,,,,24.261999,,,,,,165.248001,961.348999,1637.251953,-675.903015,0.0,24.356001,,,,,24.356001,985.705,,69.614998,69.614998,,,,76.559998,,,,,26.385002,,,,26.385002,172.559998,328.19101,,,,178.574005,,,178.574005,506.765015,679.325012,11.155,269.014008,,-33.375999,,224.834999,471.628007,0.0,471.628007,1150.953019,
03/31/1991,1126.769043,2.203,2.203,0.0,103.403,,,,25.138,,,,,11.043,,,,,,141.787003,961.278992,1654.514038,-693.234985,0.0,23.702999,,,,,23.702999,984.981991,,116.740997,116.740997,,,,10.56,,,,,18.771008,,,,18.771008,146.072006,319.253998,,,,164.908005,,,164.908005,484.162003,630.234009,11.155,270.009003,,-33.124001,,248.495003,496.535005,0.0,496.535005,1126.769013,
06/30/1991,1115.364014,2.653,2.653,0.0,70.663002,,,,31.469,,,,,10.423,,,,,,115.208,968.877014,1673.253052,-704.375977,0.0,31.278999,,,,,31.278999,1000.156013,,95.399002,95.399002,,,,12.06,,,,,25.466001,,,,25.466001,132.925003,321.471008,,,,164.421997,,,164.421997,485.893005,618.818008,11.155,271.092987,,-33.136002,,247.434006,496.545991,0.0,496.545991,1115.363999,
09/30/1991,1125.347046,0.0,0.0,0.0,54.175999,,,,43.098999,,,,,10.541,,,,,,107.816002,985.155029,1702.633057,-717.478027,0.0,32.375999,,,,,32.375999,1017.531029,,81.474998,81.474998,,,,22.250999,,,,,20.318001,,,,20.318001,124.043999,339.05899,,,,171.399002,,,171.399002,510.457993,634.501991,11.155,272.417999,,-33.224998,,240.497002,490.845002,0.0,490.845002,1125.346993,
12/31/1991,1219.60498,5.996,5.996,,107.745003,,,,41.367001,,,,,9.882,,,,,,164.990005,1020.64502,1749.515015,-728.869995,0.0,33.970001,,,,,33.970001,1054.615021,,81.112999,81.112999,,,,53.814999,,,,,38.242001,,,,38.242001,173.169998,354.446014,,,,180.065994,,,180.065994,534.512009,707.682007,9.955,283.506012,,-33.363998,,251.826004,511.923018,0.0,511.923018,1219.605024,
03/31/1992,1189.218018,7.328,7.328,,90.281998,,,,32.647999,,,,,9.004,,,,,,139.261993,1017.544983,1766.030029,-748.484985,0.0,32.410999,,,,,32.410999,1049.955982,,115.598999,115.598999,,,,1.785,,,,,41.528004,,,,41.528004,158.912003,328.763,,,,167.716995,,,167.716995,496.479996,655.391998,9.955,284.916992,,-33.000999,,271.954994,533.825987,0.0,533.825987,1189.217985,
06/30/1992,1189.069946,0.803,0.803,,63.854,,,,34.668999,,,,,9.715,,,,,,109.041,1048.796997,1813.368042,-764.570984,0.0,31.232,,,,,31.232,1080.028997,,93.185997,93.185997,,,,13.754,,,,,37.390005,,,,37.390005,144.330002,338.911987,,,,173.990997,,,173.990997,512.902985,657.232986,9.951,287.040009,,-33.077999,,267.923992,531.837002,0.0,531.837002,1189.069988,
