Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,262.636993,,-187.162003,,75.474991,,-9.584,,,65.890999,-15.882999,,25.160999,,0.0,,-9.278,50.007999,-16.077,33.931,-36.146002,,,70.077001,0.0,70.077003,0.0,,70.077003,70.077003,,62.844002,1.105,0.53,,62.844002,1.105,0.53,0.53,
06/30/1990,202.110992,,-150.791,,51.319992,,-6.404,,,44.916,-16.278999,,25.643999,,0.0,,-9.365,28.637001,-10.66,17.976999,-16.576001,,,34.553002,0.0,34.553001,0.0,,34.553001,34.553001,,62.844002,0.54,0.275,,62.844002,0.54,0.275,0.275,
09/30/1990,180.264999,,-132.169006,,48.095993,,-8.601,,,39.494999,-13.647,,25.312,,0.0,,-11.665,25.847999,-9.513,16.334999,-21.944,,,38.278999,0.0,38.278999,0.0,,38.278999,38.278999,,62.844002,0.6,0.25,,62.844002,0.6,0.25,0.25,
12/31/1990,206.737,,-160.841003,,45.895996,,-6.186,,,39.709999,-15.721999,,25.466,,0.0,,-9.744,23.988,-8.597,15.391,-24.723,,,40.114,0.0,44.136002,0.0,,44.136002,44.136002,,62.844002,0.73,0.335,,62.844002,0.73,0.335,0.335,
03/31/1991,209.475006,,-148.839005,,60.636002,,0.0,,,60.636002,-14.904999,,26.754999,,0.0,,-11.85,45.731003,-17.033001,28.698,-34.534001,,,63.232003,0.0,63.231998,0.0,,63.231998,63.231998,,62.844002,1.005,0.455,,62.844002,1.005,0.455,0.455,
06/30/1991,175.645004,,-127.737,,47.908005,,0.0,,,47.908001,-16.797,,26.868,,0.0,,-10.071,31.111001,-11.868,19.243,-14.406,,,33.649001,0.0,33.648998,0.0,,33.648998,33.648998,,62.844002,0.53,0.3,,62.844002,0.53,0.3,0.3,
09/30/1991,165.634003,,-128.052002,,37.582001,,0.0,,,37.582001,-3.416,,26.274,,0.0,,-22.858,34.166,-12.738,21.427999,-5.191,,,26.619001,0.0,26.618999,0.0,,26.618999,26.618999,,62.844002,0.42,0.335,,62.844002,0.42,0.335,0.335,
12/31/1991,184.442001,,-145.649002,,38.792999,,0.0,,,38.792999,-9.301,,18.003,,0.0,,-8.702,29.491999,-10.317,19.174999,0.0,,,19.174999,0.0,19.174999,0.0,,19.174999,19.174999,,62.844002,0.315,0.315,0.315,62.844002,0.315,0.315,0.315,
03/31/1992,174.410004,,-117.634003,,56.776001,,0.0,,,56.776001,-10.961001,,17.686001,,0.0,,-6.725,45.815,-17.393,28.422001,0.0,,,28.422,0.0,28.422001,0.0,,28.422001,28.422001,,65.293999,0.435,0.435,,65.293999,0.435,0.435,0.435,
06/30/1992,188.423996,,-144.376999,,44.046997,,0.0,,,44.047001,-15.669999,,17.546,,0.0,,-1.876,28.377001,-11.082,17.295,0.0,,,17.295002,0.0,17.295,0.0,,17.295,17.295,,74.608002,0.23,0.23,,74.608002,0.23,0.23,0.23,
