Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2005,1337.85,317.476,40.376,277.1,57.16,57.16,,215.816,46.125,0.0,169.691,0.0,97.204,,,,,,687.656,627.428,,,0.0,,,22.766,1.327,1.327,0.0,,,21.439,650.194,,170.363,170.363,,,,0.0,,,,,,219.664,,,,219.664,390.027,4.234,,,,,101.797,,,101.797,106.031,496.058,0.0,742.093,,,0.0,33.542,32.806,808.441,33.351,841.792,1337.85,
12/31/2005,1228.1,216.7,37.4,179.3,52.8,52.8,,251.1,55.0,0.0,196.1,0.0,55.5,,,,,,576.1,630.1,2377.2,-1747.1,0.0,,,21.9,0.9,0.9,0.0,,,21.0,652.0,,64.0,64.0,,,,0.0,,,,,,277.1,,,,277.1,341.1,4.2,,,,,113.3,,,113.3,117.5,458.6,0.0,743.6,,,0.0,19.7,-7.4,755.9,13.6,769.5,1228.1,
03/31/2006,1300.8,196.3,38.7,157.6,66.4,66.4,,331.3,60.3,,271.0,,48.4,,,,,,642.4,619.2,,,,,,39.2,0.9,0.9,0.0,,,38.3,658.4,,155.9,155.9,,,,0.0,,,,,,286.5,,,,286.5,442.4,4.2,,,,,104.8,,,104.8,109.0,551.4,,745.4,,,,-6.0,-9.4,730.0,19.4,749.4,1300.8,
06/30/2006,1182.0,228.0,24.7,203.3,85.0,85.0,,202.6,59.0,,143.6,,25.2,,,,,,540.8,608.4,,,,,,32.8,0.9,0.9,0.0,,,31.9,641.2,,148.1,148.1,,,,,,,,,,105.7,,,,105.7,253.8,4.4,,,,,113.4,,,113.4,117.8,371.6,,747.2,,,,35.5,-9.7,773.0,37.4,810.4,1182.0,
09/30/2006,1291.8,305.4,21.4,284.0,86.5,86.5,,241.4,61.7,,179.7,,22.0,,,,,,655.3,603.2,,,,,,33.3,0.9,0.9,0.0,,,32.4,636.5,,145.9,145.9,,,,,,,,,,196.2,,,,196.2,342.1,4.4,,,,,122.7,,,122.7,127.1,469.2,0.0,749.7,,,,41.7,-10.6,780.8,41.8,822.6,1291.8,
12/31/2006,1290.4,325.6,25.4,300.2,113.9,113.9,,176.1,41.0,0.0,135.1,0.0,17.5,,,,,,633.1,597.0,2380.1,-1783.1,0.0,,,60.3,0.9,0.9,0.0,,,59.4,657.3,,37.4,37.4,,,,0.0,,,,,,316.0,,,,316.0,353.4,4.2,,,,,152.2,,,152.2,156.4,509.8,0.0,751.8,,,0.0,48.6,-33.4,767.0,13.6,780.6,1290.4,
03/31/2007,1597.7,490.8,27.8,463.0,118.5,118.5,,303.7,46.9,0.0,256.8,0.0,23.7,,,,,,936.7,593.9,,,0.0,,,67.1,0.9,0.9,0.0,,,66.2,661.0,,194.8,194.8,,,,0.0,,,,,,385.8,,,,385.8,580.6,4.3,,,,,162.0,,,162.0,166.3,746.9,0.0,758.0,,,0.0,104.7,-32.9,829.8,21.0,850.8,1597.7,
06/30/2007,1587.9,565.6,59.6,506.0,158.0,158.0,,180.1,45.3,0.0,134.8,0.0,19.6,,,,,,923.3,596.0,,,0.0,,,68.6,0.9,0.9,0.0,,,67.7,664.6,,182.0,182.0,,,,0.0,,,,,,247.4,,,,247.4,429.4,4.6,,,,,176.8,,,176.8,181.4,610.8,0.0,767.3,,,0.0,197.2,-30.7,933.8,43.3,977.1,1587.9,
09/30/2007,1825.3,730.4,53.0,677.4,142.5,142.5,,236.7,42.4,0.0,194.3,0.0,29.2,,,,,,1138.8,618.4,,,0.0,,,68.1,0.9,0.9,0.0,,,67.2,686.5,,175.4,175.4,,,,0.0,,,,,,388.3,,,,388.3,563.7,5.0,,,,,169.0,,,169.0,174.0,737.7,0.0,774.7,,,0.0,282.6,-28.9,1028.4,59.2,1087.6,1825.3,
12/31/2007,2012.5,861.0,366.5,494.5,148.7,148.7,,231.7,41.2,0.0,190.5,0.0,37.7,,,,,,1279.1,623.6,2465.2,-1841.6,,,,109.8,0.9,0.9,0.0,,41.6,67.3,733.4,,59.8,59.8,,,,0.0,,,,,,569.5,,,,569.5,629.3,4.9,,,,,174.0,,,174.0,178.9,808.2,0.0,791.4,,,0.0,416.8,-21.2,1187.0,17.3,1204.3,2012.5,
