Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Prov For Doubtful Accts,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2001,8639.567383,,-8151.224121,,488.343262,,-373.946991,,,,,,,114.396004,-4.971001,20.412001,24.238001,-3.826,,0.0,,-15.441,109.425003,-30.912001,,,78.513,-3.109,,,81.622002,0.0,81.622002,0.0,,81.622002,81.622002,,240.0,0.34,0.33,0.33,240.0,0.34,0.33,0.33,
06/30/2001,7975.147949,,-7409.253906,,565.894043,,-272.966003,,,,,,,292.928009,55.592001,,19.627001,-4.419,,0.0,,-70.800002,348.52001,-119.785004,,,228.735001,0.047,,,228.688006,0.0,228.688004,0.0,,228.688004,228.688004,,276.944,0.83,0.83,0.71,277.246002,0.82,0.82,0.71,
09/30/2001,2461.688,,-1784.715,,676.973,,-324.889,,,,,,,352.084,12.056,5.345,8.355,-3.01,,,,-17.401,364.14,-150.279,,,213.861,,,,213.861,,213.861,,,213.861,213.861,,299.164,0.71,0.71,0.71,299.41,0.71,0.71,0.71,
12/31/2001,6629.289,,-6355.58,,273.709,,-271.358,,,,,,,2.351,1.547,3.182,11.048,-7.866,,0.0,,-4.729,3.898,29.382,,,33.28,0.0,,,33.28,0.0,33.28,0.0,,33.28,33.28,,291.657,0.11,0.11,-0.03,291.985,0.11,0.11,-0.03,
03/31/2002,1657.620972,,-1193.527954,,464.093018,,-316.786011,,,,,,,147.307007,-20.718,24.478001,29.159,-4.681,,0.0,,-3.76,126.589006,-45.543999,,,81.044998,218.469001,,,-137.423993,0.0,-137.423996,0.0,,-137.423996,-137.423996,,289.335999,-0.48,0.28,0.28,290.036011,-0.48,0.28,0.28,
06/30/2002,2185.153076,,-1500.11499,,685.038086,,-461.290009,,,,,,,223.748001,-41.993999,52.728001,57.278999,-4.551,,0.0,,-10.734,181.754002,-59.591,,,122.163002,-53.59,,,175.753002,0.0,175.753006,0.0,,175.753006,175.753006,,289.591003,0.61,0.42,0.42,290.632996,0.6,0.42,0.42,
09/30/2002,5180.599,,-4252.305,,928.294,,-652.915,,,,,,,275.379,-76.399,82.553,92.415,-9.862,,0.0,,-6.154,198.98,-91.046,,,107.934,57.498,,,50.436,0.0,50.436,0.0,,50.436,50.436,,290.425,0.17,0.37,0.72,291.584,0.17,0.37,0.72,
12/31/2002,2062.0,,-2546.0,,-484.0,,-161.0,,,,,,,-645.0,-44.640999,,95.226997,-18.938,,0.0,,-31.647999,-689.640999,41.640999,,,-648.0,0.0,,,-648.0,0.0,-648.0,0.0,0.0,-648.0,-648.0,,290.442993,-2.23,-2.23,-0.21,290.442993,-2.23,-2.23,-0.21,
03/31/2003,2559.385986,,-2083.998047,,475.387939,,-455.938995,,,,,,,19.448999,-85.391997,82.890999,97.032997,-14.142,,0.0,,2.501,-65.942998,19.481001,,,-46.462002,405.939996,,,-452.401993,0.0,-452.402008,0.0,,-452.402008,-452.402008,,291.437988,-1.55,-0.16,-0.16,291.437988,-1.55,-0.16,-0.16,
06/30/2003,2829.556885,,-2272.650879,,556.906006,,-483.078003,,,,,,,73.828003,-111.389002,109.441002,114.455002,-5.014,,0.0,,1.948,-37.560999,10.183,,,-27.378,-21.469,,,-5.908999,0.0,-5.909,0.0,,-5.909,-5.909,,292.239014,-0.02,-0.09,-0.09,292.239014,-0.02,-0.09,-0.09,
09/30/2003,3785.396,,-2830.268,,955.128,,-477.901,,,,,,,477.227,-1135.246,149.343,153.899,-4.556,,0.0,,985.903,-658.019,-132.567,,,-790.586,125.753,,,-916.339,0.0,-916.339,0.0,,-916.339,-916.339,,294.373,-3.11,-2.69,0.74,294.373,-3.11,-2.69,0.74,
12/31/2003,1839.031982,,-1247.953003,,591.078979,,-476.628998,,,,,,,114.449997,-160.294995,,151.341995,-11.599,,0.0,,20.552,-45.844998,16.965,,,-28.879999,-61.413002,,,32.533004,0.0,32.533001,0.0,,32.533001,32.533001,,295.261993,0.11,-0.1,-0.05,295.261993,0.11,-0.1,-0.05,
03/31/2004,1735.740967,,,,,,,,,,,,,,-110.174004,110.174004,110.174004,,,,,0.0,,,,,,,,,,,-38.370998,,,-38.370998,-38.370998,,296.066986,-0.13,-0.15,-0.18,296.066986,-0.13,-0.15,-0.18,
06/30/2004,2222.12793,,-1767.862061,,454.265869,,-444.380005,,,,,,,9.886,-112.830002,96.605003,104.010002,-7.405,,0.0,,16.225,-102.944002,33.653999,,,-69.290001,2.386,,,-71.676003,0.0,-71.676003,0.0,,-71.676003,-71.676003,,296.601013,-0.24,-0.23,-0.04,296.601013,-0.24,-0.23,-0.04,
09/30/2004,2564.990967,,-1968.360962,,596.630005,,-390.059998,,,,,,,206.570007,-62.658001,79.805,96.360001,-16.555,,,,-17.146999,143.912006,-68.837997,,,75.073997,-269.962006,,,345.036015,,345.036011,,,345.036011,345.036011,,298.434998,1.16,0.25,0.33,334.476013,1.04,0.23,0.31,
12/31/2004,1953.82605,,-1772.244019,,181.582031,,-375.204987,,,,,,,-193.623001,-87.277,,106.970001,-5.897,,0.0,,-13.796001,-280.900002,110.914001,,,-212.985992,51.372002,,,-221.358002,0.0,-264.358002,0.0,0.0,-264.358002,-264.358002,,298.979004,-0.88,-0.71,-0.36,298.979004,-0.88,-0.71,-0.36,
03/31/2005,1717.317,,-1342.084,,375.233,,-338.258,,,,,,,36.975,-91.114,90.134,95.345,-5.211,,,,0.98,-54.139,12.683,,,-41.456,-16.534,,,-24.922,,-24.922,0.0,,-24.922,-24.922,,300.441,-0.08,-0.14,-0.46,300.441,-0.08,-0.14,-0.46,
06/30/2005,2431.392,,-1838.353,,593.039,,-394.722,,,,,,,198.317,-93.544,91.719,98.56,-6.841,,,,1.825,104.773,-54.681,,,50.092,-48.632,,,98.724,,98.724,,,98.724,98.724,,301.25,0.33,0.17,-0.04,337.679,0.3,0.16,-0.03,
09/30/2005,2963.021,,-2697.009,,266.012,,-401.637,,,,,,,-135.625,-328.386,96.546,99.774,-3.228,,,,231.84,-464.011,197.226,,,-266.785,3.512,,,-270.297,,-270.297,,,-270.297,-270.297,,303.043,-0.89,-0.88,0.45,303.043,-0.89,-0.88,0.45,
12/31/2005,2615.265,,-2477.475,,137.79,,-340.694,,,,,,,-202.904,-51.545,,105.602,-7.947,,0.0,,-46.11,-254.449,47.851,,,-206.597,-48.537,,,-158.061,0.0,-158.06,0.0,0.0,-158.06,-158.06,,304.849,-0.52,-0.68,-0.49,304.849,-0.52,-0.68,-0.49,
03/31/2006,2452.685,,-2250.049,,202.636,,-336.8,,,,,,,-134.164,52.743,99.144,108.162,-9.018,,,,-151.887,-81.421,-57.646,,,-139.067,-5.948,,,-133.119,,-133.119,0.0,,-133.119,-133.119,,305.631,-0.44,-0.46,-0.53,305.631,-0.44,-0.46,-0.53,
06/30/2006,2774.903,,-2233.908,,540.995,,-412.757,,,,,,,128.238,-88.908,96.567,103.444,-6.877,,,,-7.659,39.33,-16.603,,,22.727,8.551,,,14.176,,14.176,0.0,,14.176,14.176,,306.78,0.05,0.07,-0.02,342.592,0.05,0.07,-0.02,
09/30/2006,3305.568,,-2989.956,,315.612,,-445.181,,,,,,,-129.569,-124.389,93.951,100.84,-6.889,,,,30.438,-253.958,100.135,,,-153.823,1.34,,,-155.163,,-155.163,0.0,,-155.163,-155.163,,307.975,-0.5,-0.5,0.27,307.975,-0.5,-0.5,0.27,
12/31/2006,2344.229,,-1961.979,,382.25,,-394.949,53.311,32.747,,,19.024,322.614,-12.699,-139.873,103.888,115.421,-11.533,,0.0,-2.136,38.121,-152.572,96.043,,,-56.529,-2.823,,,-53.706,0.0,-53.706,0.0,0.0,-53.706,-53.706,,310.381,-0.17,-0.18,-0.18,310.381,-0.17,-0.18,-0.197505,
03/31/2007,2362.601,,-1443.491,,919.11,,-410.307,,,,,,,508.803,-96.378,76.606,87.07,-10.464,,0.0,,19.772,412.425,-152.062,,,260.363,1.652,,,258.711,0.0,258.711,0.0,0.0,258.711,258.711,-315.0,339.345,0.76,0.77,-0.13,349.452,0.74,0.75,-0.15,
06/30/2007,2649.915,,-2475.716,,174.199,,-447.653,,,,,,,-273.454,-182.493,113.743,121.975,-8.232,,0.0,,68.75,-455.947,174.884,,,-281.063,1.889,,,-282.952,0.0,-282.952,0.0,0.0,-282.952,-282.952,,342.074,-0.83,-0.82,-0.1,342.074,-0.83,-0.82,-0.1,
09/30/2007,3543.192,,-2838.95,,704.242,,-430.619,,,,,,,273.623,-49.87,68.458,74.235,-5.777,,0.0,,-18.588,223.753,-63.85,,,159.903,-2.479,,,162.382,0.0,162.382,0.0,0.0,162.382,162.382,0.9504,343.835,0.47,0.47,0.47,354.204,0.46,0.45,0.45,
12/31/2007,2653.016,,-1898.67,,754.346,,-391.464,,,,,,,362.882,-50.015,,65.919,-10.36,,0.0,,-5.544,312.867,-94.087,,,218.78,-8.186,,,226.966,0.0,226.966,0.0,0.0,226.966,226.966,-193.77,344.54,0.66,0.64,0.07,354.163,0.64,0.62,0.07,
03/31/2008,879.798,,-508.839,,370.959,,-267.456,,,,,,,103.503,-79.59,45.921,52.346,-6.425,,,,33.669,23.913,-10.977,,,12.936,-364.276,,,377.212,0.0,377.212,0.0,0.0,377.212,377.212,,345.419,1.09,0.04,0.05,354.103,1.07,0.04,0.05,
06/30/2008,1013.564,,-568.876,,444.688,,-281.269,,,,,,,163.419,-19.478,42.868,51.094,-8.226,,,-0.988,-22.402,143.941,-61.963,,,81.978,-276.71,,,358.688,0.0,358.688,0.0,0.0,358.688,358.688,,346.616,1.03,0.24,0.060413,354.054,1.01,0.23,0.059143,
09/30/2008,959.865,,-513.801,,446.064,,-236.009,,,,,,,210.055,-26.61,44.798,49.293,-4.495,,,,-18.188,183.445,-89.868,,,93.577,1131.497,,,-1037.92,0.0,-1037.92,0.0,0.0,-1037.92,-1037.92,,349.2,-2.97,0.27,0.220849,353.694,-2.97,0.26,0.218043,
12/31/2008,540.673,,-322.173,,218.5,,-245.273,,,,,,,-26.773,-298.26,44.825,46.857,-2.032,,,1.402,252.033,-325.033,26.276,,,-298.757,138.898,,,-437.655,0.0,-437.655,0.0,0.0,-437.655,-437.655,352.755,350.02,-1.25,-0.85,0.16,350.02,-1.25,-0.85,0.16,
03/31/2009,466.184,466.184,-324.674,324.674,141.51,0.0,-235.088,29.014,,29.014,67.858,,138.216,-93.578,-46.079,46.671,46.919,-0.248,-0.541,,,-0.051,-139.657,33.876,,,-105.781,45.632,45.632,0.0,-151.413,0.0,-151.413,0.0,0.0,-151.413,-117.4355,-11.6545,350.487,-0.43,-0.3,-0.335064,350.487,-0.43,-0.3,-0.335064,
06/30/2009,389.777,389.777,-280.067,280.067,109.71,0.0,-251.014,27.645,,27.645,67.646,,155.723,-141.304,-44.032,44.346,45.067,-0.721,,,0.69,-1.004,-185.336,81.644,,,-103.692,-907.258,-907.258,0.0,803.566,0.0,803.566,0.0,0.0,803.566,-97.89725,5.79475,350.665,2.29,-0.3,-0.279176,350.665,2.29,-0.3,-0.283475,
09/30/2009,507.179,507.179,-267.632,267.632,239.547,0.0,-204.854,23.686,,23.686,67.724,,113.444,34.693,-43.43,44.207,44.614,-0.407,-1.297,,,0.52,-8.737,-9.532,,,-18.269,-2.841,-2.841,0.0,-15.428,0.0,-15.428,0.0,0.0,-15.428,-12.3605,5.9085,351.561,-0.04,-0.05,-0.035159,351.561,-0.04,-0.05,-0.035159,
12/31/2009,461.699,461.699,-256.876,256.876,204.823,0.0,-418.091,20.4,,20.4,65.963,,331.728,-213.268,-57.383,48.556,49.696,-1.14,1.838,,0.543,8.284,-270.651,19.361,,,-251.29,-17.377,-17.377,0.0,-233.913,0.0,-233.913,0.0,0.0,-233.913,-432.4554,-181.1654,352.842,-0.66,-0.71,-1.225635,352.842,-0.66,-0.71,-1.225635,
