Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1468.543945,210.751999,98.015999,112.736,142.309998,,,151.764008,,,,,14.465,,,,,,519.291016,402.235992,746.927979,-344.691986,487.148987,,,59.868,,,,,,59.868,949.252979,,46.507999,46.507999,,,,462.89801,,,,,123.296017,,,123.296017,632.702026,381.846008,,,,332.791992,,,,332.791992,714.638,1347.340027,5.0,767.588013,,,-139.673996,,-513.221024,119.692993,1.511,121.203993,1468.54402,
06/30/1990,1769.746948,513.126998,503.447998,9.679,144.367004,,,164.662994,,,,,12.351,,,,,,834.507996,440.540985,798.747986,-358.207001,422.770996,,,71.927002,,,,,,71.927002,935.238983,,58.931,58.931,,,,142.085999,,,,,135.065002,,,135.065002,336.082001,998.39502,,,,299.811005,,,,299.811005,1298.206024,1634.288025,5.0,767.625977,,,-139.673996,,-499.274002,133.677979,1.781,135.458979,1769.747003,
09/30/1990,1709.813965,443.298985,432.165985,11.133,143.671005,,,190.966003,,,,,12.316,,,,,,790.252014,504.958008,885.176025,-380.217987,341.345001,,,73.259003,,,,,,73.259003,919.562012,,60.485001,60.485001,,,,121.942001,,,,,124.726013,,,124.726013,307.153015,1080.463989,,,,313.384003,,,,313.384003,1393.847992,1701.001007,5.0,767.643982,,,-139.673996,,-626.274002,6.695984,2.117,8.812984,1709.813991,
12/31/1990,1966.694946,443.065012,435.256012,7.809,130.220001,,,207.895004,,,,,103.245003,,,,,,884.424988,577.114014,976.393005,-399.278992,429.748993,,,75.406998,,,,,,75.406998,1082.270005,,78.719002,78.719002,,,,180.031006,,,,,141.653007,,,141.653007,400.403015,1130.44397,,,,395.75,,,,395.75,1526.19397,1926.596985,0.0,767.627991,,,-161.802994,,-567.257004,38.567993,1.53,40.097993,1966.694978,
03/31/1991,2046.204956,722.962971,690.232971,32.73,132.033005,,,194.822006,,,,,101.897003,,,,,,1151.714966,588.458008,953.567017,-365.109009,232.992004,,,73.040001,,,,,,73.040001,894.490013,,76.767998,76.767998,,,,144.914993,,,,,120.629997,,,120.629997,342.312988,1135.592041,,,,365.428986,,,,365.428986,1501.021027,1843.334015,0.0,767.627991,,,-161.809998,,-404.650024,201.167969,1.703,202.870969,2046.204984,
06/30/1991,1899.120972,583.457979,567.427979,16.030001,134.774994,,,186.653,,,,,95.825996,,,,,,1000.711975,624.525024,983.752014,-359.22699,204.516006,,,69.367996,,,,,,69.367996,898.409027,,55.679001,55.679001,,,,124.815002,,,,,113.737991,,,113.737991,294.231995,1029.785034,,,,343.996002,,,,343.996002,1373.781036,1668.013031,0.0,767.635986,,,-168.569,,-369.865997,229.200989,1.907,231.107989,1899.12102,
09/30/1991,1759.671021,386.527008,302.622009,83.904999,132.649002,,,178.175003,,,,,100.193001,,,,,,797.544006,676.864014,1063.897949,-387.033997,211.815002,,,73.447998,,,,,,73.447998,962.127014,,57.224998,57.224998,,,,134.716003,,,,,116.234993,,,116.234993,308.175995,1086.796997,,,,355.881989,,,,355.881989,1442.678986,1750.85498,0.0,767.643982,,,-355.231995,,-405.825012,6.586975,2.229,8.815975,1759.670956,
12/31/1991,1831.032959,353.265999,125.269997,227.996002,133.757004,,,196.910995,,,,,111.582001,,,,,,795.515991,738.583984,1157.327026,-418.743011,220.345001,,,76.587997,,,,,,76.587997,1035.516982,,102.205002,102.205002,,,,139.033997,,,,,118.930007,,,118.930007,360.169006,1150.250977,,,,377.049011,,,,377.049011,1527.299988,1887.468994,0.0,767.655029,,,-364.321991,,-461.608002,-58.274964,1.839,-56.435964,1831.03303,
03/31/1992,1750.032959,306.534988,133.651993,172.882996,150.792999,,,168.376007,,,,,110.681999,,,,,,736.385986,734.934021,1129.359009,-394.424988,209.244003,,,69.469002,,,,,,69.469002,1013.647026,,71.850998,71.850998,,,,131.998001,,,,,113.252014,,,113.252014,317.101013,1105.850952,,,,358.523987,,,,358.523987,1464.374939,1781.475952,0.0,767.651001,,,-367.980988,,-433.186005,-33.515991,2.073,-31.442991,1750.032961,
06/30/1992,1662.602051,355.774002,226.671005,129.102997,164.925003,,,169.654007,,,,,111.528,,,,,,801.880981,760.137024,1164.581055,-404.444,27.677999,,,72.905998,,,,,,72.905998,860.721022,,102.205002,102.205002,,,,171.927002,,,,,84.404984,,,84.404984,358.536987,1027.125977,,,,355.791992,,,,355.791992,1382.917969,1741.454956,0.0,767.64502,,,-367.980988,,-480.873993,-81.209961,2.357,-78.852961,1662.601995,
