Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,1031.900024,,,,,,,,,,,,,,,,,,,,,,,,,-25.700001,,,-25.700001,-25.700001,,451.839996,-0.07625,-0.07625,,451.839996,-0.07625,-0.07625,-0.07625,
03/31/1990,703.799988,,,-273.5,,430.299988,,-379.299988,,,51.0,-23.2,,29.9,,,-6.7,27.8,-12.1,15.7,0.0,,,15.7,-0.5,15.2,-9.0,,6.2,6.2,,452.559998,0.01375,0.01375,,452.559998,0.01375,0.01375,0.01375,
06/30/1990,793.299988,,,-299.299988,,494.0,,-379.899994,,,114.099998,-26.7,,24.1,,,2.6,87.399998,-38.0,49.400002,0.0,,,49.399998,-1.9,47.5,-9.0,,38.5,38.5,,453.200012,0.085,0.085,,453.200012,0.085,0.085,0.085,
09/30/1990,830.799988,,,-313.700012,,517.099976,,-409.5,,,107.599998,-27.799999,,22.299999,,,5.5,79.799999,-34.700001,45.099998,0.0,,,45.099998,-0.5,44.599998,-9.0,,35.599998,35.599998,,455.040009,0.07875,0.07875,,455.040009,0.07875,0.07875,0.07875,
12/31/1990,1125.900024,,,-441.899994,,684.00003,,-514.200012,,,169.800003,-7.899999,,20.6,,26.5,-39.200001,161.900004,-70.599998,91.300003,0.0,,,91.300006,2.9,94.199997,-9.0,0.0,85.199997,85.199997,,455.204008,0.1875,0.1875,0.1875,455.204008,0.1875,0.1875,0.1875,
03/31/1991,769.599976,,,-307.100006,,462.499969,,-404.200012,,,58.299999,-25.8,,28.5,,,-2.7,32.499999,-14.1,18.4,0.0,,,18.399999,-0.1,18.299999,-9.0,,9.299999,9.299999,,463.200012,0.02,0.02,,463.200012,0.02,0.02,0.02,
06/30/1991,828.900024,,,-305.299988,,523.600037,,-411.600006,,,112.0,-19.600001,,27.200001,,,-7.6,92.399999,-39.0,53.400002,0.0,,,53.399999,-1.3,52.099998,-9.2,,42.899999,42.899999,,496.959991,0.08625,0.08625,,496.959991,0.08625,0.08625,0.08625,
09/30/1991,865.200012,,,-343.5,,521.700012,,-428.600006,,,93.099998,-9.1,,19.1,,,-10.0,83.999998,-35.700001,48.299999,75.0,,,-26.700003,-0.6,-27.299999,0.0,,-27.299999,-27.299999,,573.119995,-0.0475,0.08375,,573.119995,-0.0475,0.08375,0.08375,
12/31/1991,1129.599976,,,-444.100006,,685.49997,,-501.700012,,,183.800003,-21.0,,22.200001,,25.299999,-26.5,162.800003,-67.699997,95.099998,0.0,,,95.100006,2.0,97.099998,0.0,0.0,97.099998,97.099998,,574.104,0.16875,0.16875,0.16875,574.104,0.16875,0.16875,0.16875,
03/31/1992,810.200012,,,-312.899994,,497.300018,,-438.0,,,59.299999,-117.299997,,11.6,,,105.699997,-57.999998,16.1,-41.900002,0.0,,,-41.899998,-0.2,-42.099998,0.0,,-42.099998,-42.099998,,574.47998,-0.07375,-0.07375,,574.47998,-0.07375,-0.07375,-0.07375,
06/30/1992,886.299988,,,-337.0,,549.299988,,-437.799988,,,111.5,-7.8,,12.1,,,-4.3,103.7,-41.799999,61.900002,0.0,,,61.900001,-2.0,59.900002,0.0,,59.900002,59.900002,,574.559998,0.10375,0.10375,,574.559998,0.10375,0.10375,0.10375,
09/30/1992,938.799988,,,-371.200012,,567.599976,,-469.5,,,98.099998,-8.0,,10.2,,,-2.2,90.099999,-35.900002,54.200001,0.0,,,54.199997,-0.3,53.900002,0.0,,53.900002,53.900002,,574.320007,0.09375,0.09375,,574.320007,0.09375,0.09375,0.09375,
12/31/1992,1174.599976,,,-466.399994,,708.199982,,-518.5,,,189.699997,-13.8,,10.1,,17.0,-13.3,175.899997,-69.900002,106.0,0.0,,,105.999995,-2.7,103.300003,0.0,0.0,103.300003,103.300003,,574.968936,0.18,0.18,0.18,574.968936,0.18,0.18,0.18,
03/31/1993,841.900024,,,-322.899994,,519.000031,,-462.799988,,,56.200001,-15.7,,10.1,,,5.6,40.5,-16.200001,24.299999,117.5,,,-93.2,0.3,-92.900002,0.0,,-92.900002,-92.900002,,576.23999,-0.16125,0.0425,,576.23999,-0.16125,0.0425,0.0425,
06/30/1993,949.299988,,,-359.100006,,590.199982,,-466.899994,,,123.300003,-10.8,,11.5,,,-0.7,112.500003,-45.0,67.5,0.0,,,67.500003,-1.9,65.599998,0.0,,65.599998,65.599998,,576.400024,0.11375,0.11375,,576.400024,0.11375,0.11375,0.11375,
09/30/1993,957.099976,,,-368.5,,588.599976,,-493.0,,,95.599998,-10.4,,11.6,,,-1.2,85.199998,-31.0,54.200001,0.0,,,54.199998,-0.2,54.0,0.0,,54.0,54.0,,576.559998,0.09375,0.09375,,576.559998,0.09375,0.09375,0.09375,
12/31/1993,1259.300049,,,-493.100006,,766.200043,,-585.299988,,,180.899994,-0.700001,,12.0,,8.0,-19.299999,180.199993,-69.699997,110.5,0.0,,,110.499996,-5.1,105.400002,0.0,0.0,105.400002,105.400002,,577.119992,0.1825,0.1825,0.1825,577.119992,0.1825,0.1825,0.1825,
03/31/1994,913.599976,,,-361.5,,552.099976,,-489.299988,,,62.799999,-14.0,,14.5,,,-0.5,48.799999,-19.200001,29.6,45.200001,,,-15.600002,-0.1,-15.7,0.0,,-15.7,-15.7,,575.359985,-0.0275,0.05125,,575.359985,-0.0275,0.05125,0.05125,
06/30/1994,1007.200012,,,-389.100006,,618.100006,,-490.399994,,,127.699997,-7.7,,15.2,,,-7.5,119.999997,-46.799999,73.199997,22.200001,,,50.999997,-0.9,50.099998,0.0,,50.099998,50.099998,,566.880005,0.08875,0.1275,,566.880005,0.08875,0.1275,0.1275,
09/30/1994,1009.799988,,,-392.899994,,616.899994,,-515.200012,,,101.699997,-21.099999,,11.2,,,9.9,80.599998,-28.700001,51.900002,0.0,,,51.899997,-0.6,51.299999,0.0,,51.299999,51.299999,,561.359985,0.09125,0.09125,,561.359985,0.09125,0.09125,0.09125,
12/31/1994,1335.900024,,,-528.599976,,807.300048,,-603.900024,,,203.399994,-19.0,,9.9,,6.8,2.3,184.399994,-68.800003,115.599998,1.6,,,113.999991,-3.9,110.099998,0.0,,110.099998,110.099998,,555.44,0.19875,0.20125,0.20125,555.44,0.19875,0.20125,0.20125,
03/31/1995,976.200012,,,-387.299988,,588.900024,,-517.0,,,71.900002,-15.4,,9.0,,0.0,6.4,56.500001,-22.5,34.0,0.0,,,34.000001,0.4,34.400002,0.0,,34.400002,34.400002,,549.440002,0.0625,0.0625,,549.440002,0.0625,0.0625,0.0625,
