Date,Revenue,Sales & Services Revenue,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.496,,,0.151667,62.496,,,,
06/30/1990,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.55,,,0.135,62.55,,,,
09/30/1990,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.628,,,0.22,62.628,,,,
12/31/1990,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.589,,,0.149167,62.589,,,,
03/31/1991,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.676,,,0.149167,62.676,,,,
06/30/1991,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.772,,,0.155833,62.772,,,,
09/30/1991,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.844,,,0.188333,62.844,,,,
12/31/1991,,,,,,,,,,,,,0.0,,,,,,3.8,,,,,,,,,,,62.817,,,0.213333,62.817,,,,
03/31/1992,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,66.471,,,0.22,66.471,,,,
06/30/1992,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,66.741,,,0.233333,66.741,,,,
09/30/1992,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,67.017003,,,0.24,67.017003,,,,
12/31/1992,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,62.194503,,,0.3,62.194503,,,,
03/31/1993,,,,,,,,,,,,,0.0,,,,,,6.5,,,,,,,,,,,66.847499,,,0.333333,66.847499,,,,
06/30/1993,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,66.841501,,,0.32,66.841501,,,,
09/30/1993,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,66.841501,,,0.346667,66.841501,,,,
12/31/1993,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,67.210498,,,0.446667,67.210498,,,,
03/31/1994,,,,,,,,,,,,,-6.0,,,,,,0.0,,,,,,,,,,,67.649997,,,0.406667,67.649997,,,,
06/30/1994,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,67.800002,,,0.466667,67.800002,,,,
