Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Discontinued Operations,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/29/1989,296.01001,3.159,3.159,0.0,3.159,,,165.854996,,,,,15.022,,,,187.195007,106.033997,136.207993,-30.174,0.0,2.781,,,,,,2.781,108.814996,,49.924999,49.924999,,,,14.704,,,,,,18.653997,,,,18.653997,83.282997,55.518002,,,,,7.095,,,,,,7.095,62.613001,145.895998,0.0,83.547997,,,0.0,,66.566002,150.113998,0.0,150.113998,296.009997,
07/29/1989,344.10199,10.097,10.097,0.0,2.22,,,198.328003,,,,,17.184,,,,227.828995,113.499001,146.973999,-33.474998,0.0,2.774,,,,,,2.774,116.273,,71.512001,71.512001,,,,1.54,,,,,,17.667001,,,,17.667001,90.719002,95.015999,,,,,7.681,,,,,,7.681,102.696999,193.416001,0.0,84.096001,,,0.0,,66.589996,150.685997,0.0,150.685997,344.101998,
10/28/1989,383.700989,2.528,2.528,0.0,3.04,,,240.917007,,,,,16.402,,,,262.886993,118.058998,155.473999,-37.415001,0.0,2.755,,,,,,2.755,120.813998,,72.595001,72.595001,,,,36.853001,,,,,,14.397999,,,,14.397999,123.846001,101.876999,,,,,8.519,,,,,,8.519,110.395999,234.242,0.0,84.208,,,0.0,,65.250999,149.459,0.0,149.459,383.700999,
02/03/1990,308.230988,2.848,2.848,0.0,2.468,,,159.171997,,,,,25.465,,,,189.953003,115.549004,154.119003,-38.57,0.0,2.729,,,,,,2.729,118.278004,,44.167999,44.167999,,,,1.655,,,,,,17.588,,,,17.588,63.410999,91.086998,,,,,8.957,,,,,,8.957,100.043998,163.454997,0.0,84.077003,,,0.0,,60.699001,144.776005,0.0,144.776005,308.231002,
05/05/1990,309.054993,3.087,3.087,0.0,2.323,,,176.287003,,,,,11.596,,,,193.292999,113.021004,,,0.0,2.741,,,,,,2.741,115.762004,,55.854,55.854,,,,1.703,,,,,,14.226997,,,,14.226997,71.783997,86.305,,,,,9.91,,,,,,9.91,96.215,167.998997,0.0,84.078003,,,0.0,,56.978001,141.056004,0.0,141.056004,309.055,
08/04/1990,340.32901,6.87,6.87,0.0,2.843,,,201.591003,,,,,15.603,,,,226.906998,110.657997,,,0.0,2.764,,,,,,2.764,113.421997,,58.647999,58.647999,,,,1.701,,,,,,17.473,,,,17.473,77.821999,110.399002,,,,,9.754,,,,,,9.754,120.153002,197.975,0.0,84.571999,,,0.0,,57.782001,142.354,0.0,142.354,340.329,
11/03/1990,347.949005,7.877,7.877,0.0,3.312,,,209.843002,,,,,14.865,,,,235.897003,109.422997,,,0.0,2.629,,,,,,2.629,112.051996,,60.147999,60.147999,,,,11.599,,,,,,18.421,,,,18.421,90.167999,104.977997,,,,,9.899,,,,,,9.899,114.876997,205.044996,0.0,84.653999,,,0.0,,58.25,142.903999,0.0,142.903999,347.948996,
02/02/1991,288.118988,3.935,3.935,0.0,2.291,,,160.554993,,,,,11.282,,,,178.063004,107.375,156.932007,-49.556999,0.0,2.681,,,,,,2.681,110.056,,56.448002,56.448002,,,,1.151,,,,,,20.430997,,,,20.430997,78.029999,50.125,,,,,10.024,,,,,,10.024,60.149,138.178999,0.0,84.695999,,,0.0,,65.244003,149.940002,0.0,149.940002,288.119001,
05/04/1991,289.332001,3.205,3.205,0.0,2.749,,,161.289001,,,,,12.631,,,,179.873993,107.293999,,,0.0,2.164,,,,,,2.164,109.457999,,56.276001,56.276001,,,,0.91,,,,,,19.397999,,,,19.397999,76.584,53.416,,,,,10.122,,,,,,10.122,63.538,140.122,0.0,84.801003,,,0.0,,64.408997,149.209999,0.0,149.209999,289.331999,
08/03/1991,313.134003,3.505,3.505,0.0,3.558,,,179.261993,,,,,17.426001,,,,203.751007,107.503998,,,0.0,1.879,,,,,,1.879,109.382998,,68.018997,68.018997,,,,0.563,,,,,,21.301006,,,,21.301006,89.883003,61.5,,,,,10.257,,,,,,10.257,71.757,161.640003,0.0,84.906998,,,0.0,,66.586998,151.493996,0.0,151.493996,313.133999,
