Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Source: Bloomberg
03/31/1990,104.846001,105.199997,105.199997,,4.211027,1.891635,0.741445,0.38,0.38,,0.38,0.38,0.38,0.3,1.68251,,0.39105,14.259008,
06/30/1990,104.846001,105.199997,105.199997,,3.422053,1.292776,0.180608,-0.03,-0.03,,-0.03,-0.03,-0.03,0.3,1.501901,,0.362436,13.925185,
09/30/1990,79.639,99.699997,99.699997,,4.934805,2.136409,0.942829,0.45,0.45,,0.45,0.45,0.45,0.3,1.945838,,0.853853,6.278331,
12/31/1990,79.653999,79.6465,79.6465,,8.098284,3.879643,2.259986,1.71,1.71,1.71,1.71,1.71,1.71,0.3,3.716422,,1.016898,7.720893,
03/31/1991,79.654999,87.099998,87.099998,,5.017222,2.009185,0.528129,0.94,0.94,,0.94,0.94,0.94,0.3,3.386912,,0.916452,8.411274,
06/30/1991,79.654999,79.800003,79.800003,,4.273183,1.641604,0.313283,-0.23,-0.23,,-0.23,-0.23,-0.23,0.3,0.075188,,0.338962,7.896554,
09/30/1991,79.655998,79.800003,79.800003,,4.072682,1.12782,-0.213033,-0.14,-0.14,,-0.14,-0.14,-0.14,0.3,1.215539,,0.100432,7.457066,
12/31/1991,79.667,79.661499,79.661499,,4.782737,1.820202,0.489572,-0.55,-0.55,-0.55,-0.55,-0.55,-0.55,0.3,2.372539,,0.125522,6.615035,
03/31/1992,79.667,79.699997,79.699997,,3.78921,1.329988,0.025094,-0.61,0.13,,-0.61,0.13,0.13,0.3,0.915935,,0.11297,6.087841,
06/30/1992,79.667,79.699997,79.699997,,3.927227,1.555834,0.288582,-0.01,-0.01,,-0.01,-0.01,-0.01,0.3,1.468005,,0.301254,6.25102,
