Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Funds From Operations - Basic,Funds From Operations - Diluted,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
03/31/1997,,144.345001,144.345001,,4.189781,1.971305,1.179431,0.505,0.505,0.505,0.505,0.505,0.505,,1.52687,1.291316,,,,,,,
06/30/1997,,144.468002,144.468002,,4.106446,1.866171,1.167663,0.511,0.511,0.511,0.511,0.511,0.511,0.75,1.148344,0.948888,,,,,,,
09/30/1997,,144.585999,144.585999,,4.513992,2.170162,1.350981,0.613,0.613,0.613,0.613,0.613,0.613,,1.64803,1.294669,,,,,,,
12/31/1997,230.207001,196.457001,196.457001,,4.94129,1.859053,1.04598,0.358,0.358,0.358,0.358,0.358,0.358,,1.304148,0.864036,,,0.426733,18.068946,18.068946,41.585225,
03/31/1998,230.207001,222.406998,222.406998,,5.395482,2.313327,1.450557,0.555972,0.555972,0.555972,0.555972,0.555972,0.555972,0.375,1.175138,0.893569,,,0.212179,18.249219,,41.282284,
06/30/1998,229.404999,223.987,223.987,,6.535991,2.006692,1.191274,0.13,0.269997,0.27,0.13,0.27,0.27,0.375,1.321604,-0.044248,,,0.309344,18.968471,,39.818809,
09/30/1998,237.069,229.481995,229.481995,,7.5038,2.669046,1.86527,0.71,0.71,0.71,0.71,0.71,0.71,0.375,1.231421,0.908289,,,0.496358,18.712038,,38.290758,
12/31/1998,237.069092,229.615997,229.615997,,8.568611,2.567095,1.363695,0.41,0.41,0.41,0.41,0.41,0.41,0.375,1.626681,0.74477,,,0.328166,18.767347,,38.986838,
03/31/1999,235.531204,229.139999,229.139999,,6.208222,2.586973,1.642428,0.6,0.6,0.6,0.6,0.6,0.6,0.375,1.000812,0.61668,,,0.193656,18.934213,9.7467,39.144001,
06/30/1999,234.490906,227.367004,227.367004,,6.702296,2.686621,1.645362,0.55,0.55,0.55,0.55,0.55,0.55,0.375,1.284971,0.876068,,,0.966063,19.076377,10.030491,39.337022,
09/30/1999,233.024002,226.432007,226.432007,,7.650822,3.489445,1.949442,0.82,0.82,0.82,0.82,0.82,0.82,0.375,2.506682,1.999364,,,0.496103,19.468574,10.418794,38.761917,
12/31/1999,232.4543,227.235992,227.235992,,7.243417,2.575279,1.514632,0.53,0.53,0.53,0.53,0.53,0.53,0.375,2.093445,0.645448,,,0.480903,19.633494,10.470824,39.118832,
03/31/2000,230.908997,224.858994,224.858994,,7.150837,2.693639,1.662571,0.63,0.63,0.63,0.63,0.63,0.63,0.375,1.539645,0.865089,,,0.18642,19.891537,10.720128,39.486961,
06/30/2000,229.231094,223.992996,223.542007,,7.614247,2.745922,1.628741,0.6,0.6,0.6,0.6,0.6,0.6,0.375,1.356425,0.799944,,,0.381973,20.103752,10.868295,32.475124,
09/30/2000,227.446701,221.845993,221.845993,,8.526839,3.475965,2.067078,0.89,0.89,0.89,0.89,0.89,0.89,0.375,2.290621,1.815656,,,0.295511,20.592798,11.347062,32.972807,
12/31/2000,224.531601,219.759995,219.759995,,8.314898,2.554032,1.40334,0.57,0.57,0.57,0.57,0.57,0.57,0.375,1.879145,0.940977,,,0.219381,20.723702,11.420913,33.737238,
03/31/2001,223.981995,218.903,218.106995,,9.104435,2.601911,1.450233,0.45,0.49,0.51,0.45,0.49,0.51,0.375,1.095962,0.402834,,,0.18973,20.982723,11.719871,33.925062,
06/30/2001,223.982,219.54,218.372,,8.261801,2.831201,1.774142,0.67,0.67,0.67,0.67,0.67,0.67,0.375,0.849065,0.275173,,,0.91623,20.95876,11.751355,33.952309,
09/30/2001,223.981995,220.164993,218.593994,,8.928178,3.53856,2.468032,1.07,1.07,1.07,1.06,1.06,1.06,0.375,2.778654,1.446156,,,0.783965,21.282746,12.140507,34.193281,
12/31/2001,297.636,264.43,262.974,,8.58575,2.713546,1.680379,0.64,0.64,0.64,0.64,0.64,0.64,0.375,1.224072,0.14155,,,0.739756,24.857877,5.120815,41.757146,
03/31/2002,297.635986,294.343994,292.790985,,9.745102,2.804987,1.676746,0.4,0.4,0.45,0.4,0.4,0.45,0.375,1.585035,0.918034,,,2.176205,24.985279,3.96134,47.567602,
06/30/2002,297.635986,294.588989,293.079987,,9.890041,3.227505,2.135642,0.71,0.71,0.71,0.71,0.71,0.71,0.375,0.894374,0.128716,,,1.206339,25.418479,6.586862,41.943617,
09/30/2002,297.636261,294.277008,293.328003,,11.765614,3.606113,2.47902,0.97,0.97,1.19,0.97,0.97,1.19,0.375,2.278736,1.341481,,,0.942583,26.182207,6.789892,42.142407,
12/31/2002,297.636,294.171,293.013,,9.654169,2.311386,1.08889,-0.1,0.2,0.7,-0.1,0.2,0.7,0.375,1.776928,0.742472,,,0.659534,23.688872,2.595751,43.56721,
03/31/2003,297.636,294.877,293.886,,11.003437,2.548849,1.392686,0.74,0.39,0.65,0.74,0.39,0.65,0.375,1.57293,0.809304,,,0.974465,24.06732,3.111274,43.600405,
06/30/2003,297.635986,295.888,294.165985,,9.698943,1.899383,0.795925,-0.2,0.03,0.52,-0.2,0.03,0.52,0.375,0.12099,-0.558022,,,0.215713,23.937802,2.941138,43.389345,
