Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1998,-3.6,-2.3,18.4,42.200001,,,42.200001,-61.900002,,-61.900002,,-668.700012,-10.4,0.0,,,-10.4,,,0.0,0.0,0.0,,,,,-658.300013,671.100012,0.0,669.700012,,,,0.0,0.0,0.0,1.4,,-1.2,,,
06/30/1998,6.5,23.6,26.299999,-36.099998,,,-36.099998,-7.3,,-7.3,,-30.799999,-30.799999,0.0,,,-30.799999,,,0.0,0.0,0.0,,,,,0.0,24.900001,0.0,25.600001,,,,0.0,0.0,0.0,-0.7,,0.6,,,
09/30/1998,94.900002,25.6,27.799999,8.8,,,8.8,32.700001,,32.700001,,-23.799999,-23.799999,0.0,,,-23.799999,,,0.0,0.0,0.0,,,,,0.0,-71.199985,0.0,-276.799988,,,,206.300003,206.300003,0.0,-0.7,,-0.1,,,
12/31/1998,48.599998,34.099998,28.799999,-13.8,,,-13.8,-0.5,,-0.5,,-35.099998,-28.5,0.0,,,-28.5,,,0.0,0.0,0.0,,,,,-6.599998,-11.099999,0.0,-16.9,,,,0.0,0.0,0.0,5.8,,2.4,,,
03/31/1999,24.1,32.400002,29.6,5.8,,,5.8,-43.700001,,-43.700001,,-54.599998,-23.4,0.0,,,-23.4,,,0.0,0.0,0.0,,,,,-31.199999,46.899999,0.0,43.799999,,,,3.1,3.1,0.0,0.0,,16.4,,,
06/30/1999,91.400002,32.799999,30.6,-0.2,,,-0.2,28.200001,,28.200001,,-48.299999,-28.799999,0.0,,,-28.799999,,,0.0,0.0,0.0,,,,,-19.5,-42.999999,0.0,-46.599998,,,,3.6,3.6,0.0,0.0,,0.1,,,
09/30/1999,78.800003,39.700001,34.200001,-17.700001,,,-17.700001,22.6,,22.6,,-100.300003,-36.599998,0.0,,,-36.599998,,,0.0,0.0,0.0,,,,,-63.700005,43.6,0.0,36.5,,,,2.2,2.2,0.0,4.9,,22.1,,,
12/31/1999,268.700012,32.099998,35.900002,166.899994,,,166.899994,33.799999,,33.799999,,-73.699997,-66.400002,0.0,,,-66.400002,,,0.0,0.0,0.0,,,,,-7.299995,-206.599997,0.0,-202.199997,,,,-4.4,7.5,-11.9,0.0,,-11.6,,,
03/31/2000,30.200001,44.400002,37.5,20.0,,,20.0,-71.699997,,-71.699997,,-48.400002,-41.299999,0.0,,,-41.299999,,,0.0,0.0,0.0,,,,,-7.100002,14.499999,0.0,-2.3,,,,16.799999,16.799999,0.0,0.0,,-3.7,,,
06/30/2000,86.099998,45.900002,40.099998,26.9,,,26.9,-26.799999,,-26.799999,,-51.799999,-41.599998,0.0,,,-41.599998,,,0.0,0.0,0.0,,,,,-10.200001,-29.600002,0.0,-35.100002,,,,5.5,19.9,-14.4,0.0,,4.7,,,
09/30/2000,5.200001,47.6,41.100002,-64.699997,,,-64.699997,-18.800004,,-18.800004,,-50.799999,-31.200003,0.0,,,-31.200003,,,0.0,0.0,0.0,,,,,-19.599996,61.0,0.0,65.900002,,,,0.0,0.0,0.0,-4.900002,,15.4,,,
03/31/2001,90.400002,52.099998,45.200001,-22.200001,,,-22.200001,15.3,,15.3,,-50.400002,-34.700001,0.0,,,-34.700001,,,0.0,0.0,0.0,,,,,-15.700001,-29.299999,0.0,-46.599998,,,,17.299999,17.299999,0.0,0.0,,10.7,,,
