Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Property Additions,Property Improvements,Change in Investments,Change in Notes,Change in Mortgages,Change in Real Estate Interest,Other Investing Activities,Cash from Investing Activities,Cash from Financing Activities,Dividends Paid,Preferred Dividends Other Distributions,Proceeds from Repayments of Borrowings,Change in Unsecured Debt,Change in Secured Debt,Increase in Capital Stocks,Decrease in Capital Stocks,Other Financing Activities,Net Changes in Cash,Source: Bloomberg
03/31/2013,286.626,15.462,186.459,103.353,-18.648,,0,0,-116.353,0.0,0.0,0.0,0.0,-12.663,-129.016,-438.109,0.0,0.0,-834.755,-165,-669.755,0.0,0.0,396.646,-280.499,
06/30/2013,273.401,52.359,190.651,70.615,-40.224,,0,0,-138.467,0.0,0.0,0.0,0.0,-7.973,-146.44,-160.94,0.0,0.0,-67.869,-42,-25.869,0.0,0.0,-93.071,-33.979,
09/30/2013,278.839,45.836,195.408,66.89,-29.295,,0,0,-130.662,0.0,0.0,0.0,0.0,-26.894,-157.556,-29.52,0.0,0.0,-17.902,-791,773.098,0.0,0.0,-11.618,91.763,
12/31/2013,398.79,-23.546,201.697,136.446,84.193,,0,0,-182.328,0.0,0.0,0.0,0.0,-4905.629,-5087.957,4693.912,0.0,0.0,795.664,119,676.664,3931.472,,-33.224,4.745,
03/31/2014,362.283,101.497,250.191,33.76,-23.165,,0,0,-142.943,0.0,0.0,0.0,0.0,-61.276,-204.219,-180.921,-116.829,-11.363,-33.739,-6,-27.739,0.0,0.0,-18.99,-22.857,
06/30/2014,722.936,135.506,491.759,90.901,4.77,,0,0,-299.298,0.0,0.0,0.0,0.0,-83.41,-382.708,-361.787,-233.684,-22.36,-86.534,-40,-46.534,0.0,-21.73,2.521,-21.559,
09/30/2014,427.99,106.937,247.206,23.906,49.941,,0,0,-199.662,0.0,0.0,0.0,0.0,-88.159,-287.821,-124.604,-116.851,-10.997,-10.812,20,-30.812,0.0,-21.465,35.521,15.565,
12/31/2014,1600.197,390.513,985.781,99.489,124.414,,0,0,-758.535,0.0,0.0,0.0,0.0,-458.174,-1216.709,-470.999,-624.297,-44.354,213.425,321,-107.575,0.0,-21.872,6.099,-87.511,
03/31/2015,460.794,122.787,251.806,27.954,58.247,,0,0,-201.653,0.0,0.0,0.0,0.0,-21.107,-222.76,-173.501,-273.685,-10.997,133.503,165,-31.497,0.0,-29.372,7.05,64.533,
06/30/2015,923.759,1276.147,504.959,-993.712,136.365,,0,0,-420.883,0.0,0.0,0.0,0.0,1085.247,664.364,-1425.134,-547.371,-21.994,-818.055,-695,-123.055,0.0,-29.49,-8.224,162.989,
09/30/2015,371.476,103.779,261.662,23.706,-17.671,,0,0,-237.357,0.0,0.0,0.0,0.0,-1012.075,-1249.432,723.463,-273.685,-10.997,990.669,1015,-24.331,0.0,-0.086,17.562,-154.493,
12/31/2015,1794.025,1520.992,1036.178,-984.19,221.045,,0,0,-908.892,0.0,0.0,0.0,0.0,-1050.842,-1959.734,-937.378,-1116.444,-43.988,257.797,430,-172.203,0.0,-29.657,-5.086,-1103.087,
03/31/2016,437.656,47.84,277.875,66.641,45.3,,0,0,-193.489,0.0,0.0,0.0,0.0,98.893,-94.596,-346.168,-299.09,-10.997,-308.641,-915,606.359,323.798,-24.354,-26.884,-3.108,
06/30/2016,480.525,86.058,276.026,49.035,69.406,,0,0,-199.508,0.0,0.0,0.0,0.0,-469.68,-669.188,215.299,-298.756,-10.997,539.647,225,314.647,0.0,-0.106,-14.489,26.636,
09/30/2016,386.534,98.365,280.824,44.735,-37.39,,0,0,-221.181,,,,,-154.618,-375.799,-170.004,-298.782,-10.997,140.453,-25,165.453,0.0,-0.299,-0.379,-159.269,
12/31/2016,477.549,124.71,273.826,33.666,45.347,,0,0,-259.705,,,,,-10.944,-270.649,204.48,-342.53,-10.997,-436.07,-410,-26.07,1002.067,-0.177,-7.813,411.38,
03/31/2017,442.0,119.0,289.0,26.0,8.0,,0,0,-262.0,0.0,0.0,0.0,0.0,-1501.0,-1763.0,949.0,-348.0,0.0,1304.0,335,969.0,22.0,-22.0,-7.0,-372.0,
06/30/2017,489.0,112.114,295.0,29.886,52.0,,0,0,-301.0,0.0,0.0,0.0,0.0,-611.0,-912.0,421.0,-348.0,0.0,331.0,15,316.0,442.0,-1.0,-3.0,-2.0,
09/30/2017,482.0,115.0,296.0,30.0,41.0,,0,0,-289.0,0.0,0.0,0.0,0.0,-7.0,-296.0,6330.0,-386.0,0.0,1367.0,-350,1717.0,5365.0,0.0,-16.0,6516.0,
12/31/2017,626.895,98.0,362.211,49.653,117.031,,0,0,-376.559,0.0,0.0,0.0,0.0,-7146.588,-7523.147,491.212,-426.69,-29.935,950.937,980,-29.063,0.563,-0.27,-3.393,-6405.04,
03/31/2018,452.0,114.0,374.0,102.0,-138.0,,0,0,-370.0,0.0,0.0,0.0,0.0,-14.0,-384.0,-163.0,-443.0,-28.0,-487.0,-880,393.0,843.0,-33.0,-15.0,-95.0,
06/30/2018,659.0,180.0,379.0,34.0,66.0,,0,0,-393.0,0.0,0.0,0.0,0.0,-1.0,-394.0,-274.0,-436.0,-29.0,200.0,215,-15.0,0.0,-3.0,-6.0,-9.0,
09/30/2018,664.0,164.0,385.0,76.0,39.0,,0,0,-478.0,0.0,0.0,0.0,0.0,-25.0,-503.0,-43.0,-436.0,-28.0,433.0,490,-57.0,0.0,0.0,-12.0,118.0,
12/31/2018,725.0,200.0,389.0,-2.0,138.0,,0,0,-498.0,0.0,0.0,0.0,0.0,-14.0,-512.0,-254.0,-467.0,-28.0,240.0,270,-30.0,2.0,-2.0,1.0,-41.0,
03/31/2019,512.0,193.0,394.0,40.0,-115.0,,0,0,-480.0,0.0,0.0,0.0,0.0,-9.0,-489.0,-28.0,-477.0,-28.0,529.0,-430,959.0,0.0,-42.0,-10.0,-5.0,
06/30/2019,715.0,216.0,393.0,41.0,65.0,,0,0,-518.0,0.0,0.0,0.0,0.0,-3.0,-521.0,-173.0,-467.0,-29.0,328.0,-160,488.0,0.0,-1.0,-4.0,21.0,
09/30/2019,664.0,272.0,389.0,33.0,-30.0,,0,0,-540.0,0.0,0.0,0.0,0.0,0.0,-540.0,-228.0,-471.0,-28.0,282.0,-95,377.0,0.0,-1.0,-10.0,-104.0,
12/31/2019,809.0,208.0,398.0,-48.0,251.0,,0,0,-521.0,0.0,0.0,0.0,0.0,-12.0,-533.0,-263.0,-497.0,-28.0,262.0,135,127.0,0.0,0.0,0.0,13.0,
03/31/2020,653.0,185.0,399.0,43.0,26.0,,0,0,-447.0,0.0,0.0,0.0,0.0,-21.0,-468.0,-51.0,-513.0,-28.0,564.0,745,-181.0,0.0,-73.0,-1.0,134.0,
06/30/2020,756.0,200.0,402.0,47.0,107.0,,0,0,-414.0,0.0,0.0,0.0,0.0,-8.0,-422.0,1868.0,-501.0,-29.0,2436.0,-1270,3706.0,0.0,-1.0,-37.0,2202.0,
