Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,0,1906,0,9.0,1915,0.0,0.0,-549,-549,,-99,-29,-1071,-1199,167,0.0,0.0,-41,3.0,-16.0,-54,113,-42,71,0,0,71,-7,,64,,,64.0,0.92,0.92,0.92,69.530998,,,,,
06/30/1990,0,1604,0,4.0,1608,0.0,0.0,-345,-345,,-87,-24,-1436,-1547,-284,0.0,0.0,-44,4.0,-15.0,-55,-339,111,-228,0,0,-228,-5,,-233,,,-233.0,-3.34,-3.34,-3.34,69.760002,,,,,
09/30/1990,0,1634,0,0.0,1634,0.0,0.0,-347,-347,,-91,-24,-1017,-1132,155,0.0,0.0,-48,3.0,-13.0,-58,97,-39,58,0,0,58,-6,,52,,,52.0,0.74,0.74,0.74,70.144997,,,,,
12/31/1990,0,1779,0,3.0,1782,0.0,0.0,-429,-429,,-97,-27,-1076,-1200,153,0.0,0.0,-71,4.0,,-67,86,-38,48,0,0,48,-7,,41,,,41.0,0.59,0.59,0.59,70.485001,,,,,
03/31/1991,0,938,0,2.0,940,0.0,0.0,-429,-429,,-55,-31,-280,-366,145,0.0,0.0,-50,,,-50,95,-40,55,-12,0,43,-6,,37,,,49.0,0.7,0.7,0.53,70.995003,,,,,
06/30/1991,0,697,0,31.0,728,0.0,0.0,-264,-264,,-22,-24,-299,-345,119,0.0,0.0,-33,,,-33,86,-31,55,-13,0,42,-6,,36,,,49.0,0.68,0.68,0.5,71.586998,,,,,
09/30/1991,0,679,0,6.0,685,0.0,0.0,-248,-248,,-57,-24,-262,-343,94,0.0,0.0,-40,,,-40,54,-20,34,-10,0,24,-6,,18,,,28.0,0.39,0.39,0.25,72.202003,,,,,
12/31/1991,0,693,0,6.0,699,0.0,0.0,-326,-326,,-58,-37,-215,-310,63,0.0,0.0,-13,,,-13,50,-20,30,-220,0,-190,-5,,-195,,,25.0,0.35,0.35,-2.68,72.694,,,,,
03/31/1992,0,812,0,5.0,817,0.0,0.0,-338,-338,,-83,-34,-240,-357,122,0.0,0.0,-51,,,-51,71,-30,41,-503,0,-462,-6,,-468,,,35.0,0.48,0.48,-6.36,73.588997,,,,,
06/30/1992,0,652,0,6.0,658,0.0,0.0,-199,-199,,-34,-28,-288,-350,109,0.0,0.0,-42,,,-42,67,-32,35,-151,0,-116,-6,,-122,,,29.0,0.39,0.39,-1.63,74.646004,,,,,
09/30/1992,0,632,0,0.0,632,0.0,0.0,-201,-201,,-59,-23,-245,-327,104,0.0,0.0,-44,,,-44,60,-26,34,0,0,34,-6,,28,,,28.0,0.38,0.38,0.38,75.0,,,,,
12/31/1992,0,802,0,0.0,802,0.0,0.0,-343,-343,,-60,-37,-275,-372,87,0.0,0.0,-20,,,-20,67,-34,33,-32,0,1,-5,,-4,,,28.0,0.36,0.36,-0.07,75.217003,0.36,0.36,-0.07,75.217003,
03/31/1993,0,773,0,6.0,779,0.0,0.0,-355,-355,,-59,-35,-219,-313,111,0.0,0.0,-38,,,-38,73,-33,40,0,0,40,-6,,34,,,34.0,0.45,0.45,0.45,75.366997,,,,,
06/30/1993,0,652,0,7.0,659,0.0,0.0,-213,-213,,-61,-26,-249,-336,110,0.0,0.0,-29,,,-29,81,-36,45,0,0,45,-7,,38,,,38.0,0.49,0.49,0.49,78.672997,,,,,
