Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/20/2006,1609.826,,-1185.396,,424.43,,-457.343,,,,-32.913,-9.372,2.419,2.419,,0.0,6.953,-42.285,1.413,-40.872,-16.259,,,-24.613,0.0,-24.613,0.0,0.0,-24.613,-24.613,,141.314,-0.17,-0.29,-0.26,141.314,-0.17,-0.29,-0.26,
01/10/2007,1164.192,,-873.034,,291.158,,-302.528,,,,-11.37,0.566,-0.566,,,0.0,0.0,-10.804,0.855,-9.949,0.0,,,-9.949,,-9.949,0.0,0.0,-9.949,-9.949,,53.901,-0.18,-0.18,-0.18,53.901,-0.18,-0.18,-0.18,
04/04/2007,1683.829,,-1213.848,,469.981,,-446.041,,,,23.94,2.296,-2.296,0.0,,0.0,0.0,26.236,-8.407,17.829,0.0,,,17.829,0.0,17.829,0.0,0.0,17.829,17.829,,53.901,0.33,0.33,0.33,53.951,0.33,0.33,0.33,
06/27/2007,1676.462,,-1208.303,,468.159,,-439.37,,,,28.789,1.27,,,,0.0,-1.27,30.059,-9.474,20.585,0.0,,,20.585,0.0,20.585,0.0,0.0,20.585,20.585,,54.17,0.38,0.38,0.38,54.17,0.38,0.38,0.38,
09/19/2007,1620.898,,-1174.543,,446.355,,-448.644,,,,-2.289,1.435,-1.435,,,0.0,0.0,-0.854,0.064,-0.79,0.0,,,-0.79,,-0.79,0.0,0.0,-0.79,-0.79,,53.901,-0.01,-0.01,-0.01,53.901,-0.01,-0.01,-0.01,
01/09/2008,2246.968,,-1647.942,,599.026,,-591.56,,,,7.466,0.87,-1.08,,,0.0,0.21,8.336,-4.265,4.071,0.0,,,4.071,,4.071,0.0,0.0,4.071,4.071,,53.901,0.08,0.08,0.08,54.176,0.08,0.08,0.08,
04/02/2008,1722.829,,-1239.749,,483.08,,-458.708,,,,24.372,1.057,-1.057,,,0.0,0.0,25.429,-10.405,15.024,0.0,,,15.024,,15.024,0.0,0.0,15.024,15.024,,53.97,0.28,0.28,0.28,54.251,0.28,0.28,0.28,
06/25/2008,1690.754,,-1235.664,,455.09,,-460.67,,,,-5.58,-1.301,,,,0.0,1.301,-6.881,1.388,-5.493,0.0,,,-5.493,,-5.493,0.0,0.0,-5.493,-5.493,,54.064,-0.1,-0.1,-0.1,54.064,-0.1,-0.1,-0.1,
09/17/2008,1675.935,1675.935,-1209.177,1209.177,466.758,0.0,-468.102,468.102,468.102,0.0,-1.344,-1.002,1.002,,,,0.0,-2.346,0.076,-2.27,0.0,0.0,0.0,-2.27,0.0,-2.27,0.0,0.0,-2.27,-2.27,0.0,54.223,-0.04,-0.04,-0.04,54.223,-0.04,-0.04,-0.04,
01/07/2009,2250.046,2250.046,-1617.551,1617.551,632.495,0.0,-599.472,620.236,620.236,-20.764,33.023,-1.591,1.591,,,,0.0,31.432,-15.33,16.102,0.0,0.0,0.0,16.102,0.0,16.102,0.0,0.0,16.102,2.6054,-13.4966,54.309,0.3,0.3,0.047974,54.571,0.3,0.3,0.047974,
