Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1996,106.867996,,,-78.225998,,,28.641998,,-3.103,,,,25.539,0.591,,0.0,,-0.086,-0.505,26.13,-7.398,18.732,0.0,,,18.732,0.0,18.732,0.0,,18.732,18.732,,100.0,0.185,0.185,0.185,100.0,0.185,0.185,0.185,
06/30/1996,146.983002,,,-99.992996,,,46.990005,,-3.449,,,,43.541,3.243,,0.104,,0.01,-3.357,46.784,-13.762,33.021999,0.0,,,33.022,0.0,33.021999,0.0,,33.021999,33.021999,,124.332001,0.265,0.265,0.25,124.332001,0.265,0.265,0.25,
09/30/1996,170.621994,,,-115.952003,,,54.669991,,-4.109,,,,50.561001,7.368,,0.0,,0.0,-7.368,57.929001,-19.448999,38.48,0.0,,,38.480001,0.0,38.48,0.0,,38.48,38.48,,136.563995,0.28,0.28,0.28,136.563995,0.28,0.28,0.28,
12/31/1996,186.957001,,,-123.25,,,63.707001,,-4.979,,,,58.728001,23.133999,,2.222,,0.104,-25.459999,81.862,-25.708,56.153999,0.0,,,56.154,0.0,56.153999,0.0,,56.153999,56.153999,,136.686005,0.41,0.41,0.305,136.686005,0.41,0.41,0.305,
03/31/1997,204.733002,,,-115.551003,,,89.181999,,-4.941,,,,84.240997,2.773,,0.0,,0.0,-2.773,87.013997,-30.784,56.23,0.0,,,56.229997,0.0,56.23,0.0,,56.23,56.23,,136.768005,0.41,0.41,0.41,142.804001,0.39,0.39,0.39,
12/31/1997,272.32901,,,-145.223007,,,127.106003,,-7.711,,,,119.394997,3.925,,3.33,,0.0,-7.255,123.319997,-44.009998,79.309998,0.0,,,79.309999,0.0,79.309998,0.0,,79.309998,79.309998,,139.309006,0.57,0.57,0.57,144.199997,0.55,0.55,0.55,
06/30/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
09/30/1998,315.786011,,,-149.807999,,,165.978012,,-5.984,,,,159.994003,7.226,,3.615,,0.0,-10.841,167.220003,-58.518002,108.702003,0.0,,,108.702001,0.0,108.702003,0.0,,108.702003,108.702003,,137.651993,0.79,0.79,0.79,147.528,0.75,0.75,0.75,
12/31/1998,283.428986,,,-158.906006,,,124.52298,,-6.349,,,,118.174004,7.759,,3.248,,0.0,-11.007,125.933004,-43.362999,82.57,0.0,,,82.570005,0.0,82.57,0.0,,82.57,82.57,,135.8125,0.61,0.61,0.6,145.692001,0.58,0.58,0.57,
03/31/1999,228.037003,,,-146.375,,,81.662003,,-6.001,,,,75.661003,4.051,3.332,3.332,,0.0,-7.383,79.712003,-27.893999,51.818001,0.0,,,51.818004,0.0,51.818001,0.0,,51.818001,51.818001,,135.815994,0.38,0.38,0.38,145.692001,0.37,0.37,0.37,
