Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/27/1995,836.020996,,-647.742004,,188.278992,,-130.908997,,,,,,57.369999,-80.366,,5.366,,0.0,,75.0,-22.996001,10.933,-12.063,0.0,,,-12.063002,0.0,-12.063,0.0,,-12.063,-12.063,,237.450005,-0.053333,-0.053333,0.14,237.450005,-0.053333,-0.053333,0.14,
11/26/1995,731.184021,,-577.315979,,153.868042,,-122.419998,,,,,,31.448,-5.448,,5.448,,0.0,,0.0,26.0,-9.672,16.327999,0.0,,,16.328,0.0,16.327999,0.0,,16.327999,16.327999,,238.349991,0.066667,0.066667,0.066667,238.349991,0.066667,0.066667,0.066667,
02/25/1996,795.111023,,-606.278992,,188.832031,,-126.803001,,,,,,62.028999,-5.532,,5.532,,0.0,,0.0,56.496999,-20.889,35.608002,0.0,,,35.607999,0.0,35.608002,0.0,,35.608002,35.608002,,238.650009,0.146667,0.146667,0.146667,238.650009,0.146667,0.146667,0.146667,
05/26/1996,829.463013,,-641.799011,,187.664001,,-128.386993,,,,,,59.277,-5.06,,5.06,,0.0,,0.0,54.217,-19.735001,34.481998,0.0,,,34.482,0.0,34.481998,0.0,,34.481998,34.481998,,237.75,0.146667,0.146667,,237.75,0.146667,0.146667,0.146667,
08/25/1996,805.599976,,-637.619995,,167.97998,,-134.108994,,,,,,33.870998,-4.933,,4.933,,0.0,,0.0,28.937998,-8.42,20.518,0.0,,,20.517998,0.0,20.5,0.0,,20.5,20.5,,236.549995,0.086667,0.086667,0.086667,236.549995,0.086667,0.086667,0.086667,
11/24/1996,748.757019,,-630.567993,,118.189026,,-128.384995,,,,,,-10.196,-5.623,,5.623,,0.0,,0.0,-15.819,4.65,-11.169,0.0,,,-11.169,0.0,-11.169,0.0,,-11.169,-11.169,,236.25,-0.046667,-0.046667,-0.046667,236.25,-0.046667,-0.046667,-0.046667,
02/23/1997,800.846008,,-653.286987,,147.559021,,-120.311996,,,,,,27.247,-5.634,,5.634,,0.0,,0.0,21.613,-5.89,15.723,0.0,,,15.723,0.0,15.723,0.0,,15.723,15.723,,231.299995,0.066667,0.066667,0.066667,232.349991,0.066667,0.066667,0.066667,
05/25/1997,816.643005,,-654.504028,,162.138977,,-115.333,,,,,,46.806,-235.987993,,6.101,,0.0,,229.886993,-189.181993,73.116997,-116.065002,0.0,,,-116.064997,0.0,-116.07,0.0,,-116.07,-116.07,,229.5,-0.506667,-0.506667,0.126667,229.5,-0.506667,-0.506667,0.126667,
08/24/1997,809.330994,,-647.710999,,161.619995,,-120.677002,,,,,,40.943001,-4.693,,4.693,,0.0,,0.0,36.250001,-11.842,24.408001,0.0,,,24.408001,0.0,24.408001,0.0,,24.408001,24.408001,,229.049995,0.106667,0.106667,0.106667,230.400009,0.106667,0.106667,0.106667,
11/23/1997,745.263,,-612.729004,,132.533997,,-116.025002,,,,,,16.509001,-4.723,,4.723,,0.0,,0.0,11.786001,-4.256,7.53,0.0,,,7.530001,0.0,7.53,0.0,,7.53,7.53,,225.450005,0.033333,0.033333,0.033333,228.450005,0.033333,0.033333,0.033333,
02/22/1998,811.260986,,-645.611023,,165.649963,,-115.343002,,,,,,50.306999,-5.079,,5.079,,0.0,,0.0,45.227999,-15.47,29.757999,0.0,,,29.757999,0.0,29.757999,0.0,,29.757999,29.757999,,222.150009,0.133333,0.133333,0.133333,226.950005,0.133333,0.133333,0.133333,
