Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,46.973999,7.05,23.084,-19.9,57.208,,,,,,,,,,,,,,,,,,,
06/30/1990,,49.276001,6.66,-68.393997,71.178001,58.720001,,,,,,,,,,,,,,,,,,,
09/30/1990,,43.068001,7.1,-9.229,-20.341999,20.597,,,,,,,,,,,,,,,,,,,
12/31/1990,,42.139,7.329,-17.124001,-38.312,-5.968,,,,,,,,,,,,,,,,,-5.968,,
03/31/1991,,52.622002,4.584,17.965,37.497002,112.667999,,,,,,,,,,,,,,,,,,,
06/30/1991,,61.688999,5.488,-11.665,-13.634,41.877998,,,,,,,,,,,,,,,,,,,
09/30/1991,,60.735001,2.501,28.039,-47.348999,43.925999,,,,,,,,,,,,,,,,,,,
12/31/1991,,63.553001,32.356998,-59.429001,144.966003,181.447006,,,,,,,,,,,,,,,,,181.447006,,
03/31/1992,,69.992996,13.75,-18.073,83.032997,148.703003,,,,,,,,,,,,,,,,,,,
06/30/1992,,73.924004,15.082,-18.225,-25.125999,45.654999,,,,,,,,,,,,,,,,,,,
09/30/1992,,69.708,14.458,-12.813,29.073999,100.427002,,,,,,,,,,,,,,,,,,,
12/31/1992,,69.913002,14.918,-7.039,99.507004,177.298996,,,,,,,,,,,,,,,,,177.298996,,
03/31/1993,,71.584,14.66,25.948999,15.726,127.918999,,,,,,,,,,,,,,,,,,,
06/30/1993,,70.583,16.504,-0.201,-16.451,70.434998,,,,,,,,,,,,,,,,,,,
09/30/1993,,63.768002,19.992001,-15.589,-5.793,62.377998,,,,,,,,,,,,,,,,,,,
12/31/1993,,67.918999,28.659,-105.375,72.164001,63.367001,,,,,,,,,,,,,,,,,63.367001,,
03/31/1994,,65.295998,20.945,-21.927999,44.418999,108.732002,,,,,,,,,,,,,,,,,,,
06/30/1994,,61.943001,22.465,-42.814999,-0.886,40.707001,,,,,,,,,,,,,,,,,,,
