Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Net Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
03/31/1990,962.119995,1045.599976,1045.599976,,2.971404,0.504973,2.907995,0.369836,0.265,0.265,,0.265,0.265,0.265,0.035,0.399675,,4.298424,3.387415,,
06/30/1990,963.05603,1055.199951,1055.199951,,2.992513,0.522271,2.925796,0.384477,0.275,0.275,,0.275,0.275,0.275,0.045,0.260519,,4.681659,3.643402,,
09/30/1990,958.544006,1044.800049,1044.800049,,3.068147,0.54977,2.999234,0.404288,0.2875,0.2875,,0.2875,0.2875,0.2875,0.045,0.60356,,5.172845,3.88798,,
12/31/1990,953.088013,1032.939941,1032.939941,,3.145197,0.570701,3.070363,0.418417,0.2975,0.2975,,0.2975,0.2975,0.2975,0.055,0.253258,,4.383646,4.13498,,
03/31/1991,1090.712036,1078.0,1078.0,,3.075139,0.560946,3.008534,0.42013,0.2975,0.2975,,0.2975,0.2975,0.2975,0.055,0.550649,,2.615631,4.331299,,
06/30/1991,1091.16394,1096.400024,1096.400024,,2.978292,0.520978,2.906877,0.330992,0.3025,0.38,,0.3025,0.38,0.38,0.065,0.662167,,2.412011,4.569066,,
09/30/1991,1091.73999,1097.599976,1097.599976,,3.065507,0.603498,2.991254,0.456359,0.32,0.32,,0.32,0.32,0.32,0.065,0.529792,,2.468903,4.824775,,
12/31/1991,1091.952026,1101.680054,1101.680054,,3.087012,0.628767,3.007679,0.476817,0.3275,0.335,,0.3275,0.335,0.335,0.075,0.530009,,2.925037,5.079893,,
03/31/1992,1092.355957,1098.0,1098.0,,3.161111,0.660474,3.082696,0.509199,0.3475,0.3525,,0.3475,0.3525,0.3525,0.075,1.638251,,4.304732,5.336722,,
06/30/1992,1091.968018,1096.800049,1096.800049,,3.320204,0.702863,3.23368,0.543399,0.3675,0.375,,0.3675,0.375,0.375,0.085,-0.092815,,7.774678,5.615732,,
09/30/1992,1092.160034,1096.800049,1096.800049,,3.34555,0.717086,3.257203,0.555799,0.3775,0.385,,0.3775,0.385,0.385,0.085,1.229577,,6.774099,5.908658,,
12/31/1992,1093.151976,1100.644044,1100.644044,,3.431718,0.727211,3.338046,0.560853,0.3875,0.39,0.39,0.3875,0.39,0.39,0.1,0.403764,,4.750483,6.19676,,
03/31/1993,1096.868042,1101.199951,1101.199951,,3.50781,0.803578,3.384126,0.63903,0.4025,0.44,,0.4025,0.44,0.44,0.1,0.14575,,4.07606,6.525671,,
06/30/1993,1092.16394,1099.599976,1099.599976,,3.544653,0.832576,3.414605,0.661604,0.4175,0.4525,,0.4175,0.4525,0.4525,0.115,0.981902,,6.072348,6.774258,,
09/30/1993,1090.604004,1096.800049,1096.800049,,3.712345,0.888312,3.583607,0.718545,0.435,0.4825,,0.435,0.4825,0.4825,0.115,0.245897,,8.203986,7.077821,,
12/31/1993,1089.800048,1096.443968,1096.443968,,3.849535,0.892248,3.710358,0.716589,0.45,0.485,0.485,0.45,0.485,0.485,0.13,0.90757,,0.896495,7.388511,,
03/31/1994,1094.235962,1098.0,1098.0,,3.91949,0.906284,3.752095,0.702459,0.465,0.4725,,0.465,0.4725,0.4725,0.15,-0.020219,,1.544548,7.746958,,
06/30/1994,1093.812012,1098.800049,1098.800049,,4.961321,0.91964,4.798507,0.720422,0.52,0.525,,0.52,0.525,0.525,0.15,0.076902,,1.477676,8.069485,,
09/30/1994,1093.015991,1098.800049,1098.800049,,4.310065,0.93593,4.141336,0.730797,0.495,0.495,,0.495,0.495,0.495,0.15,1.012741,,1.093305,8.404634,,
12/31/1994,1091.208008,1095.599976,1095.599976,,4.597846,0.917488,4.42406,0.711756,0.505,0.4975,0.4975,0.505,0.4975,0.4975,0.15,0.53295,,0.211692,8.743521,,
03/31/1995,1090.348022,1094.800049,1094.800049,,4.831841,0.924552,4.667336,0.728078,0.5175,0.51525,,0.5175,0.51525,0.51525,0.17,1.76434,1.76434,0.399505,9.096637,,
06/30/1995,1091.31604,1098.800049,1098.800049,,4.961321,0.91964,4.793957,0.720422,0.52,0.52475,,0.52,0.52475,0.52475,0.17,0.982799,0.982799,1.193513,9.458855,,
09/30/1995,1091.011963,1100.0,1100.0,,5.118636,0.974363,4.951455,0.775364,0.5425,0.54975,,0.5425,0.54975,0.54975,0.17,2.149545,2.149545,0.325478,9.828398,,
12/31/1995,1092.0,1103.199952,1103.199952,,5.328227,1.025653,4.835932,0.501632,0.37,0.37,0.37,0.37,0.37,0.37,0.17,0.972625,0.972625,0.291209,10.035714,,
03/31/1996,1081.579956,1097.400024,1097.400024,,5.526517,1.086659,5.355203,0.874339,0.59,0.61,0.61,0.59,0.61,0.61,0.19,2.382358,2.382358,0.523493,10.173635,,
06/30/1996,1067.386963,1083.5,1083.5,,5.672358,1.105399,5.496539,0.883433,0.61,0.61,0.61,0.61,0.61,0.61,0.19,1.604245,1.604245,1.277044,10.306665,,
09/30/1996,1061.234985,1074.900024,1074.900024,,5.876454,1.138617,5.695786,0.911434,0.63,0.63,0.63,0.63,0.63,0.63,0.19,1.891804,1.891804,0.621823,10.617064,,
12/31/1996,1061.0,1070.0,1061.199951,,6.150208,1.187241,5.960517,0.950433,0.66,0.66,0.66,0.65,0.65,0.65,0.19,0.081888,0.081888,0.801131,11.096136,,
03/31/1997,1059.854004,1069.400024,1062.400024,,6.280309,1.217056,6.076242,0.975339,0.68,0.68,0.68,0.67,0.67,0.67,0.21,2.005836,2.005836,0.930128,11.489979,,
06/30/1997,1049.416992,1061.400024,1050.599976,,6.532267,1.255473,6.324005,1.009138,0.7,0.7,0.7,0.69,0.69,0.69,0.21,0.937845,0.937845,1.83035,11.686775,,
09/30/1997,1039.256958,1050.599976,1043.199951,,6.713861,1.290548,6.493194,1.050709,0.73,0.73,0.73,0.72,0.72,0.72,0.21,2.147239,2.147239,1.122148,11.890996,,
12/31/1997,1036.88501,1046.400024,1038.199951,,6.971682,1.33847,6.735889,1.102678,0.75,0.76,0.76,0.74,0.75,0.75,0.21,1.097573,1.097573,2.126369,12.337915,,
03/31/1998,1033.953979,1045.5,1036.800049,,7.138503,1.362461,6.895544,1.124325,0.78,0.79,0.79,0.77,0.78,0.78,0.24,1.64265,1.64265,0.341601,12.641568,,
06/30/1998,1025.858032,1036.800049,1028.599976,,7.53811,1.393545,7.291756,1.156912,0.81,0.81,0.809998,0.8,0.8,0.8,0.24,1.883531,1.883531,0.781297,12.853143,,
09/30/1998,1024.613037,1033.5,1025.400024,,7.91613,1.423932,7.663448,1.185879,0.82,0.83,0.83,0.81,0.82,0.82,0.24,1.792764,1.792764,0.184167,13.372951,,
12/31/1998,1025.422974,1033.699951,1025.099976,,8.025266,1.276168,7.776998,1.04741,0.85,0.86,0.86,0.84,0.86,0.86,0.24,2.162911,2.162911,0.724384,13.948195,,
03/31/1999,1026.850952,1034.593994,1026.800049,,8.432605,1.494546,8.179976,1.261395,0.88,0.89,0.89,0.88,0.88,0.88,0.27,4.697993,4.697993,0.040025,14.592478,,
06/30/1999,1023.075012,1032.300049,1025.099976,,8.71915,1.523949,8.461516,1.290703,0.92,0.92,0.92,0.91,0.91,0.91,0.27,2.632426,2.632426,0.133128,14.935953,,
09/30/1999,1020.64801,1029.199951,1022.299988,,9.226646,1.55962,8.968307,1.340409,0.95,0.95,0.95,0.94,0.94,0.94,0.27,2.77668,2.77668,0.107677,15.436076,,
12/31/1999,1019.442017,1026.699951,1019.900024,,9.745663,1.643006,9.491126,1.422786,1.0,1.0,1.0,0.99,0.99,0.99,0.27,1.464359,1.464359,2.059362,16.01788,,
03/31/2000,1007.38501,1018.599976,1013.200012,,10.171831,1.672522,9.897947,1.428247,1.03,1.03,1.03,1.02,1.02,1.02,0.28,2.902191,2.902191,0.121006,16.261409,,
06/30/2000,1001.0,1010.0,1004.400024,,10.611011,1.684588,10.337515,1.44096,1.06,1.03,1.06,1.05,1.02,1.05,0.28,3.103445,3.103445,0.028971,16.784216,,
