Date,Net Revenue,Net Interest Income,Total Interest Income,Interest Income,Investment Income,Total Interest Expense,Total Non-Interest Income,Trading Securities G/L,Trading Account Profits/Losses,Investment & Loan Inc (Loss),Other Income (Loss),Commissions & Fees Earned,Other Operating Income (Losses),Provision for Loan Losses,Net Revenue after Provisions,Total Non-Interest Expense,Commissions & Fees Paid,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,444.976962,308.246964,701.006973,595.107971,105.899002,-392.76001,136.729999,0.195,,,,121.682999,14.852,-38.008999,406.967964,-289.872009,0.0,289.872009,117.096001,0.0,0.0,117.096001,-29.225,87.871002,0.0,,,87.871,0.0,87.871002,0.0,,87.871002,87.871002,,255.710007,0.345,0.345,,255.710007,0.345,0.345,0.345,
06/30/1990,450.093993,312.736992,708.37899,591.575989,116.803001,-395.641998,137.357001,1.579,,,,123.110001,12.668,-64.591003,385.502989,-285.355011,0.0,285.355011,100.148003,0.0,0.0,100.148003,-11.654,88.494003,0.0,,,88.494002,0.0,88.494003,0.0,,88.494003,88.494003,,255.300003,0.345,0.345,,255.300003,0.345,0.345,0.345,
09/30/1990,450.765003,316.222,716.057999,593.237,122.820999,-399.835999,134.543003,1.225,,,,124.940002,8.378,-41.643002,409.122001,-293.390015,0.0,293.390015,115.732002,0.0,0.0,115.732002,-27.5,88.232002,0.0,,,88.232002,0.0,88.232002,0.0,,88.232002,88.232002,,254.475998,0.345,0.345,,254.475998,0.345,0.345,0.345,
12/31/1990,468.704021,328.268022,733.978013,600.244019,133.733994,-405.709991,140.435999,2.392,,,,128.445999,9.598,-52.650002,416.054019,-304.834015,0.0,304.834015,111.220001,0.0,0.0,111.220001,-25.447001,85.773003,0.0,,,85.773,0.0,85.773003,0.0,,85.773003,85.773003,,253.675004,0.34,0.34,0.34,253.675004,0.34,0.34,0.34,
03/31/1991,470.632009,329.442017,712.231018,579.171021,133.059998,-382.789001,141.189993,1.663,,,,130.595993,8.931,-50.071999,420.560011,-303.484009,0.0,303.484009,117.075996,0.0,0.0,117.075996,-28.037001,89.039001,0.0,,,89.038996,0.0,89.039001,0.0,,89.039001,89.039001,,254.509995,0.35,0.35,,254.509995,0.35,0.35,0.35,
06/30/1991,488.679013,333.713013,698.215027,565.254028,132.960999,-364.502014,154.966,2.406,,,,141.707001,10.853,-57.240002,431.439011,-304.872986,0.0,304.872986,126.566002,0.0,0.0,126.566002,-34.042,92.524002,0.0,,,92.524002,0.0,92.524002,0.0,,92.524002,92.524002,,255.636002,0.36,0.36,,255.636002,0.36,0.36,0.36,
09/30/1991,491.852986,340.095993,680.848007,540.997009,139.850998,-340.752014,151.756993,1.132,,,,136.858994,13.766,-46.514999,445.337987,-316.52301,0.0,316.52301,128.815002,0.0,0.0,128.815002,-35.160999,93.653999,0.0,,,93.654003,0.0,93.653999,0.0,,93.653999,93.653999,,256.313995,0.365,0.365,,256.313995,0.365,0.365,0.365,
12/31/1991,497.846013,348.466018,666.69902,519.197021,147.501999,-318.233002,149.379995,-3.344,,,,140.910995,11.813,-52.362999,445.483014,-320.101013,0.0,320.101013,125.382004,5.3,-5.3,130.682004,-35.231998,95.449997,0.0,,,95.450006,0.0,95.449997,0.0,,95.449997,95.449997,,256.205994,0.375,0.375,0.375,256.205994,0.375,0.375,0.375,
03/31/1992,545.194995,376.983994,659.537003,500.479004,159.057999,-282.553009,168.211002,1.315,,,,151.552002,15.344,-52.543999,492.650997,-349.238007,0.0,349.238007,143.412994,0.0,0.0,143.412994,-40.929001,102.484001,0.0,,,102.483994,0.0,102.484001,0.0,,102.484001,102.484001,,261.484009,0.39,0.39,,261.484009,0.39,0.39,0.39,
06/30/1992,554.025004,388.459,646.272995,478.727997,167.544998,-257.813995,165.566004,4.029,,,,151.033005,10.504,-55.844002,498.181002,-344.871002,0.0,344.871002,153.309998,0.0,0.0,153.309998,-47.410999,105.899002,0.0,,,105.898998,0.0,105.899002,0.0,,105.899002,105.899002,,259.112,0.41,0.41,,259.112,0.41,0.41,0.41,
09/30/1992,560.879989,393.968994,622.368988,473.730988,148.638,-228.399994,166.910995,2.191,,,,153.481995,11.238,-56.358002,504.521987,-351.167999,0.0,351.167999,153.354004,0.0,0.0,153.354004,-46.853001,106.500999,0.0,,,106.501003,0.0,106.500999,0.0,,106.500999,106.500999,,257.667999,0.415,0.415,,257.667999,0.415,0.415,0.415,
12/31/1992,575.209983,403.146988,609.376984,459.174988,150.201996,-206.229996,172.062995,5.805,,,,155.425995,10.832,-69.496002,505.713981,-380.02301,0.0,380.02301,125.691002,0.0,0.0,125.691002,-36.178001,89.513,0.0,,,89.513001,0.0,89.513,0.0,,89.513,89.513,,256.191986,0.35,0.35,0.35,256.191986,0.35,0.35,0.35,
03/31/1993,574.784971,394.077972,593.718979,453.372986,140.345993,-199.641006,180.706999,4.325,,,,162.251999,14.13,-46.215,528.569971,-353.72699,0.0,353.72699,174.843002,0.0,0.0,174.843002,-59.375999,115.467003,0.0,,,115.467003,0.0,115.467003,0.0,,115.467003,115.467003,,255.733994,0.45,0.45,,255.733994,0.45,0.45,0.45,
06/30/1993,575.38699,393.495987,588.950989,457.243988,131.707001,-195.455002,181.891003,3.504,,,,165.953003,12.434,-46.248001,529.138989,-353.893005,0.0,353.893005,175.246002,0.0,0.0,175.246002,-56.469002,118.777,0.0,,,118.777,0.0,118.777,0.0,,118.777,118.777,,252.272003,0.47,0.47,,252.272003,0.47,0.47,0.47,
09/30/1993,574.415008,392.597015,591.019012,461.018005,130.001007,-198.421997,181.817993,3.09,,,,166.498993,12.229,-49.655998,524.75901,-346.869995,0.0,346.869995,177.889008,0.0,0.0,177.889008,-57.595001,120.293999,0.0,,,120.294006,0.0,120.293999,0.0,,120.293999,120.293999,,250.481995,0.48,0.48,,250.481995,0.48,0.48,0.48,
12/31/1993,573.566991,391.526993,588.677994,459.806,128.871994,-197.151001,182.039998,2.382,,,,167.044998,12.613,-46.945,526.621991,-353.937988,0.0,353.937988,172.684006,0.0,0.0,172.684006,-53.493,119.191002,0.0,,,119.191006,0.0,119.191002,0.0,,119.191002,119.191002,,246.800004,0.485,0.485,0.485,246.800004,0.485,0.485,0.485,
03/31/1994,569.935999,389.384995,586.582001,458.772003,127.809998,-197.197006,180.551004,2.757,,,,162.908005,14.886,-33.917,536.018999,-345.959015,0.0,345.959015,190.059998,0.0,0.0,190.059998,-62.987,127.072998,0.0,,,127.072998,0.0,127.072998,0.0,,127.072998,127.072998,,243.313995,0.52,0.52,,243.313995,0.52,0.52,0.52,
06/30/1994,582.212021,404.935013,621.17601,493.88501,127.291,-216.240997,177.277008,0.115,,,,160.264008,16.898001,-33.893002,548.31902,-351.487,0.0,351.487,196.832001,0.0,0.0,196.832001,-65.361,131.470993,0.0,,,131.471001,0.0,131.470993,0.0,,131.470993,131.470993,,241.203995,0.545,0.545,,241.203995,0.545,0.545,0.545,
09/30/1994,580.936014,407.803009,652.621002,526.539001,126.082001,-244.817993,173.133005,-0.882,,,,158.546005,15.469,-34.827,546.109014,-348.972992,0.0,348.972992,197.136002,0.0,0.0,197.136002,-65.251999,131.884003,0.0,,,131.884003,0.0,131.884003,0.0,,131.884003,131.884003,,238.542007,0.555,0.555,,238.542007,0.555,0.555,0.555,
12/31/1994,586.724035,417.758034,691.998024,565.676025,126.321999,-274.23999,168.966001,-4.682,,,,165.289001,8.359,-35.203999,551.520036,-353.583008,0.0,353.583008,197.936996,0.0,0.0,197.936996,-65.621002,132.315994,0.0,,,132.315994,0.0,132.315994,0.0,,132.315994,132.315994,,234.100006,0.565,0.565,0.565,234.100006,0.565,0.565,0.565,
03/31/1995,588.759981,411.876976,726.524986,602.932983,123.592003,-314.64801,176.883005,2.057,,,,163.408005,11.418,-25.469,563.290981,-358.105988,0.0,358.105988,205.184998,0.0,0.0,205.184998,-69.149002,136.035995,0.0,,,136.035995,0.0,136.035995,0.0,,136.035995,136.035995,,231.085999,0.59,0.59,,231.085999,0.59,0.59,0.59,
06/30/1995,588.729997,414.484993,758.405983,635.734985,122.670998,-343.92099,174.245004,2.294,,,,160.854004,11.097,-26.219999,562.509998,-349.717987,0.0,349.717987,212.792007,0.0,0.0,212.792007,-71.916,140.876007,0.0,,,140.876007,0.0,140.876007,0.0,,140.876007,140.876007,,230.179993,0.61,0.61,,230.179993,0.61,0.61,0.61,
09/30/1995,600.527022,417.910019,759.879013,639.041016,120.837997,-341.968994,182.617004,1.054,,,,165.966003,15.597,-29.131001,571.396022,-363.079987,0.0,363.079987,208.315994,0.0,0.0,208.315994,-64.615997,143.699997,0.0,,,143.699997,0.0,143.699997,0.0,,143.699997,143.699997,,228.175995,0.63,0.63,,228.175995,0.63,0.63,0.63,
