Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1999,21.584999,,-8.097,,13.487999,,-10.486,,,,,3.002,-0.015,,0.182,,0.061,-0.228,2.987,-1.093,1.894,0.0,,,1.894,0.0,1.894,-0.163,0.911,2.642,2.642,,33.256001,0.08,0.08,0.08,37.827999,0.07,0.07,0.07,
06/30/1999,23.638,,-8.329,,15.309,,-11.485,,,,,3.824,0.116,-0.263,0.184,-0.447,0.0,0.147,3.94,-1.416,2.524,0.0,,,2.524,0.0,2.524,0.0,0.0,2.524,2.524,,38.524,0.065,0.065,0.065,43.778,0.055,0.055,0.055,
09/30/1999,23.807,,-8.811,,14.996,,-10.627,,,,,4.369,-3.695,-0.094,0.386,-0.48,-0.106,3.895,0.674,-0.273,0.401,0.0,,,0.401,0.0,0.401,0.0,0.0,0.401,0.401,,32.012,0.01,0.01,0.08,32.012,0.01,0.01,0.07,
12/31/1999,30.902,,-12.048,,18.854,,-13.726,,,,,5.128,0.88,,,,-0.009,-0.871,6.008,-1.865,4.143,0.0,,,4.143,0.0,4.143,0.0,,4.143,4.143,,36.358,0.09,0.09,0.09,41.554,0.08,0.08,0.08,
03/31/2000,27.291,,-9.121,,18.17,,-11.96,,,,,6.21,-5.631,1.036,1.036,,0.159,4.436,0.579,-2.447,-1.868,0.0,,,-1.868,0.0,-1.868,0.0,0.0,-1.868,-1.868,,45.551998,-0.04,-0.04,0.1,45.551998,-0.04,-0.04,0.09,
06/30/2000,27.692,,-8.864,,18.828,,-12.766,,,,,6.062,1.516,-1.498,2.633,-4.131,-0.171,0.153,7.578,-2.752,4.826,0.0,,,4.826,0.0,4.826,0.0,0.0,4.826,4.826,,47.15,0.1,0.1,0.1,50.564,0.095,0.095,0.095,
09/30/2000,47.989,,-23.852,,24.137,,-30.984,,,,,-6.847,1.989,-2.69,2.632,-5.322,,0.701,-4.858,-0.694,-5.552,,,,-5.552,-0.06,-5.612,,,-5.612,-5.612,0.385,47.656,-0.12,-0.12,-0.12,47.656,-0.12,-0.12,-0.12,
12/31/2000,143.223,,-82.894,,60.329,,-41.033,,,,,19.296,-77.131,2.584,2.584,,-0.358,74.905,-57.835,6.407,-51.428,0.0,,,-51.428,-0.244,-51.672,0.0,0.0,-51.672,-51.672,77.845,100.492,-0.515,-0.515,0.185,100.492,-0.515,-0.515,0.175,
03/31/2001,160.701996,,-75.858002,,84.843994,,-124.360001,,,,,-39.515999,0.859,-2.623,2.641,-5.264,0.0,1.764,-38.656999,-0.596,-39.252998,0.0,,,-39.252999,-0.312,-39.564999,0.0,0.0,-39.564999,-39.564999,,104.117996,-0.38,-0.38,0.225,104.117996,-0.38,-0.38,0.225,
06/30/2001,159.327,,-72.179,,87.148,,-51.705,,,,,35.443,-66.387,-2.805,2.727,-5.532,0.0,69.192,-30.944,-3.711,-34.655,0.0,,,-34.655,-0.443,-35.098,0.0,0.0,-35.098,-35.098,,104.904,-0.335,-0.335,0.235,104.904,-0.335,-0.335,0.235,
