Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
03/31/2011,,1.961,1.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2011,,0.278,1.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2011,,-0.271,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2011,,-0.538,1.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2012,,2.389,1.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2012,,-0.405,1.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2012,,1.189,1.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2012,,1.065,1.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2013,,5.47,1.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/2013,,2.141,1.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/2013,,1.008,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2013,,-0.908,1.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2014,1.731,1.06,1.721,0.494,0.093,,0.401,-1.544,0.968,0.126,-1.71,-0.928,0.0,41.401,-5.16,0.0,,0.0,-5.16,-5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.561,-43.369,0.0,4.286,,4.391,-0.105,0.0,0.0,0.0,-47.655,,-0.237,,
06/30/2014,4.162,-0.593,1.68,3.186,0.181,,3.005,-0.111,-0.169,-0.067,-0.69,0.815,0.0,89.472,-4.118,0.0,,0.0,-4.118,-4.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.59,-92.791,0.0,-62.954,,2.148,-65.102,0.0,0.0,0.0,-29.837,,0.843,,
09/30/2014,7.408,2.69,1.797,-0.307,0.088,,-0.395,3.228,-0.562,0.136,-0.644,4.298,0.0,-80.674,-2.67,0.0,,0.0,-2.67,-2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.004,77.771,0.0,-62.381,-62.146,0.0,-0.235,62.842,62.842,0.0,77.31,,4.505,,
12/31/2014,9.036,2.506,1.964,2.675,0.35,,2.325,1.891,-1.326,0.072,0.658,2.487,0.0,-269.249,-2.322,0.0,0.0,0.0,-2.322,-2.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-266.927,266.884,0.0,61.937,62.146,-0.001,-0.208,-62.842,0.0,-62.842,267.789,,6.671,,
03/31/2015,13.136,5.995,2.133,0.166,0.254,-0.101,0.013,4.842,1.11,-0.523,-0.515,4.77,0.0,66.863,-2.502,0.0,,0.0,-2.502,-2.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.365,-69.47,0.0,-0.464,0.0,0.0,-0.464,0.0,0.0,0.0,-69.006,0.0,10.529,,
06/30/2015,9.643,5.946,2.287,-0.007,0.035,-0.129,0.087,1.417,-0.868,0.392,-0.455,2.348,0.0,46.336,-2.42,0.0,0.0,0.0,-2.42,-2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.756,-48.985,0.0,-0.218,0.0,0.0,-0.218,0.0,0.0,0.0,-48.767,0.0,6.994,,
09/30/2015,11.35,3.847,2.402,0.257,1.432,-1.284,0.109,4.844,-0.834,0.376,0.12,5.182,0.0,-78.316,-5.228,0.0,0.0,0.0,-5.228,-5.228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-73.088,72.846,0.0,-44.877,-44.662,0.0,-0.215,0.0,0.0,0.0,117.723,0.0,5.88,,
12/31/2015,8.843,5.157,2.599,1.954,1.289,0.493,0.172,-0.867,1.032,-0.469,0.419,-1.849,0.0,-87.207,-6.399,0.0,,0.0,-6.399,-6.399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80.808,80.531,0.0,44.441,44.662,0.0,-0.221,0.0,0.0,0.0,36.09,0.0,2.167,,
03/31/2016,29.948,18.588,2.909,-2.389,1.223,-3.644,0.032,10.84,-0.226,0.423,-1.17,11.813,0.0,-437.279,-8.363,0.0,0.0,0.0,-8.363,-8.363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-428.916,428.692,0.0,-0.224,0.0,0.0,-0.224,0.0,0.0,0.0,428.916,0.0,21.361,,
06/30/2016,24.606,10.421,3.209,2.336,3.594,-1.292,0.034,8.64,-0.195,0.229,3.789,4.817,0.0,75.328,-15.977,0.0,0.0,0.0,-15.977,-15.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.305,-91.116,0.0,3.679,0.0,3.903,-0.224,-3.49,0.0,-3.49,-91.305,0.0,8.818,,
