Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1989,366.934998,,-169.565994,,197.369003,,-130.936005,,,,,,66.432999,6.79,,1.9,,,,-8.69,73.222998,-27.312,45.910999,0.0,,,45.910998,0.0,45.910999,0.0,,45.910999,45.910999,,221.895996,0.2075,0.2075,,221.895996,0.2075,0.2075,0.2075,
12/31/1989,295.575012,,-137.653,,157.922012,,-121.956001,,,,,,35.966,6.478,,1.677,,,,-8.155,42.443999,-15.427,27.017,0.0,,,27.016999,0.0,27.017,0.0,,27.017,27.017,,221.259995,0.1225,0.1225,,221.259995,0.1225,0.1225,0.1225,
03/31/1990,386.912994,,-181.427002,,205.485992,,-151.473007,,,,,,54.013,7.546,,0.276,,,,-7.822,61.559001,-23.207001,38.352001,0.0,,,38.352,0.0,38.352001,0.0,,38.352001,38.352001,,218.735992,0.175,0.175,,218.735992,0.175,0.175,0.175,
06/30/1990,434.618988,,-216.729004,,217.889984,,-157.701996,,,,,,60.188,6.203,,0.015,,,,-6.218,66.391,-24.045,42.346001,0.0,,,42.346,0.0,42.346001,0.0,,42.346001,42.346001,,216.235992,0.195,0.195,0.195,216.235992,0.195,0.195,0.195,
09/30/1990,403.005005,,-182.893005,,220.112,,-162.755997,,,,,,57.355999,2.653,,4.492,,,,-7.145,60.008999,-20.638,39.370998,0.0,,,39.370998,0.0,39.370998,0.0,,39.370998,39.370998,,216.084,0.1825,0.1825,,216.084,0.1825,0.1825,0.1825,
12/31/1990,333.942993,,-154.054001,,179.888992,,-147.207993,,,,,,32.681,-0.654,,8.319,,,,-7.665,32.026999,-11.594,20.433001,0.0,,,20.433,0.0,20.433001,0.0,,20.433001,20.433001,,216.056,0.095,0.095,,216.056,0.095,0.095,0.095,
03/31/1991,420.967987,,-193.453995,,227.513992,,-172.233002,,,,,,55.280998,0.201,,7.506,,,,-7.707,55.481998,-22.962999,32.519001,0.0,,,32.518999,0.0,32.519001,0.0,,32.519001,32.519001,,216.227997,0.15,0.15,,216.227997,0.15,0.15,0.15,
06/30/1991,488.572998,,-248.427002,,240.145996,,-172.149994,,,,,,67.996002,-129.354997,,7.878,,,,121.476997,-61.358995,21.782,-39.577,0.0,,,-39.576995,0.0,-39.577,0.0,,-39.577,-39.577,,216.636,-0.1825,-0.1825,-0.1825,216.636,-0.1825,-0.1825,-0.1825,
09/30/1991,417.59201,,-176.466995,,241.125015,,-173.850998,,,,,,67.274002,5.752,,7.226,,,,-12.978,73.026002,-29.976,43.049999,19.061,,,23.989002,0.0,23.989,0.0,,23.989,23.989,,216.895996,0.11,0.1975,,216.895996,0.11,0.1975,0.1975,
12/31/1991,351.612,,-150.852997,,200.759003,,-162.085999,,,,,,38.673,2.884,,6.015,,,,-8.899,41.557001,-17.004999,24.552,0.0,,,24.552001,0.0,24.552,0.0,,24.552,24.552,,217.199997,0.1125,0.1125,,217.199997,0.1125,0.1125,0.1125,
03/31/1992,455.270996,,-202.378998,,252.891998,,-190.723999,,,,,,62.167999,1.787,,5.861,,,,-7.648,63.954999,-25.551001,38.403999,0.0,,,38.403998,0.0,38.403999,0.0,,38.403999,38.403999,,217.723999,0.1775,0.1775,,217.723999,0.1775,0.1775,0.1775,
06/30/1992,322.582001,,-148.804993,,173.777008,,-108.375,,,,,,65.402,-4.843,,5.525,,,,-0.682,60.559,-25.371,35.188,23.429,,,11.759,0.0,11.759,0.0,,11.759,11.759,,218.039992,0.055,0.1625,0.1625,218.039992,0.055,0.1625,0.1625,
09/30/1992,394.657013,,-170.134995,,224.522018,,-152.996002,,,,,,71.526001,1.685,,4.71,,,,-6.395,73.211001,-28.818001,44.393002,-0.203,,,44.596,0.0,44.596001,0.0,,44.596001,44.596001,,218.320007,0.205,0.2025,,218.320007,0.205,0.2025,0.2025,
12/31/1992,327.354004,,-141.272003,,186.082001,,-140.889008,,,,,,45.193001,-0.685,,4.637,,0.0,,-3.952,44.508001,-17.476,27.032,-0.211,,,27.243001,0.0,27.243,0.0,,27.243,27.243,,218.612,0.125,0.125,,218.612,0.125,0.125,0.125,
03/31/1993,435.55899,,-185.897003,,249.661987,,-167.128998,,,,,,82.532997,-5.901,,5.509,,,,0.392,76.631997,-30.106001,46.526001,1.106,,,45.419996,0.0,45.419998,0.0,,45.419998,45.419998,,218.996002,0.2075,0.2125,,218.996002,0.2075,0.2125,0.2125,
06/30/1993,476.601013,,-227.449005,,249.152008,,-174.104996,,,,,,75.046997,5.787,,4.0,,0.0,,-9.787,80.833997,-30.867001,49.966999,0.175,,,49.791996,0.0,49.792,0.0,,49.792,49.792,,219.235992,0.2275,0.2275,0.2275,219.235992,0.2275,0.2275,0.2275,
09/30/1993,449.743988,,-193.828003,,255.915985,,-178.858994,,,,,,77.056999,8.46,,3.921,,,,-12.381,85.516999,-39.202999,46.313999,-32.064001,,,78.378001,0.0,78.377998,0.0,,78.377998,78.377998,,217.703995,0.36,0.2125,,217.703995,0.36,0.2125,0.2125,
12/31/1993,370.843994,,-163.386002,,207.457993,,-153.600006,,,,,,53.858002,-2.391,,4.747,,0.0,,-2.356,51.467001,-20.881001,30.586,0.0,,,30.586001,0.0,30.586,0.0,,30.586,30.586,,215.884003,0.1425,0.1425,,215.884003,0.1425,0.1425,0.1425,
03/31/1994,481.928009,,-211.964005,,269.964005,,-180.947998,,,,,,89.015999,-5.644,,4.383,,,,1.261,83.371999,-33.856998,49.514999,0.0,,,49.515,0.0,49.514999,0.0,,49.514999,49.514999,,213.792007,0.2325,0.2325,,213.792007,0.2325,0.2325,0.2325,
06/30/1994,534.432983,,-251.255997,,283.176986,,-177.177002,,,,,,106.0,-19.723,,5.373,,0.0,,14.35,86.277,-32.699001,53.577999,0.0,,,53.577999,0.0,53.577999,0.0,,53.577999,53.577999,,213.412004,0.25,0.25,0.25,213.412004,0.25,0.25,0.25,
09/30/1994,476.367004,,-210.134003,,266.233002,,-170.537994,,,,,,95.695,-5.288,,4.926,,,,0.362,90.407,-37.226002,53.181,0.0,,,53.180998,0.0,53.181,0.0,,53.181,53.181,,213.632004,0.25,0.25,,213.632004,0.25,0.25,0.25,
12/31/1994,414.45401,,-183.962997,,230.491013,,-170.709,,,,,,59.782001,-2.999,,5.163,,,,-2.164,56.783001,-22.688,34.095001,0.0,,,34.095002,0.0,34.095001,0.0,,34.095001,34.095001,,213.095993,0.16,0.16,,213.095993,0.16,0.16,0.16,
03/31/1995,499.059998,,-225.996994,,273.063004,,-177.901001,,,,,,95.162003,-4.929,,7.213,,,,-2.284,90.233003,-36.199001,54.034,0.0,,,54.034001,0.0,54.034,0.0,,54.034,54.034,,212.332001,0.255,0.255,,212.332001,0.255,0.255,0.255,
06/30/1995,594.289001,,-272.078003,,322.210998,,-213.792999,,,,,,108.417999,-7.947,,7.818,,,,0.129,100.470999,-40.949001,59.521999,0.0,,,59.521998,0.0,59.521999,0.0,,59.521999,59.521999,,211.296004,0.2825,0.2825,0.2825,211.296004,0.2825,0.2825,0.2825,
