Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1993,,,,,,,,,,,,,,,,,,,,,,,,,,4.695,,,4.695,4.695,,,0.0725,0.0725,,,0.0725,0.0725,0.0725,
06/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,7.044,,,7.044,7.044,,,0.1075,0.1075,,,0.1075,0.1075,0.1075,
09/30/1993,,,,,,,,,,,,,,,,,,,,,,,,,,12.041,,,12.041,12.041,,,0.1825,0.1825,,,0.1825,0.1825,0.1825,
12/31/1993,,,,,,,,,,,,,,,,,,,,,,,,,,5.809999,,,5.809999,5.809999,,,0.085,0.085,,,0.085,0.085,0.085,
03/31/1994,85.589996,,,,,,,-77.174004,,,8.416,0.0,,,,0.0,,8.416,-3.076,5.34,0.0,,,5.34,0.0,5.34,0.0,,5.34,5.34,,66.751999,0.08,0.08,,66.751999,0.08,0.08,0.08,
06/30/1994,83.689003,,,,,,,-76.899002,,,6.79,0.0,,,,0.0,,6.79,-2.489,4.301,0.0,,,4.301,0.0,4.301,0.0,,4.301,4.301,,66.168,0.065,0.065,,66.168,0.065,0.065,0.065,
09/30/1994,100.691002,,,,,,,-80.394997,,,20.296,0.0,,,,0.0,,20.296,-7.469,12.827,0.0,,,12.827,0.0,12.827,0.0,,12.827,12.827,,64.948,0.1975,0.1975,,64.948,0.1975,0.1975,0.1975,
12/31/1994,97.694,,,,,,,-80.182999,,,17.511,0.0,,,,0.0,,17.511,-5.573975,11.937,0.0,,,11.937025,0.0,11.937,0.0,,11.937,11.937,,63.664001,0.1875,0.1875,,63.664001,0.1875,0.1875,0.1875,
03/31/1995,93.835999,,,,,,,-86.372002,,,7.464,2.854,,,,0.0,-2.854,10.318,-3.59,6.728,0.0,,,6.728,0.0,6.728,0.0,,6.728,6.728,,64.912003,0.1025,0.1025,,64.912003,0.1025,0.1025,0.1025,
06/30/1995,92.121002,,,,,,,-86.821999,,,5.299,3.472,,,,0.0,-3.472,8.771,-3.184,5.587,0.0,,,5.587,0.0,5.587,0.0,,5.587,5.587,,65.68,0.085,0.085,,65.68,0.085,0.085,0.085,
