Date,Cash From Operating Activities,Net Income,Depreciation & Amortization,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/2000,261.5,186.100006,24.6,50.799999,,,,,,,
06/30/2000,361.399994,230.100006,32.5,98.800003,,,,,,,
09/30/2000,192.899994,176.100006,23.200001,-6.4,,,,,,,
12/31/2000,1226.400024,226.399994,18.299999,981.700012,,,,,,,
03/31/2001,429.899994,168.0,21.799999,240.100006,,,,,,,
06/30/2001,667.400024,183.199997,19.6,464.600006,,,,,,,
09/30/2001,493.799988,165.199997,19.0,309.600006,,,,,493.799988,,
12/31/2001,1080.199951,102.300003,19.200001,958.700012,,,,,,,
03/31/2002,559.900024,146.5,18.4,395.0,,,,,,,
06/30/2002,739.700012,98.300003,15.7,625.700012,,,,,,,
09/30/2002,582.900024,158.100006,13.4,411.399994,,,,,,,
12/31/2002,678.599976,96.599998,12.4,569.599976,,,,,,,
03/31/2003,559.400024,253.199997,16.200001,290.0,,,,,,,
06/30/2003,774.099976,289.899994,14.4,469.799988,,,,,,,
09/30/2003,409.600006,190.800003,13.5,205.300003,,,,,,,
12/31/2003,1309.599976,72.099998,10.0,1227.5,0.0,,0.0,,,,
03/31/2004,635.099976,254.5,20.700001,359.899994,,,,,,,
06/30/2004,658.0,216.5,58.5,383.0,0.0,,,,,,
09/30/2004,608.0,167.300003,71.599998,369.100006,0.0,,,,,,
