Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/29/2013,292.996,,,,,,,,,,,,,,,,,,,,,,,,,,1.561,,,1.561,1.561,,,0.08,0.08,,,0.08,,,
09/28/2013,310.716,,,,,,,,,,,,,,,,,,,,,,,,,,5.892,,,5.892,5.892,,,0.32,0.32,,,0.32,,,
12/28/2013,288.52,288.52,-180.997,180.997,107.523,0.0,-92.131,35.82,18.054,17.766,50.378,5.933,15.392,-0.996,1.423,1.469,-0.046,-0.427,14.396,-8.161,6.235,0.0,0.0,0.0,6.235,,6.235,0.0,0.0,6.235,16.044631,9.809631,70.61,0.09,0.09,0.227228,71.98,0.09,0.09,0.226284,
03/29/2014,255.999,255.999,-156.72,156.72,99.279,0.0,-100.021,33.703,18.291,15.412,49.362,16.956,-0.742,-0.413,1.551,1.602,-0.051,-1.138,-1.155,0.109,-1.046,0.0,0.0,0.0,-1.046,0.0,-1.046,0.0,0.0,-1.046,19.402783,20.448783,70.651,-0.01,-0.01,0.274628,70.651,-0.01,-0.01,0.274628,
06/28/2014,316.321,316.321,-174.052,174.052,142.269,0.0,-96.149,37.955,18.89,19.065,44.586,13.608,46.12,-0.055,0.439,0.474,-0.035,-0.384,46.065,-7.418,38.647,0.0,0.0,0.0,38.647,0.0,38.647,0.0,0.0,38.647,54.389375,15.742375,71.564,0.54,0.54,0.760012,73.659,0.52,0.52,0.73372,
09/27/2014,362.667,362.667,-195.216,195.216,167.451,0.0,-92.195,36.933,19.179,17.754,48.567,6.695,75.256,-0.018,0.155,0.195,-0.04,-0.137,75.238,-11.927,63.311,0.0,0.0,0.0,63.311,0.0,63.311,0.0,0.0,63.311,71.820401,8.509401,72.211,0.88,0.88,0.994592,74.134,0.85,0.85,0.964784,
12/27/2014,397.086,397.086,-206.384,206.384,190.702,0.0,-87.067,29.965,17.939,12.026,48.865,8.237,103.635,-0.204,0.009,0.197,-0.188,0.195,103.431,-15.568,87.863,0.0,0.0,0.0,87.863,0.0,87.863,0.0,0.0,87.863,97.214892,9.351892,72.723,1.21,1.21,1.336784,74.454,1.18,1.18,1.305608,
03/28/2015,634.892,634.892,-446.006,446.006,188.886,0.0,-291.431,145.033,108.649,36.384,115.476,30.922,-102.545,-0.948,0.368,0.555,-0.187,0.58,-103.493,109.975,6.482,0.0,0.0,0.0,6.482,0.0,6.482,0.0,0.0,6.482,69.16912,62.68712,150.47,0.04,0.04,0.459687,150.47,0.04,0.04,0.456609,
06/27/2015,673.641,673.641,-394.124,394.124,279.517,0.0,-280.852,145.728,109.645,36.083,117.21,17.914,-1.335,3.963,0.156,0.548,-0.392,-4.119,2.628,-0.592,2.036,0.0,0.0,0.0,2.036,0.0,2.036,0.0,0.0,2.036,12.5314,10.4954,149.322,0.01,0.01,0.083922,154.461,0.01,0.01,0.077949,
10/03/2015,708.335,708.335,-423.487,423.487,284.848,0.0,-266.809,134.994,105.925,29.069,118.293,13.522,18.039,0.193,0.188,0.66,-0.472,-0.381,18.232,-13.784,4.448,0.0,0.0,0.0,4.448,0.0,4.448,0.0,0.0,4.448,16.263441,11.815441,146.053,0.03,0.03,0.111353,150.783,0.03,0.03,0.108361,
