Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,70.113998,24.388,24.388,0.0,30.198,,,0.0,,,,,3.653,,,,58.238998,9.828,,,0.0,2.047,,,,2.047,11.875,,18.910999,18.910999,,,,0.179,,,,,2.882001,,,2.882001,21.972,1.681,,,,,0.0,,,,,,0.0,1.681,23.653,0.0,9.687,,,0.0,,36.773998,46.460999,0.0,46.460999,70.113999,
06/30/1990,80.739998,24.993999,24.993999,0.0,36.73,,,0.0,,,,,3.977,,,,65.700996,13.157,,,0.0,1.882,,,,1.882,15.039,,26.448999,26.448999,,,,0.174,,,,,3.303001,,,3.303001,29.926001,1.64,,,,,0.0,,,,,,0.0,1.64,31.566001,0.0,9.847,,,0.0,,39.327,49.174,0.0,49.174,80.74,
09/30/1990,84.486,22.132,22.132,0.0,42.306,,,0.0,,,,,3.212,,,,67.650002,15.436,,,0.0,1.4,,,,1.4,16.836,,26.226,26.226,,,,0.168,,,,,4.276,,,4.276,30.67,1.598,,,,,0.0,,,,,,0.0,1.598,32.268,0.0,10.169,,,0.0,,42.049,52.217999,0.0,52.217999,84.486,
12/31/1990,91.470001,26.013,26.013,0.0,43.693001,,,0.0,,,,,2.433,,,,72.139,15.614,21.823,-6.209,0.0,3.717,,,,3.717,19.331,,30.893999,30.893999,,,,0.708,,,,,3.81,,,3.81,35.411999,1.015,,,,,0.0,,,,,,0.0,1.015,36.426999,0.0,10.169,,,0.0,,44.874001,55.043001,0.0,55.043001,91.47,
03/31/1991,88.803001,23.848,23.848,0.0,42.326,,,0.0,,,,,3.737,,,,69.911003,15.475,,,0.0,3.417,,,,3.417,18.892,,27.040001,27.040001,,,,0.673,,,,,3.331,,,3.331,31.044001,1.008,,,,,0.0,,,,,,0.0,1.008,32.052001,0.0,10.203,,,0.0,,46.548,56.751,0.0,56.751,88.803001,
06/30/1991,95.678001,26.474001,26.474001,0.0,44.971001,,,0.0,,,,,4.292,,,,75.737,15.554,,,0.0,4.387,,,,4.387,19.941,,31.445,31.445,,,,0.638,,,,,3.237999,,,3.237999,35.320999,1.002,,,,,0.0,,,,,,0.0,1.002,36.322999,0.0,10.301,,,0.0,,49.054001,59.355,0.0,59.355,95.678,
09/30/1991,104.879997,26.837999,26.837999,0.0,55.306,,,0.0,,,,,3.59,,,,85.734001,15.711,,,0.0,3.435,,,,3.435,19.146,,35.729,35.729,,,,0.673,,,,,4.327999,,,4.327999,40.73,0.939,,,,,0.0,,,,,,0.0,0.939,41.669,0.0,10.737,,,0.0,,52.473999,63.210999,0.0,63.210999,104.879999,
12/31/1991,106.714996,27.566,27.566,0.0,54.558998,,,0.0,,,,,4.652,,,,86.777,16.082001,23.691999,-7.61,0.0,3.856,,,,3.856,19.938001,,33.526001,33.526001,,,,0.113,,,,,5.745997,,,5.745997,39.384998,0.902,,,,,0.0,,,,,,0.0,0.902,40.286998,0.0,10.758,,,0.0,,55.669998,66.427998,0.0,66.427998,106.714996,
03/31/1992,100.677002,26.146,26.146,0.0,47.875999,,,0.0,,,,,5.581,,,,79.602997,16.764,,,,4.31,,,,4.31,21.074,,26.857,26.857,,,,0.113,,,,,4.943999,,,4.943999,31.914,0.873,,,,,0.0,,,,,,0.0,0.873,32.787,0.0,10.942,,,0.0,,56.948002,67.890002,0.0,67.890002,100.677002,
06/30/1992,120.892998,29.410999,29.410999,0.0,63.851002,,,0.0,,,,,5.318,,,,98.580002,18.082001,,,0.0,4.231,,,,4.231,22.313001,,41.912998,41.912998,,,,0.113,,,,,6.385001,,,6.385001,48.410999,0.834,,,,,0.0,,,,,,0.0,0.834,49.244999,0.0,11.127,,,0.0,,60.521,71.648,0.0,71.648,120.892999,
