Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,3668.22998,90.4,28.15,62.25,571.76001,,,709.969971,,,,,90.660004,,,,,1462.790039,878.140015,,,130.0,,1197.300049,,,,,1197.300049,2205.440063,,136.619995,136.619995,,,,162.759995,,,,,,236.710037,,,236.710037,536.090027,1149.939941,,,,,91.620003,,,,91.620003,1241.559944,1777.649971,0.0,221.789993,,,-30.549999,,1699.340038,1890.580032,0.0,1890.580032,3668.230003,
06/30/1990,3783.820068,98.66,33.450001,65.209999,556.25,,,749.73999,,,,,99.470001,,,,,1504.119995,919.960022,,,130.0,,1229.73999,,,,,1229.73999,2279.700012,,125.989998,125.989998,,,,181.979996,,,,,,200.880013,,,200.880013,508.850006,1213.949951,,,,,93.620003,,,,93.620003,1307.569954,1816.41996,0.0,231.149994,,,-30.549999,,1766.799999,1967.399994,0.0,1967.399994,3783.819954,
09/30/1990,3830.790039,58.790001,34.5,24.290001,568.72998,,,754.0,,,,,100.419998,,,,,1481.939941,937.77002,,,130.0,,1281.079956,,,,,1281.079956,2348.849976,,125.279999,125.279999,,,,183.339996,,,,,,219.910034,,,219.910034,528.530029,1340.209961,,,,,95.599998,,,,95.599998,1435.809959,1964.339989,0.0,151.729996,,,-30.549999,,1745.26997,1866.449966,0.0,1866.449966,3830.789955,
12/31/1990,3760.73999,68.890002,51.110001,17.780001,480.529999,,,753.419983,,,,,62.310001,,,,,1365.150024,970.140015,1374.98999,-404.850006,130.0,,1295.449951,,,,,1295.449951,2395.589966,,126.669998,126.669998,,,,199.779999,,,,,,225.360001,,,225.360001,551.809998,1334.300049,,,,,100.589996,,,,100.589996,1434.890045,1986.700043,0.0,149.960007,,,-30.549999,,1654.629955,1774.039963,0.0,1774.039963,3760.740006,
03/31/1991,3794.899902,65.86,52.16,13.7,522.469971,,,751.099976,,,,,57.419998,,,,,1396.849976,978.450012,,,130.0,,1289.599976,,,,,1289.599976,2398.049988,,114.129997,114.129997,,,,198.130005,,,,,,192.220009,,,192.220009,504.480011,1415.069946,,,,,102.589996,,,,102.589996,1517.659943,2022.139954,0.0,149.979996,,,-30.549999,,1653.330029,1772.760025,0.0,1772.760025,3794.899979,
06/30/1991,3765.23999,27.01,15.71,11.3,516.590027,,,733.809998,,,,,60.91,,,,,1338.319946,985.0,,,130.0,,1311.920044,,,,,1311.920044,2426.920044,,117.459999,117.459999,,,,159.919998,,,,,,205.359993,,,205.359993,482.73999,1348.75,,,,,109.589996,,,,109.589996,1458.339996,1941.079987,0.0,217.850006,,,-30.549999,,1636.860058,1824.160065,0.0,1824.160065,3765.240051,
09/30/1991,3824.320068,56.860001,45.68,11.18,531.900024,,,739.590027,,,,,62.490002,,,,,1390.839966,986.299988,,,130.0,,1317.180054,,,,,1317.180054,2433.480042,,125.160004,125.160004,,,,178.940002,,,,,,234.290009,,,234.290009,538.390015,1347.22998,,,,,111.589996,,,,111.589996,1458.819977,1997.209991,0.0,217.940002,,,-30.549999,,1639.720043,1827.110046,0.0,1827.110046,3824.320038,
12/31/1991,3785.810059,70.299998,62.099998,8.2,497.0,,,738.940002,,,,,69.660004,,,,,1375.900024,1000.070007,1460.160034,-460.089996,130.0,,1279.839966,,,,,1279.839966,2409.909973,,128.410004,128.410004,,,,132.050003,,,,,,253.38002,,,253.38002,513.840027,1369.290039,,,,,103.769997,,,,103.769997,1473.060036,1986.900063,0.0,218.160004,,,-30.549999,,1611.299999,1798.910004,0.0,1798.910004,3785.810067,
03/31/1992,3838.040039,44.75,35.73,9.02,569.570007,,,741.700012,,,,,71.43,,,,,1427.449951,1001.869995,,,130.0,,1278.719971,,,,,1278.719971,2410.589966,,135.75,135.75,,,,150.990005,,,,,,241.850021,,,241.850021,528.590027,1388.890015,,,,,110.660004,,,,110.660004,1499.550018,2028.140045,0.0,219.600006,,,-30.549999,,1620.850048,1809.900055,0.0,1809.900055,3838.0401,
06/30/1992,3971.969971,130.679997,121.989998,8.69,564.75,,,766.710022,,,,,78.779999,,,,,1540.920044,1008.590027,,,130.0,,1292.459961,,,,,1292.459961,2431.049988,,122.029999,122.029999,,,,129.460007,,,,,,252.930008,,,252.930008,504.420013,1501.599976,,,,,113.57,,,,113.57,1615.169975,2119.589989,0.0,229.610001,,,-30.84,,1653.61002,1852.38002,0.0,1852.38002,3971.970009,
