Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
07/03/2004,4829,713,713,0.0,539,,,679,,486.0,193.0,,366,,,,,,2297,2234,2420.0,-186.0,38,260,,221.0,,,260,2532,,605,605,,438,,,,,327,,,327,1370,0,,,,137,,,,,,137,137,1507,0.0,3315.0,,,,0.0,7,3322,0.0,3322,4829,
10/02/2004,6286,2173,2173,0.0,581,,,713,,502.0,211.0,,281,,,,,,3748,2193,2563.0,-370.0,34,311,,221.0,,,311,2538,,566,566,,4,,,,,473,,,473,1043,1250,,,,131,,,,,,131,1381,2424,0.0,3796.0,,,0.0,68.0,-2,3862,0.0,3862,6286,
12/31/2004,6622,2374,2374,,638,638.0,,742,,,,,247,,,,,,4001,2207,,,31,383,,,,,383,2621,,516,516,,2,,,,,643,,,643,1161,1250,,,,275,,,,,,275,1525,2686,,,,,0.0,3936.0,0,3936,,3936,6622,
04/01/2005,6533,2349,318,2031.0,654,654.0,,742,,496.0,246.0,,249,,,,,,3994,2132,,,22,385,236.0,236.0,0.0,,149,2539,,491,491,,2,,,,,509,,,509,1002,1248,,,,277,,,,,,277,1525,2527,0.0,3821.0,,,,158.0,27,4006,0.0,4006,6533,
07/01/2005,6594,2555,262,2293.0,657,657.0,,671,,472.0,199.0,,226,,,,,,4109,2051,,,14,420,235.0,235.0,0.0,,185,2485,,411,411,,2,,,,,505,,,505,918,1269,,,,269,,,,,,269,1538,2456,,3859.0,,,-1.0,280.0,0,4138,,4138,6594,
09/30/2005,6879,1485,299,1186.0,687,687.0,,637,,452.0,185.0,,234,,,,,,3043,2006,,,1413,417,242.0,242.0,0.0,,175,3836,,429,429,,2,,,,,583,,,583,1014,1251,,,,265,,,,,,265,1516,2530,,3926.0,,,-9.0,444.0,-12,4349,,4349,6879,
12/31/2005,7170,1421,212,1209.0,535,535.0,,647,0.0,441.0,206.0,0.0,367,,,,,,2970,2035,3165.0,-1130.0,1616,549,253.0,253.0,0.0,,296,4200,,469,469,,7,,,,,663,,,663,1139,1230,,,,354,,,,,,354,1584,2723,0.0,3946.0,,,-97.0,628.0,-30,4447,0.0,4447,7170,
03/31/2006,7290,1379,227,1152.0,545,545.0,,682,,471.0,211.0,,358,,,,,,2964,2042,,,1726,558,253.0,253.0,0.0,,305,4326,,572,572,,6,,,,,511,,,511,1089,1230,,,,353,,,,,,353,1583,2672,0.0,3966.0,,,-140.0,822.0,-30,4618,0.0,4618,7290,
06/30/2006,7604,1487,359,1128.0,605,605.0,,693,0.0,494.0,199.0,0.0,343,,,,,,3128,2159,,,1736,581,253.0,253.0,0.0,,328,4476,,593,593,,407,,,,,571,,,571,1571,831,,,,357,,,,,,357,1188,2759,0.0,4000.0,,,-186.0,1044.0,-13,4845,0.0,4845,7604,
09/29/2006,7771,2965,301,2664.0,711,711.0,,756,,551.0,205.0,,360,,,,,,4792,2227,,,11,741,253.0,253.0,0.0,,488,2979,,577,577,,45,,,,,723,,,723,1345,832,,,,353,,,,,,353,1185,2530,0.0,4037.0,,,-43.0,1233.0,14,5241,0.0,5241,7771,
12/31/2006,17719,710,177,533.0,635,635.0,,1188,0.0,800.0,388.0,0.0,317,,,,,,2850,3232,3287.0,-55.0,0,11637,10947.0,5293.0,5654.0,,690,14869,,558,558,,85,,,,,716,,,716,1359,9415,,,,2248,,,,,,2248,11663,13022,0.0,7078.0,,,0.0,-2387.0,6,4697,0.0,4697,17719,
03/30/2007,16784,637,181,456.0,543,543.0,,875,0.0,606.0,269.0,0.0,314,,,,,,2369,3132,,,0,11283,10607.0,5295.0,5312.0,,676,14415,,508,508,,88,,,,,694,,,694,1290,9406,,,,1919,,,,,,1919,11325,12615,0.0,7087.0,,,0.0,-2926.0,8,4169,0.0,4169,16784,
06/29/2007,16120,541,228,313.0,538,538.0,,878,0.0,595.0,283.0,0.0,279,,,,,,2236,3024,,,0,10860,10264.0,5292.0,4972.0,,596,13884,,451,451,,87,,,,,545,,,545,1083,9398,,,,1744,,,,,,1744,11142,12225,0.0,7099.0,,,0.0,-3214.0,10,3895,0.0,3895,16120,
09/28/2007,15906,772,272,500.0,500,500.0,,846,0.0,576.0,270.0,0.0,356,,,,,,2474,2929,,,0,10503,9936.0,5297.0,4639.0,,567,13432,,418,418,,94,,,,,743,,,743,1255,9389,,,,1608,,,,,,1608,10997,12252,0.0,7110.0,,,0.0,-3475.0,19,3654,0.0,3654,15906,
12/31/2007,15103,751,206,545.0,542,542.0,,779,0.0,252.0,527.0,0.0,718,,,,,,2790,2517,3205.0,-688.0,0,9796,9248.0,5330.0,3918.0,,548,12313,,385,385,,93,,,,,574,,,574,1052,9380,,,,1495,,,,,,1495,10875,11927,0.0,7123.0,,,,-3994.0,47,3176,0.0,3176,15103,
06/27/2008,14651,1199,502,697.0,706,706.0,,724,0.0,526.0,198.0,0.0,431,,,,,,3060,2296,,,0,9295,8710.0,5325.0,3385.0,,585,11591,,473,473,,92,,,,,721,,,721,1286,9278,,,,1287,,,,,,1287,10565,11851,0.0,7165.0,,,,-4423.0,58,2800,0.0,2800,14651,
09/26/2008,11051,1301,702,599.0,688,688.0,,718,0.0,508.0,210.0,0.0,506,,,,,,3213,2135,,,0,5703,5060.0,2695.0,2365.0,,643,7838,,439,439,,93,,,,,721,,,721,1253,9269,,,,1198,,,,,,1198,10467,11720,0.0,7179.0,,,0.0,-7920.0,56,-685,16.0,-669,11051,
