Date,Level 1 Assets,Level 2 Assets,Level 3 Assets,Total FV Assets,Level 3 Liabilities,Level 3 Total Gains,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Level 3 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Level 3 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
03/31/2008,70.6,414.0,102.3,586.9,,,4.01296,23.532087,5.814813,33.359861,2.235663,13.109979,3.239495,18.585137,
06/30/2008,60.9,331.2,87.3,479.4,,,3.64911,19.845408,5.230991,28.725507,2.012558,10.945143,2.884997,15.842696,
09/30/2008,96.2,257.4,54.3,407.9,,,6.069018,16.238723,3.425651,25.733392,3.395454,9.085133,1.916561,14.397148,
12/31/2008,1.9,28.4,12.3,42.6,,,0.158201,2.364696,1.024147,3.547044,0.08681,1.297574,0.561977,1.946361,
03/31/2009,1.8,9.1,23.6,34.5,,-1.6,0.151426,0.765542,1.985362,2.90233,0.07883,0.398529,1.033546,1.510905,
06/30/2009,2.0,7.4,38.9,48.3,,,0.168905,0.624947,3.285196,4.079047,0.08757,0.324007,1.703227,2.114804,
09/30/2009,2.2,6.0,42.3,50.5,,,0.165875,0.452386,3.189324,3.807585,0.092324,0.251794,1.775148,2.119266,
12/31/2009,2.3,,26.3,28.6,,,0.180449,,2.063392,2.243841,0.087776,,1.003702,1.091478,
03/31/2010,2.4,,36.4,38.8,,10.1,0.191342,,2.902017,3.093359,0.092471,,1.402481,1.494953,
06/30/2010,2.3,,34.1,36.4,,14.5,0.179505,,2.66136,2.840865,0.091006,,1.349266,1.440272,
09/30/2010,2.4,,36.6,39.0,,,0.190039,,2.898092,3.08813,0.099391,,1.515716,1.615107,
12/31/2010,2.6,3.8,11.6,18.0,,,0.209576,0.306303,0.935031,1.450911,0.107857,0.157637,0.481208,0.746702,
03/31/2011,2.7,4.4,14.5,21.6,,2.9,0.220913,0.360007,1.186385,1.767305,0.112876,0.183946,0.606187,0.90301,
06/30/2011,2.8,4.4,15.2,22.4,,3.6,0.239091,0.375715,1.297925,1.912732,0.119842,0.188324,0.650574,0.95874,
09/30/2011,2.6,,0.5,3.1,,3.9,0.239764,,0.046108,0.285872,0.118016,,0.022695,0.140711,
12/31/2011,2.7,,0.7,3.4,,-6.4,0.269757,,0.069937,0.339694,0.126174,,0.032712,0.158886,
03/31/2012,2.9,,1.0,3.9,,0.3,0.291194,,0.100412,0.391606,0.13506,,0.046572,0.181632,
06/30/2012,2.9,,1.0,3.9,,0.3,0.303347,,0.104603,0.40795,0.128535,,0.044322,0.172857,
09/30/2012,3.0,,1.8,4.8,,1.1,0.302145,,0.181287,0.483432,0.129679,,0.077808,0.207487,
12/31/2012,1.7,,2.0,3.7,,,0.164442,,0.193461,0.357903,0.07293,,0.0858,0.15873,
03/31/2013,1.9,,2.5,4.4,,,0.173849,,0.228749,0.402599,0.076858,,0.101129,0.177986,
09/30/2013,2.0,,11.0,13.0,,,0.163425,,0.89884,1.062265,0.08008,,0.44044,0.520521,
12/31/2013,2.0,,3.7,5.7,,,0.163092,,0.301721,0.464813,0.080215,,0.148398,0.228613,
03/31/2014,2.1,,,2.1,,,0.17331,,,0.17331,0.084199,,,0.084199,
09/30/2014,2.2,,8.3,10.5,,,0.18461,,0.696484,0.881094,0.091301,,0.344456,0.435757,
12/31/2014,2.3,0.0,4.6,6.9,0.2,,0.20613,0.0,0.41226,0.61839,0.097922,0.0,0.195845,0.293767,
03/31/2015,2.4,,,2.4,0.2,,0.223235,,,0.223235,0.104393,,,0.104393,
06/30/2015,,,,7.0,0.2,,,,,0.662377,,,,0.313017,
09/30/2015,2.2,0.0,4.4,6.6,0.2,,0.215033,0.0,0.430065,0.645098,0.09957,0.0,0.19914,0.29871,
12/31/2015,2.3,0.0,5.8,8.1,,,0.226155,0.0,0.570305,0.79646,0.105684,0.0,0.266507,0.372191,
03/31/2016,,,,,,,0.0,,,0.0,0.0,,,0.0,
12/31/2016,,,,,,,0.217446,0.0,0.401438,0.618884,0.128003,0.0,0.236314,0.364317,
03/31/2017,,,,,,,0.0,,,0.0,0.0,,,0.0,
06/30/2017,,,,,,,0.0,,,0.0,0.0,,,0.0,
12/31/2017,3.1,0.0,6.0,9.1,,,0.193207,0.0,0.373948,0.567155,0.126608,0.0,0.245048,0.371656,
03/31/2018,,,,,,,0.0,,,0.0,0.0,,,0.0,
06/30/2018,,,,,,,0.0,,,0.0,0.0,,,0.0,
12/31/2018,3.1,0.0,6.1,9.2,,,0.182331,0.0,0.358781,0.541113,0.123305,0.0,0.242632,0.365936,
03/31/2019,,,,,,,0.0,,,0.0,0.0,,,0.0,
06/30/2019,,,,,,,0.0,,,0.0,0.0,,,0.0,
09/30/2019,,,,,,,0.0,,,0.0,0.0,,,0.0,
12/31/2019,4.0,0.0,5.0,9.0,,,0.3996,0.0,0.4995,0.899101,0.217984,0.0,0.27248,0.490463,
03/31/2020,,,,,,,0.0,,,0.0,0.0,,,0.0,
06/30/2020,,,,,,,0.0,,,0.0,0.0,,,0.0,
