Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2006,2197.0,,-2093.0,,104.0,,-119.0,119.0,,0.0,-15.0,-67.0,39.0,39.0,,0.0,,28.0,-82.0,-22.0,-104.0,21.0,,,-125.0,-1.0,-126.0,0.0,0.0,-126.0,-126.0,,150.0,-0.84,-0.7,-0.46,150.0,-0.84,-0.7,-0.46,
06/30/2006,2300.0,,-2157.0,,143.0,,-120.0,,,,23.0,-16.0,26.0,26.0,,0.0,,-10.0,7.0,-36.0,-29.0,-3.0,,,-26.0,-2.0,-28.0,0.0,0.0,-28.0,-28.0,,150.0,-0.19,-0.21,-0.06,150.0,-0.19,-0.21,-0.06,
09/30/2006,2009.0,,-1949.0,,60.0,,-90.0,,,,-30.0,-220.0,24.0,24.0,,0.0,,196.0,-250.0,-20.0,-270.0,84.0,,,-354.0,-2.0,-356.0,0.0,0.0,-356.0,-356.0,,150.0,-2.38,-1.81,-0.79,150.0,-2.38,-1.81,-0.79,
12/31/2006,1998.0,,-1967.0,,31.0,,-90.0,,,,-59.0,-161.0,26.0,26.0,,0.0,,135.0,-220.0,33.0,-187.0,40.0,,,-227.0,-2.0,-229.0,0.0,0.0,-229.0,-229.0,,150.0,-1.53,-1.24,-0.48,150.0,-1.53,-1.24,-0.48,
03/31/2007,2145.0,,-2043.0,,102.0,,-96.0,,,,6.0,-25.0,15.0,23.0,-8.0,-5.0,,15.0,-19.0,-15.0,-34.0,56.0,,,-90.0,-2.0,-92.0,0.0,0.0,-92.0,-92.0,36.4,150.0,-0.61,-0.24,0.0,150.0,-0.61,-0.24,0.0,
06/30/2007,2289.0,,-2141.0,,148.0,,-88.0,,,,60.0,-158.0,19.0,28.0,-9.0,-14.0,,153.0,-98.0,-3.0,-101.0,28.0,,,-129.0,-4.0,-133.0,0.0,0.0,-133.0,-133.0,,150.0,-0.89,-0.7,0.05,150.0,-0.89,-0.7,0.05,
09/30/2007,2130.0,,-2017.0,,113.0,,-79.0,,,,34.0,-97.0,23.0,27.0,-4.0,-17.0,,91.0,-63.0,3.0,-60.0,5.0,,,-65.0,-4.0,-69.0,0.0,0.0,-69.0,-69.0,,150.0,-0.46,-0.42,0.03,150.0,-0.46,-0.42,0.03,
12/31/2007,2157.0,,-2030.0,,127.0,,-102.0,,,,25.0,-206.0,48.0,27.0,,36.0,,122.0,-181.0,-73.0,-254.0,3.0,,,-257.0,0.0,-257.0,0.0,0.0,-257.0,-257.0,,150.0,-1.71,-1.69,-0.66,150.0,-1.71,-1.69,-0.66,
03/31/2008,2312.0,,-2205.0,,107.0,,-111.0,99.0,,12.0,-4.0,893.0,20.0,35.0,-15.0,-18.0,,-892.0,889.0,-219.0,670.0,7.0,,,663.0,-4.0,659.0,-5.0,0.0,654.0,654.0,-575.25,250.0,4.18,4.23,1.93,250.0,4.16,4.21,1.91,
06/30/2008,2333.0,,-2188.0,,145.0,,-103.0,84.0,,19.0,42.0,-147.0,21.0,35.0,-14.0,4.0,,124.0,-105.0,-12.0,-117.0,2.0,,,-119.0,-3.0,-122.0,-8.0,0.0,-130.0,-130.0,,100.0,-1.28,-1.27,-0.4,100.0,-1.28,-1.27,-0.4,
