Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Stock-Based Compensation,Other Non - Cash Adjusted,Net Ch in Operating Capital,Trading Assets & Liab,Net Ch of Investments,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
02/28/1997,-5748,571,0.0,,490,,,,490,-6809,,,,,,-37,,-37,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,
05/31/1997,6148,527,0.0,,-1486,,,,-1486,7107,,,,,,-36,,-36,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,
08/31/1997,4352,678,0.0,,470,,,,470,3204,,,,,,-40,,-40,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,
11/30/1997,-4607,810,0.0,,876,,,,876,-6293,,,,,,-209,,-209,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,
02/28/1998,-14231,574,,,669,,,,669,-15474,,,,,-410.0,-85,0.0,-85,0.0,0.0,,,,0.0,,,,-325.0,,,,,,,,0,12584.0,-134.0,12475.0,,,,,37.0,64.0,-27.0,206.0,0.0,,-2057.0,,,
05/31/1998,5024,852,,,411,,,,411,3761,,,,,2526.0,-108,0.0,-108,0.0,0.0,,,,0.0,,,,2634.0,,,,,,,,0,-10820.0,-131.0,-9235.0,,,,,-1388.0,72.0,-1460.0,-66.0,0.0,,-3270.0,,,
08/31/1998,5795,626,,,419,,,,419,4750,,,,,-113.0,-90,0.0,-90,0.0,0.0,,,,0.0,,,,-23.0,,,,,,,,0,1010.0,-130.0,2078.0,,,,,-523.0,39.0,-562.0,-415.0,0.0,,6692.0,,,
11/30/1998,18781,1224,,,-40,,,,-40,17597,,,,,,-75,,-75,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,
02/28/1999,-23408,1037,,,355,,,,355,-24800,,,,,-130.0,-357,0.0,-357,0.0,0.0,,,,0.0,,,,227.0,,,,,,,,0,12885.0,-146.0,13014.0,,,,,-208.0,64.0,-272.0,225.0,,,-10653.0,,,
05/31/1999,15792,1151,,,261,,,,261,14380,,,,,444.0,-97,0.0,-97,0.0,0.0,,,,0.0,,,,764.0,,,,,,,,-223,-11850.0,-144.0,-11204.0,,,,,-537.0,124.0,-661.0,387.0,-352.0,,4386.0,,,
08/31/1999,895,970,,,244,,,,244,-319,,,,,-2254.0,-106,0.0,-106,0.0,0.0,,,,0.0,,,,-2148.0,,,,,,,,0,4130.0,-143.0,4595.0,,,,,-742.0,57.0,-799.0,477.0,-57.0,,2771.0,,,
11/30/1999,-22550,1633,,,-345,,,,-345,-24908,,,,,-96.0,-96,,-96,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,-22646.0,,,
02/29/2000,-3197,1544,,,471,,,,471,-5212,,,,,-3082.0,-112,0.0,-112,0.0,0.0,,,,0.0,,,,-2970.0,,,,,,,,0,9283.0,-233.0,9817.0,,,,,-621.0,105.0,-726.0,448.0,-128.0,,3004.0,,,
05/31/2000,12074,1458,,,429,,,,429,10187,,,,,841.0,-9,0.0,-9,0.0,0.0,,,,0.0,,,,1049.0,,,,,,,,-199,-12288.0,-231.0,-11264.0,,,,,-1039.0,91.0,-1130.0,244.0,2.0,,627.0,,,
08/31/2000,-5939,1246,,,356,,,,356,-7541,,,,,2291.0,-231,0.0,-231,0.0,0.0,,,,0.0,,,,2522.0,,,,,,,,0,4947.0,-230.0,5302.0,,,,,-499.0,88.0,-587.0,365.0,9.0,,1299.0,,,
11/30/2000,-5281,1208,1537.0,,-597,,,,-597,-7429,,,,,-2736.0,-544,0.0,-544,0.0,0.0,,,,0.0,,,,-2192.0,,,,,,,,0,9581.0,-230.0,10860.0,,,,,-1171.0,14.0,-1185.0,476.0,-354.0,,1564.0,,,
02/28/2001,-7391,1016,,,568,,,,568,-8975,,,,,-543.0,-524,0.0,-524,0.0,0.0,,,,0.0,,,,-19.0,,,,,,,,0,10793.0,-263.0,10893.0,,,,,-441.0,83.0,-524.0,599.0,5.0,,2859.0,,,
05/31/2001,-35075,930,,,428,,,,428,-36433,,,,,-130.0,-295,0.0,-295,0.0,0.0,,,,0.0,,,,348.0,,,,,,,,-183,40623.0,-260.0,41320.0,,,,,-414.0,56.0,-470.0,-23.0,0.0,,5418.0,,,
08/31/2001,-1207,705,,,452,,,,452,-2364,,,,,-31.0,-528,0.0,-528,0.0,0.0,,,,0.0,,,,497.0,,,,,,,,0,-1692.0,-264.0,-2211.0,,,,,397.0,845.0,-448.0,390.0,-4.0,,-2930.0,,,
