Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Deferred Income Taxes,Stock-Based Compensation,Other Non-Cash Adjustments,Net Ch in Operating Capital,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,-0.328,19.957001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,44.838001,17.990999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,40.678001,18.707001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,57.585999,14.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,19.441,25.618999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,21.434,23.368999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,42.429001,25.742001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,35.143002,24.617001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,15.722,20.497999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,14.287,28.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,45.0,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,-6.726,31.323999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,53.426998,31.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,38.619999,31.933001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,84.677002,42.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,13.97,65.621002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,113.380997,38.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-142.085999,-37.061001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,316.640991,46.014999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,19.511999,58.473,0.0,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,86.813004,46.134998,,,,,,,,,,-10.138,,-10.138,,,,,,,,,,,,,,,,,,10.138,,,,,,,,,,,,,,,,,
06/30/1995,12.556,46.237,,,,,,,,,,-6.296,,-6.296,,,,,,,,,,,,,,,,,,6.296,,,,,,,,,,,,,,,,,
09/30/1995,52.957001,48.578999,,,,,,,,,,-10.724,,-10.724,,,,,,,,,,,,,,,,,,10.724,,,,,,,,,,,,,,,,,
12/31/1995,75.377998,52.348,,,,,,,,,,-12.723,,-12.723,,,,,,,,,,,,,,,,,,12.723,,,,,,,,,,,,,,,,,
03/31/1996,22.862,46.154999,,,,,,,,,,-6.374,,-6.374,,,,,,,,,,,,,,,,,,6.374,,,,,,,,,,,,,,,,,
06/30/1996,62.500999,50.368,,,,,,,,,,-7.08,,-7.08,,,,,,,,,,,,,,,,,,7.08,,,,,,,,,,,,,,,,,
09/30/1996,82.097,45.037998,,,,,,,,,,-10.669,,-10.669,,,,,,,,,,,,,,,,,,10.669,,,,,,,,,,,,,,,,,
12/31/1996,67.628998,61.868999,,,,,,,,,,-26.549,,-26.549,,,,,,,,,,,,,,,,,,26.549,,,,,,,,,,,,,,,,,
03/31/1997,57.872002,57.335999,,,,,,,,,,-14.445,,-14.445,,,,,,,,,,,,,,,,,,14.445,,,,,,,,,,,,,,,,,
06/30/1997,79.264999,59.403999,,,,,,,,,,-17.204,,-17.204,,,,,,,,,,,,,,,,,,17.204,,,,,,,,,,,,,,,,,
09/30/1997,96.819,64.779999,,,,,,,,,,-12.376,,-12.376,,,,,,,,,,,,,,,,,,12.376,,,,,,,,,,,,,,,,,
12/31/1997,40.818001,75.165001,,,,,,,,,,-68.829002,,-68.829002,,,,,,,,,,,,,,,,,,68.829002,,,,,,,,,,,,,,,,,
03/31/1998,86.867996,75.505997,,,,,,,,,,-19.323,,-19.323,,,,,,,,,,,,,,,,,,19.323,,,,,,,,,,,,,,,-1.633,189.567001,
06/30/1998,73.318001,62.192001,,,,,,,,,,-14.682,,-14.682,,,,,,,,,,,,,,,,,,14.682,,,,,,,,,,,,,,,72.205002,199.598999,
09/30/1998,97.245003,80.154999,,,,,,,,,,-14.735,,-14.735,,,,,,,,,,,,,,,,,,14.735,,,,,,,,,,,,,,,31.24,187.863007,
12/31/1998,12.479,83.470001,,,,,,,,,,-12.106,,-12.106,,,,,,,,,,,,,,,,,,12.106,,,,,,,,,,,,,,,39.741001,182.201996,
03/31/1999,249.179001,85.530998,,,,,,,,,,-9.819824,,-9.819824,,,,,,,,,,,,,,,,,,9.819824,,,,,,,,,,,,,,,3.921,181.667007,
06/30/1999,151.130997,87.517998,,,,,,,,,,-16.024,,-16.024,,,,,,,,,,,,,,,,,,16.024,,,,,,,,,,,,,,,12.88,197.128998,
09/30/1999,139.300003,90.835999,,,,,,,,,,-63.509998,,-63.509998,,,,,,,,,,,,,,,,,,63.509998,,,,,,,,,,,,,,,6.889,199.770996,
12/31/1999,84.605003,90.625999,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,102.151001,196.498001,
03/31/2000,88.891998,88.435997,,,,,,,,,,-14.571,,-14.571,,,,,,,,,,,,,,,,,,14.571,,,,,,,,,,,,,,,0.93,224.574005,
06/30/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.348,465.855,
09/30/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.217,726.733,
12/31/2000,160.934998,84.330002,,,,,,,,,,-27.509001,,-27.509001,,,,,,,,,,,,,,,,,,27.509001,,,,,,,,,,,,,,,12.146,258.149994,
