Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2009,615,360,353,1013,7,41,965,-1111,,,-1111,0,-288,-337,0,,0.0,-337,-337,0,,,,-33,5,-38,0,82,-436,0.0,-374,-335,300.0,-339,0,0,0,-62,0,-109,146,344,
06/30/2009,659,282,360,560,7,-458,1011,-543,,,-543,0,-261,-282,0,,,-282,-282,0,,,,21,24,-3,0,0,-304,0.0,-162,-170,1451.0,-1443,0,0,0,-142,0,94,619,478,
09/30/2009,1041,196,354,973,7,-68,1034,-482,,,-482,0,-258,-296,0,0.0,0.0,-296,-296,0,0.0,,,9,10,-1,0,29,-790,0.0,-660,-620,1228.0,-1268,0,0,0,-130,0,-7,200,332,
12/31/2009,432,216,358,813,19,-35,829,-955,,,-955,0,-228,-402,0,0.0,0.0,-402,-402,0,0.0,0.0,0.0,-17,2,-19,0,191,-335,0.0,-263,-210,0.0,-53,0,0,0,-72,0,-131,182,597,
03/31/2010,859,388,355,954,8,238,708,-838,,,-838,0,-181,-214,0,,0.0,-214,-214,0,0.0,,,3,24,-21,0,30,-602,-1751.0,1216,1339,1387.0,-1510,0,0,0,-67,0,76,-71,374,
06/30/2010,394,293,355,606,8,-391,989,-860,,,-860,0,130,-322,0,,0.0,-322,-322,0,0.0,,,-9,1,-10,0,461,-562,-500.0,-29,-10,0.0,-19,0,0,0,-33,0,-38,471,599,
09/30/2010,1200,243,352,834,8,-15,841,-229,,,-229,0,-347,-324,0,,,-324,-324,0,0.0,0.0,0.0,-3,1,-4,0,-20,-826,0.0,-785,-294,0.0,-491,60,60,0,-101,0,27,98,426,
12/31/2010,474,283,359,752,8,37,707,-920,,,-920,0,-641,-465,0,0.0,0.0,-465,-465,0,0.0,0.0,0.0,-187,11,-198,0,11,201,-2006.0,2131,854,1525.0,-248,0,0,0,76,0,34,19,595,
03/31/2011,918,240,358,1094,8,321,765,-774,,,-774,0,-273,-329,0,,0.0,-329,-329,0,0.0,,,33,55,-22,0,23,-503,-30.0,-2900,-2604,0.0,-296,2528,2528,0,-101,0,142,-160,401,
06/30/2011,748,229,358,963,8,-4,959,-802,,,-802,0,-539,-447,0,,0.0,-447,-447,0,,,,-147,-1,-146,0,55,-223,0.0,-132,1080,0.0,-1212,0,0,0,-91,0,-14,124,642,
09/30/2011,880,61,362,1217,8,31,1178,-760,,,-760,0,-428,-394,0,,,-394,-394,0,0.0,0.0,0.0,-40,1,-41,0,6,-632,-1.0,1035,1110,5000.0,-5075,-1449,54,-1503,-217,0,-180,-59,592,
12/31/2011,1387,1935,387,-318,2,564,-884,-617,,,-617,0,-1755,-509,0,0.0,0.0,-509,-509,0,0.0,0.0,0.0,-1247,226,-1473,0,1,382,0.0,408,-35,500.0,-57,9,9,0,-35,0,14,-161,352,
03/31/2012,797,540,417,1224,9,300,915,-1384,,,-1384,0,-437,-335,0,,0.0,-335,-335,0,0.0,0.0,0.0,-111,1,-112,0,9,-262,-982.0,787,-470,1350.0,-93,49,49,0,-116,0,98,-25,517,
06/30/2012,1460,391,420,1192,14,26,1152,-543,,,-543,0,-449,-449,0,0.0,0.0,-449,-449,0,0.0,0.0,0.0,-22,5,-27,0,22,-964,0.0,-865,-350,0.0,-515,22,22,0,-121,0,47,166,337,
09/30/2012,655,360,417,874,16,-76,934,-996,,,-996,0,-454,-484,0,0.0,0.0,-484,-484,0,0.0,0.0,0.0,-17,11,-28,0,47,-247,-1.0,-136,-55,0.0,-81,11,11,0,-121,0,-46,287,550,
12/31/2012,1263,314,425,1089,17,-154,1226,-565,,,-565,0,-723,-594,0,0.0,0.0,-594,-594,0,0.0,0.0,0.0,-78,13,-91,0,-51,-307,-2165.0,1938,190,3500.0,-1752,92,92,0,-172,0,233,190,319,
