Date,P/E,Average,High,Low,P/Book,P/Tangible Book,P/Sales,P/Cash Flow,EV/Sales,EV/EBITDA,EV/EBIT,Price/Share,Enterprise Value,Source: Bloomberg
09/30/2013,14.553211,1000.419777,1138.3543,744.504215,1.727416,3.673801,2.834474,,0.361178,1.52272,2.255314,25.0,895.359525,
12/31/2013,,903.73146,1302.600421,659.537814,2.303335,4.506213,4.299674,,0.551524,2.189385,3.171938,34.71,1300.494474,
03/31/2014,,1114.258357,1406.519034,940.34598,5.052202,,1.89821,,0.615657,16.908049,,33.4,1386.46,
06/30/2014,,1179.578647,1412.657615,951.949746,1.944984,4.578998,0.87019,,0.433826,9.627441,,24.47,953.116632,
09/30/2014,,922.189763,1029.060781,801.639199,1.819255,4.342184,0.550369,,0.396704,4.853017,,21.97,873.543,
12/31/2014,,823.39926,935.843167,695.782041,3.281827,,0.428114,,0.423472,4.896536,,21.71,896.066173,
03/31/2015,,783.038431,910.822346,737.527171,3.584149,,0.389002,,0.435842,4.421299,44.43405,18.99,888.681,
06/30/2015,,889.878466,956.488115,788.264051,3.5196,,0.361186,,0.426694,3.721614,14.066441,16.8,829.92,
09/30/2015,,752.979024,834.797522,686.8957,4.232516,,0.362682,,0.463951,4.670615,29.858571,15.62,836.04,
12/31/2015,,758.449322,892.647751,635.600914,6.752308,,0.291418,,0.379745,3.440603,12.679259,12.54,684.68,
03/31/2016,109.912374,569.642146,680.182951,496.866302,,,0.25725,,0.366187,3.191059,9.814924,10.85,647.785,
06/30/2016,26.52078,736.397899,897.765758,627.344658,,,0.384298,,0.494639,4.082516,9.881545,16.08,869.576,
09/30/2016,13.733484,860.694563,918.031443,795.561308,,,0.362182,38.837877,0.484232,4.07971,9.080645,15.0,844.5,
12/31/2016,18.480894,854.129085,930.103344,798.084794,,,0.384782,,0.490706,4.171,8.781053,15.5,834.2,
03/31/2017,10.859752,757.770492,867.45203,647.980413,,,0.289326,,0.428333,5.176978,15.991111,11.5,719.6,
06/30/2017,9.291422,656.534895,724.195747,607.796338,,,0.235212,,0.383242,8.37,,9.1,627.75,
09/30/2017,8.492505,591.25214,648.643485,380.295848,6.958,,0.193983,,0.237304,,,7.35,381.11,
12/31/2017,1.116773,267.604003,391.971216,199.971216,6.288571,,0.095,,0.282872,,,3.1,392.06,
03/31/2018,2.109175,533.953439,751.699208,389.842648,,,0.168895,,0.384491,,,5.35,517.91,
06/30/2018,1.513358,506.572867,548.059888,462.750834,,,0.124643,,0.376163,,,3.8,488.26,
09/30/2018,1.142691,466.000752,500.282605,443.347472,,,0.105895,,0.401186,,,3.1,500.68,
12/31/2018,,498.086976,551.724604,466.145158,,,0.082442,,0.36147,,,2.55,477.14,
03/31/2019,,499.013016,560.47089,474.81663,,,0.097854,,0.434091,,,2.96,561.28,
06/30/2019,,535.639405,568.079682,225.201651,0.563934,0.897391,0.081044,,0.177603,,,2.4,225.2,
09/30/2019,,228.424002,257.726408,208.030202,0.753536,1.32307,0.090305,8.671298,0.205569,,,2.64,257.784,
12/31/2019,,263.384368,339.987792,245.574475,2.48,9.130909,0.160902,16.701431,0.273655,,,4.65,339.88,
03/31/2020,,269.393922,313.189419,206.547249,,,0.06126,,0.195896,,,1.73,238.601,
06/30/2020,,265.222324,294.525926,232.726192,,,0.085853,,0.261967,,,2.23,294.451,
09/12/2020,,,,,,,0.246393237213369,,0.606208455516014,,,6.4,681.378304,
