Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,(Income) Loss from Affiliates,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,1102.0,1102.0,-479.0,479.0,623.0,0.0,-511.0,376.0,,130.0,5.0,112.0,-108.0,162.0,164.0,-2.0,-78.0,24.0,4.0,0.0,0.0,0.0,3.0,7.0,4.0,4.0,0.0,3.0,-1.0,2.0,0.0,0.0,2.0,9.25,3.25,267.123722,0.0,0.016,0.034628,268.59775,0.0,0.016,0.0281,
06/30/2009,1182.0,1182.0,-484.0,484.0,698.0,0.0,-526.0,386.0,,136.0,4.0,172.0,-216.0,149.0,151.0,-2.0,47.0,20.0,-44.0,25.0,,,5.0,-14.0,-4.0,-4.0,0.0,-10.0,0.0,-10.0,0.0,0.0,-10.0,-11.4,2.6,269.395229,-0.03712,-0.051968,-0.042317,269.395229,-0.03712,-0.051968,-0.042317,
09/30/2009,1227.0,1227.0,-521.0,521.0,706.0,0.0,-1032.0,365.0,,143.0,524.0,-326.0,-208.0,166.0,168.0,-2.0,21.0,21.0,-534.0,99.0,,,-33.0,-468.0,58.0,58.0,0.0,-526.0,-1.0,-527.0,0.0,0.0,-527.0,-128.4,340.6,276.162408,-1.908297,-1.698276,-0.464943,276.162408,-1.908297,-1.698276,-0.464943,
12/31/2009,1297.0,1297.0,-539.0,539.0,758.0,0.0,-600.0,396.0,0.0,148.0,56.0,158.0,-187.0,163.0,164.0,-1.0,12.0,12.0,-29.0,73.0,,,3.0,47.0,3.0,3.0,0.0,44.0,0.0,44.0,0.0,0.0,44.0,83.4,36.4,276.103214,0.16,0.17,0.302061,277.818686,0.16,0.17,0.301021,
03/31/2010,1196.0,1196.0,-520.0,520.0,676.0,0.0,-544.0,400.0,,141.0,3.0,132.0,-83.0,161.0,162.0,-1.0,-79.0,1.0,49.0,1.0,,,-2.0,48.0,5.0,5.0,0.0,43.0,-1.0,42.0,0.0,0.0,42.0,48.95,1.95,276.154291,0.15,0.17,0.177256,278.726675,0.15,0.17,0.176996,
06/30/2010,1270.0,1270.0,-528.0,528.0,742.0,0.0,-560.0,405.0,,136.0,19.0,182.0,-94.0,159.0,160.0,-1.0,-67.0,2.0,88.0,-13.0,,,2.0,77.0,3.0,3.0,0.0,74.0,0.0,74.0,0.0,0.0,74.0,89.35,12.35,276.453035,0.267677,0.278528,0.323201,279.114559,0.265124,0.275872,0.320119,
09/30/2010,1289.0,1289.0,-521.0,521.0,768.0,0.0,-567.0,414.0,,142.0,11.0,201.0,-178.0,168.0,169.0,-1.0,5.0,5.0,23.0,-2.0,,,1.0,22.0,11.0,11.0,0.0,11.0,0.0,11.0,0.0,0.0,11.0,29.15,7.15,276.651344,0.04,0.08,0.105367,280.176824,0.04,0.08,0.105367,
12/31/2010,1371.0,1371.0,-560.0,560.0,811.0,0.0,-596.0,429.0,0.0,139.0,28.0,215.0,-272.0,167.0,169.0,-2.0,5.0,100.0,-57.0,60.0,,,4.0,7.0,3.0,3.0,0.0,4.0,-1.0,3.0,0.0,0.0,3.0,81.4,75.4,276.545279,0.01,0.02,0.294346,280.241344,0.01,0.02,0.289054,
03/31/2011,1302.0,1302.0,-549.0,549.0,753.0,0.0,-702.0,543.0,,136.0,23.0,51.0,-363.0,139.0,140.0,-1.0,-7.0,231.0,-312.0,134.0,,,-2.0,-180.0,1.0,1.0,0.0,-181.0,-1.0,-182.0,0.0,0.0,-182.0,46.95,227.95,331.248626,-0.55,-0.55,0.141736,331.248626,-0.55,-0.55,0.138154,
06/30/2011,1396.0,1396.0,-570.0,570.0,826.0,0.0,-608.0,450.0,,135.0,23.0,218.0,-113.0,112.0,114.0,-2.0,10.0,-9.0,105.0,-39.0,,,3.0,69.0,0.0,0.0,0.0,69.0,0.0,69.0,0.0,0.0,69.0,83.95,14.95,358.792103,0.19,0.19,0.23398,364.203419,0.19,0.19,0.231048,
