Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/28/1992,52.557999,9.373,9.373,0.0,1.133,,,8.786,,,,,1.494,,,,,20.785999,30.229,38.948002,-8.719,0.0,,1.543,,,,,1.543,31.772,,1.92,1.92,,,,0.0,,,,,,5.409,,,5.409,7.329,0.0,,,,,0.0,,,,,,0.0,0.0,7.329,37.372002,11.528,,,0.0,,-3.671,45.229002,0.0,45.229002,52.558002,
09/27/1992,87.865997,37.74,20.778,16.962,1.571,,,11.72,,,,,2.138,,,,,53.168999,33.568001,42.966,-9.398,0.0,,1.129,,,,,1.129,34.697001,,4.012,4.012,,,,0.0,,,,,,8.566,,,8.566,12.578,0.0,,,,,0.0,,,,,,0.0,0.0,12.578,0.0,77.605003,,,0.0,,-2.317,75.288003,0.0,75.288003,87.866004,
12/27/1992,98.984001,45.232,16.952,28.280001,1.582,,,11.105,,,,,2.738,,,,,60.657001,36.889999,47.578999,-10.689,0.0,,1.437,,,,,1.437,38.326999,,6.877,6.877,,,,0.0,,,,,,12.731999,,,12.731999,19.608999,0.0,,,,,0.0,,,,,,0.0,0.0,19.608999,0.0,78.426003,,,0.0,,0.949,79.375003,0.0,79.375003,98.984002,
03/28/1993,96.725998,32.511001,5.196,27.315001,2.017,,,11.105,,,,,5.467,,,,,51.099998,43.512001,55.576,-12.064,0.0,,2.114,,,,,2.114,45.626001,,2.127,2.127,,,,0.0,,,,,,11.972,,,11.972,14.099,0.0,,,,,0.0,,,,,,0.0,0.0,14.099,0.0,80.507004,,,0.0,,2.12,82.627004,0.0,82.627004,96.726004,
06/27/1993,102.463997,27.038001,7.039,19.999001,2.38,,,14.374,,,,,5.642,,,,,49.433998,50.618,64.238998,-13.621,0.0,,2.412,,,,,2.412,53.03,,2.181,2.181,,,,0.0,,,,,,14.622,,,14.622,16.802999,0.0,,,,,0.0,,,,,,0.0,0.0,16.802999,0.0,81.726997,,,0.0,,3.934,85.660997,0.0,85.660997,102.463997,
10/03/1993,201.712006,35.594002,17.106001,18.488001,3.097,,,25.990999,,,,,4.992,,,,,69.674004,70.82,88.450996,-17.631001,56.917999,,4.3,,,,,4.3,132.037999,,6.723,6.723,,,,7.824,,,,,,13.035001,,,13.035001,27.582001,80.5,,,,,0.0,,,,,,0.0,80.5,108.082001,4.944,82.424004,,,-0.396,,6.658,93.630003,0.0,93.630003,201.712004,
01/02/1994,204.270004,52.57,26.910999,25.659,3.487,,,25.292,,,,,3.693,,,,,85.042,76.519997,,,0.0,,42.708,,,,,42.708,119.227997,,3.857,3.857,,,,0.0,,,,,,24.890999,,,24.890999,28.747999,80.5,,,,,0.0,,,,,,0.0,80.5,109.247999,0.0,80.700996,,,0.0,,14.321,95.021996,0.0,95.021996,204.269996,
04/03/1994,207.369003,35.137001,10.01,25.127001,3.673,,,25.011,,,,,4.697,,,,,68.517998,103.081001,124.003998,-20.923,31.110001,,4.66,,,,,4.66,138.851002,,2.427,2.427,,,,9.303,,,,,,17.335,,,17.335,29.065001,80.5,,,,,0.0,,,,,,0.0,80.5,109.565001,0.0,85.594002,,,0.0,,12.21,97.804002,0.0,97.804002,207.369002,
07/03/1994,222.229004,33.235999,14.745,18.490999,4.715,,,36.887001,,,,,6.143,,,,,80.981003,122.986,,,12.549,,5.713,,,,,5.713,141.248,,5.701,5.701,,,,13.452,,,,,,19.588001,,,19.588001,38.741001,80.5,,,,,0.0,,,,,,0.0,80.5,119.241001,0.0,87.184998,,,0.0,,15.803,102.987998,0.0,102.987998,222.228999,
10/02/1994,231.421005,15.921,8.394,7.527,5.394,,,56.063999,,,,,7.201,,,,,84.580002,140.753998,170.759003,-30.004999,0.0,,6.087,,,,,6.087,146.840998,,9.128,9.128,,,,11.965,,,,,,19.324999,,,19.324999,40.417999,80.5,,,,,0.605,,,,,,0.605,81.105,121.522999,0.0,93.531998,,,0.0,,16.365999,109.897997,0.0,109.897997,231.420996,
