Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1995,12.303,,,-7.437,,4.866001,,-3.946,,,,,,0.92,0.281,,,,0.0,,-0.281,1.201,-0.047,1.154,0.0,,,1.154,0.0,1.154,0.0,,1.154,1.154,,22.243999,0.0525,0.0525,,22.243999,0.0525,0.0525,0.0525,
06/30/1995,14.404,,,-7.263,,7.141,,-4.602,,,,,,2.539,0.466,,,,0.0,,-0.466,3.005,-0.133,2.872,0.0,,,2.872,0.0,2.872,0.0,,2.872,2.872,,22.22,0.13,0.13,0.13,22.22,0.13,0.13,0.13,
09/30/1995,16.886,,,-10.048,,6.837999,,-4.833,,,,,,2.005,0.373,,,,0.0,,-0.373,2.378,-0.081,2.297,0.0,,,2.297,0.0,2.297,0.0,,2.297,2.297,,23.872,0.0275,0.0275,,23.872,0.0275,0.0275,0.0275,
12/31/1995,19.246,,,-11.865,,7.381,,-5.068,,,,,,2.313,0.592,,,,0.0,,-0.592,2.905,-0.163,2.742,0.0,,,2.742,0.0,2.742,0.0,,2.742,2.742,,91.392,0.03,0.03,0.03,91.392,0.03,0.03,0.03,
03/31/1996,20.739,,,-12.722,,8.017,,-5.519,,,,,,2.498,0.751,,0.0,,0.0,,-0.751,3.249,-0.195,3.054,0.0,,,3.054,0.0,3.054,0.0,,3.054,3.054,,87.255997,0.035,0.035,0.035,96.811996,0.0325,0.0325,0.0325,
06/30/1996,24.562,,,-15.057,,9.505,,-6.633,,,,,,2.872,0.77,,0.0,,0.0,,-0.77,3.642,-0.237,3.405,0.0,,,3.405,0.0,3.405,0.0,,3.405,3.405,,90.800003,0.0375,0.0375,0.0375,96.564003,0.035,0.035,0.035,
09/30/1996,26.048,,,-15.759,,10.289001,,-7.175,,,,,,3.114,0.799,,0.0,,0.0,,-0.799,3.913,-0.27,3.643,0.0,,,3.643,0.0,3.643,0.0,,3.643,3.643,,91.075996,0.04,0.04,0.04,97.071999,0.0375,0.0375,0.0375,
12/29/1996,26.25,,,-15.169,,11.081,,-7.091,,,,,,3.99,0.831,,,,0.0,,-0.831,4.821,-0.438,4.383,0.0,,,4.383,0.0,4.383,0.0,,4.383,4.383,,87.660004,0.05,0.05,0.05,96.844,0.045,0.045,0.045,
03/31/1997,21.444,,,-12.965,,8.479,,-6.939,,,,,,1.54,0.955,,0.0,,0.0,,-0.955,2.495,-0.37,2.125,0.0,,,2.125,0.0,2.125,0.0,,2.125,2.125,,89.592004,0.0225,0.0225,0.0225,96.428,0.0225,0.0225,0.0225,
06/30/1997,27.347,,,-16.375,,10.972,,-7.581,,,,,,3.391,0.954,,0.0,,0.0,,-0.954,4.345,-0.655,3.69,0.0,,,3.69,0.0,3.69,0.0,,3.69,3.69,,92.252,0.04,0.04,0.04,97.656,0.0375,0.0375,0.0375,
