Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Increase(Decrease) in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
09/29/1989,-814.411987,22.062,,30.021,-866.494995,,,,,,,,,,,,,,,,,,,
12/31/1989,-39.171001,29.134001,,-19.308001,-48.997002,,,,,,,,,,,,,,,,,,,
03/30/1990,-159.514008,34.652,,38.516998,-232.682999,,,,,,,,,,,,,,,,,,,
06/30/1990,620.146973,33.52,,3.503,583.124023,,,,,,,,,,,,,,,,,,,
09/28/1990,-304.485992,18.014999,7.985,-27.222,-303.264008,,,,,,,,,,,,,,,,,,,
12/31/1990,956.671997,16.858999,8.147,38.694,892.971985,,,,,,,,,,,,,,,,,,,
03/29/1991,-1438.720947,57.672001,8.231,80.731003,-1585.35498,,,,,,,,,,,,,,,,,,,
06/30/1991,139.639999,50.319,8.806,-326.891998,407.407013,,,,,,,,,,,,,,,,,,,
09/27/1991,-446.779999,47.058998,10.228,186.774994,-690.84198,,,,,,,,,,,,,,,,,,,
12/31/1991,-619.374023,77.420998,10.525,57.181,-764.500977,,,,,,,,,,,,,,,,,,,
03/27/1992,-134.287003,91.344002,8.881,6.289,-240.800995,,,,,,,,,,,,,,,,,,,
06/30/1992,-295.402008,78.753998,10.05,-21.608,-362.597992,,,,,,,,,,,,,,,,,,,
09/25/1992,-322.165985,62.956001,10.47,14.002,-409.593994,,,,,,,,,,,,,,,,,,,
12/31/1992,-979.986023,64.293999,10.354,74.564003,-1129.197998,,,,,,,,,,,,,,,,,,,
03/26/1993,86.429001,110.416,9.815,11.522,-45.324001,,,,,,,,,,,,,,,,,,,
06/30/1993,-1900.374023,124.780998,10.595,37.483002,-2073.23291,,,,,,,,,,,,,,,,,,,
09/24/1993,-1244.771973,104.303001,10.955,237.938995,-1597.968994,,,,,,,,,,,,,,,,,,,
12/31/1993,-2452.146973,134.813004,11.723,-161.341003,-2437.342041,,,,,,,,,,,,,,,,,,,
03/25/1994,-444.303986,115.449997,12.243,-117.463997,-454.53299,,,,,,,,,,,,,,,,,,,
06/30/1994,771.848999,32.398998,13.063,-94.541,820.927979,,,,,,,,,,,,,,,,,771.848999,,
09/30/1994,98.405998,35.460999,13.793,0.764,48.388,,,,,,,,,,,,,,,,,,,
12/31/1994,480.630005,32.926998,14.419,64.153999,369.130005,,,,,,,,,,,,,,,,,,,
03/31/1995,-1451.240967,82.739998,15.18,-205.298996,-1343.862061,,,,,,,,,,,,,,,,,,,
06/30/1995,49.152,89.483002,15.882,108.900002,-165.113007,,,,,,,,,,,,,,,,,49.152,,
09/29/1995,-1127.73999,93.846001,16.275999,111.286003,-1349.147949,,,-13.518,,,,,,,,,,,,,,,,
12/31/1995,-322.881989,105.155998,17.347,-58.292999,-387.09201,,,-27.271999,,,,,,,,,,,,,,,,
03/29/1996,-938.453979,128.871002,17.495001,211.300995,-1296.120972,,,-17.993,,,,,,,,,,,,,,,,
06/30/1996,-1164.426025,162.764999,18.76,-133.427994,-1212.522949,,,-30.152,,,,,,,,,,,,,,,,
09/27/1996,-914.51001,108.448997,19.968,-307.880005,-735.046997,,,-26.011,,,,,,,,,,,,,,,,
12/31/1996,-1276.218994,176.511993,21.450001,-73.407997,-1400.772949,,,-26.431,,,,,,,,,,,,,,,,
03/27/1997,-2206.615967,165.481003,22.533001,374.528992,-2769.158936,,,-33.375,,,,,,,,,,,,,,,,
09/26/1997,-1741.160034,161.617996,26.017,354.983002,-2283.778076,,,-45.349998,,,,,,,,,,,,,,,,
12/31/1997,-880.317017,160.222,27.427,-371.303986,-696.661987,,,-63.147999,,,,,,,,,,,,,,,,
03/27/1998,-4130.349121,166.319,29.375,172.682007,-4498.725098,,,-49.403,,,,,,,,,,,,,,,,
06/30/1998,1305.876953,172.270004,32.321999,-12.934,1114.218994,,,-25.750999,,,,,,,,,,,,,,,,
09/25/1998,-411.859009,64.102997,32.394001,370.908997,-879.265015,,,-41.629879,,,,,,,,,,,,,,,,
12/31/1998,4949.508789,135.919998,32.757999,-237.723007,5018.554199,,,-49.955002,,,,,,,,,,,,,,,,
03/26/1999,-3279.878906,203.972,33.136002,79.211998,-3596.198975,,,-37.278,,,,,,,,,,,,,,,,
06/30/1999,-1022.96698,269.053009,34.827,-542.963989,-783.882996,,,-42.943001,,,,,,,,,,,,,,,,
02/25/2000,-10529.27,278.181,37.934,44.854,-10890.24,,,-38.129,,,,,,,,,,,,,,,,
05/26/2000,2849.949,118.377,37.572,-120.598,2814.598,,,-47.992,,,,,,,,,,,,,,,,
08/25/2000,115.219,181.436,37.473,-1130.123,1026.433,,,-53.773,,,,,,,,,,,,,,,,
11/30/2000,551.929,195.189,40.637,223.05,93.054,,0.0,-52.295,,,,,,,,,,,,,,,,
02/23/2001,2467.613,159.681,46.547,71.386,2189.999,-27.204,0.0,-19.419,-15.909,8.124,0.0,0.0,-2448.453,-25.911,-1540.917,286.643,-1041.676,0.0,-128.133,0.0,1.541,-8.044,,
