Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,61.903,48.870998,85.567001,-9.907,186.434006,,,,,,
06/30/1990,,62.189999,48.780998,-129.824005,16.797001,-2.056,,,,,,
09/30/1990,,62.672001,55.216,30.018,11.128,159.033997,,,,,,
12/31/1990,,-72.730003,248.477997,73.747002,-47.171001,202.324005,,,,202.324005,,
03/31/1991,,53.110001,73.358002,151.632004,20.982,299.082001,,,,,,
06/30/1991,,54.605999,71.998001,69.337997,-3.546,192.395996,,,,,,
09/30/1991,,61.173,75.164001,35.237,-10.819,160.755005,,,,,,
12/31/1991,,58.856998,69.412003,-221.697998,-7.153,-100.582001,,,,-100.582001,,
03/31/1992,,-21.98,51.296001,188.199997,6.256,223.772003,,,,,,
06/30/1992,,66.396004,57.306999,-221.378998,-25.076,-122.751999,,,,,,
09/30/1992,,67.894997,43.541,227.177994,22.636,361.25,,,,,,
12/31/1992,,69.107002,47.596001,33.699001,-23.152,46.264,,,,46.264,,
03/31/1993,,67.271004,,,,275.335999,,,,,,
06/30/1993,,91.390999,,,,-146.720993,,,,,,
09/30/1993,,96.081001,,,,546.35199,,,,,,
12/31/1993,,94.676003,,,,69.278,,,,69.278,,
03/31/1994,,-33.424999,,,,189.557007,,,,,,
06/30/1994,,63.091,,,,52.650002,,,,,,
09/30/1994,,104.221001,,,,275.431,,,,,,
12/31/1994,,111.474998,,,,188.677994,,,,,,
03/31/1995,,55.367001,42.821999,76.885002,-60.896,114.178001,,-15.641,,,,
06/30/1995,,125.970001,43.625,4.639,-37.950001,136.283997,,,,,,
09/30/1995,,133.945999,35.972,-163.160004,171.901993,178.660004,,,,,,
12/31/1995,,339.893005,144.578995,86.954002,87.908997,659.335022,,,,,,
03/31/1996,,177.143997,73.038002,148.041,70.954002,469.177002,,-36.103001,,,,
06/30/1996,,79.597,164.686996,200.742996,175.751999,620.778992,,-18.34,,,,
09/30/1996,,241.772003,65.250999,59.320999,-60.484001,305.859985,,-24.811001,,,,
12/31/1996,,195.546005,36.303001,-207.695007,-104.306999,-125.068001,,-22.215,,,,
03/31/1997,,198.113007,69.509003,-73.148003,-79.819,114.654999,,-23.146999,,,,
06/30/1997,,199.725998,83.595001,77.189003,-129.119995,231.389999,,-21.518,,,,
09/30/1997,,198.813995,83.355003,95.720001,76.447998,454.337006,,-18.385,,,,
12/31/1997,,216.626007,153.289993,-17.209,-647.692993,-294.985992,,-27.035,,,,
