Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2018,94870,9038,9038,,4281,4281,,,2224,,,,,2190,,,689,1501,17733,29424,,,3104,3104.0,,44609,44609,26856,17753,0,77137,,3954,3954,,,4647,1176,,,,3471,4806,,,4806,13407,11773,11773,,,,11711,,,,,,11711,23484,36891,0,40263,,,0.0,16766,-4608,52421,5558,57979,94870,
12/31/2018,93386,4466,4466,0.0,4255,4255,,283.0,1651,339.0,321.0,991.0,0.0,6683,367.0,127.0,5498,752,17272,29717,41937.0,-12220.0,135,,135.0,46262,43097,26874,16223,3038,76114,,4958,3219,137.0,1602.0,5083,3560,0.0,0.0,,1523,2915,0.0,560.0,1091,12956,12288,12288,0.0,0.0,,11046,0.0,2004.0,2004.0,0.0,7611.0,871,23334,36290,0,40152,1.0,40151.0,-629.0,16529,-4456,51596,5500,57096,93386,
03/31/2019,91641,5791,5791,,4390,4390,0.0,305.0,1667,355.0,323.0,989.0,0.0,2935,,,1732,1203,15088,29418,,,4371,4371.0,,42764,42764,26820,15944,0,76553,,3166,3166,,,2227,909,301.0,30.0,271.0,1017,5747,,,4028,11140,12985,12104,881.0,86.0,795.0,10869,,,,,,10869,23854,34994,0,40174,1.0,40173.0,0.0,16569,-5568,51175,5472,56647,91641,
06/30/2019,87189,2686,2686,0.0,4483,4483,,405.0,1708,362.0,337.0,1009.0,0.0,1399,,,283,1116,10681,29540,,,0,,,46968,42751,26947,15804,4217,76508,,3358,3358,,,1951,1453,271.0,22.0,249.0,227,5212,,,3530,10521,12970,12145,825.0,110.0,715.0,10804,,,,,,10804,23774,34295,0,40158,1.0,40157.0,,16555,-6149,50564,2330,52894,87189,
09/30/2019,84394,2120,2120,0.0,4238,4238,0.0,367.0,1653,373.0,331.0,949.0,0.0,1434,,,232,1202,9812,28460,,,0,,,46122,42097,26261,15836,4025,74582,,3071,3071,,,2886,1179,282.0,30.0,252.0,1425,4926,,,3329,10883,11270,10460,810.0,107.0,703.0,10933,,,,,,10933,22203,33086,0,40186,1.0,40185.0,-2443.0,16810,-5600,48953,2355,51308,84394,
12/31/2019,86612,2700,2700,0.0,4322,4322,,368.0,1697,396.0,331.0,970.0,0.0,1265,516.0,82.0,125,539,10352,29064,44318.0,-15254.0,150,,150.0,47046,43156,27019,16137,3808,76260,,6796,3266,127.0,3403.0,3523,1700,292.0,32.0,260.0,1531,1841,0.0,616.0,29,12160,11409,10576,833.0,117.0,716.0,11408,0.0,2548.0,2548.0,0.0,7236.0,1008,22817,34977,0,40202,1.0,40201.0,-3156.0,16842,-4814,49074,2561,51635,86612,
03/31/2020,84369,4014,4014,0.0,4084,4084,0.0,311.0,1689,374.0,338.0,977.0,0.0,1415,,,160,1255,11513,27418,,,0,,,45438,41412,26073,15339,4026,72856,,2965,2965,,,6854,4848,,,,2006,5671,,,3817,15490,10021,9884,137.0,137.0,,11615,,,,,,11615,21636,37126,0,40186,1.0,40185.0,-4872.0,16850,-7388,44776,2467,47243,84369,
06/30/2020,85856,4941,4941,0.0,3994,3994,0.0,226.0,1715,387.0,359.0,969.0,0.0,1197,,,3,1194,12073,27693,,,0,,,46090,42084,26580,15504,4006,73783,,2816,2816,,,6402,3679,,,,2723,5877,,,4184,15095,11078,10938,140.0,140.0,,11746,,,,,,11746,22824,37919,0,40212,1.0,40211.0,-4836.0,16782,-6621,45537,2400,47937,85856,
