Date,Revenue,Consensus Estimate,Comparable Actual,Revenue Surprise %,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBIT Surprise %,EBITDA,EBITDA Surprise %,Gross Margin %,Pretax Income (Loss),Pretax Income (Loss) Surprise %,Net Income,Source: Bloomberg
12/31/1989,,,21.212999,,21.213001,21.213001,,,,,,,,,,
03/31/1990,,,35.662998,,35.663,35.663,,,,,,,,,,
06/30/1990,,,-2.388,,-2.388,-2.388,,,,,,,,,,
09/30/1990,,,-10.153,,-10.153,-10.153,,,,,,,,,,
12/31/1990,,,23.658001,,23.658,23.658,,,,,,,,,,
03/31/1991,,,34.43,,34.430001,34.430001,,,,,,,,,,
06/30/1991,,,-2.684,,-2.684,-2.684,,,,,,,,,,
09/30/1991,,,-7.15,,-7.15,-7.15,,,,,,,,,,
12/31/1991,,,20.966999,,20.967001,20.967001,,,,,,,,,,
03/31/1992,,,42.835999,,42.836,42.836,,,,,,,,,,
06/30/1992,,,-1.862,,-1.862,-1.862,,,,,,,,,,
09/30/1992,,,-7.541,,-7.541,-7.541,,,,,,,,,,
12/31/1992,,,21.200001,,21.2,21.2,,,,,,,,,,
03/31/1993,,,43.900002,,43.899998,43.899998,,,,,,,,,,
06/30/1993,,,-3.4,,-3.4,-3.4,,,,,,,,,,
09/30/1993,,,0.0,,-8.5,-8.5,,,,,,,,,,
12/31/1993,,,25.200001,,25.199999,25.199999,,,,,,,,,,
03/31/1994,,,49.299999,,49.300002,49.300002,,,,,,,,,,
06/30/1994,,,-4.9,,-4.9,-4.9,,,,,,,,,,
09/30/1994,,,0.0,,-10.9,-10.9,,,,,,,,,,
12/31/1994,,,0.7,,0.7,0.7,,,,,,,,,,
03/31/1995,,,36.200001,,36.199999,36.199999,,,,,,,,,,
06/30/1995,,,0.3,,0.3,0.3,,,,,,,,,,
09/30/1995,,,0.0,,-10.8,-10.8,,,,,,,,,,
12/31/1995,,,29.1,,29.100001,29.100001,,,,,,,,,,
03/31/1996,,,45.0,,44.999998,44.999998,,,,,,,,,,
06/30/1996,,,3.6,,3.6,3.6,,,,,,,,,,
09/30/1996,,,0.0,,-2.1,-2.1,,,,,,,,,,
12/31/1996,,,29.6,,29.600001,29.600001,,,,,,,,,,
03/31/1997,,,49.0,,48.999998,48.999998,,,,,,,,,,
06/30/1997,,,1.4,,1.4,1.4,,,,,,,,,,
09/30/1997,,,0.0,,-3.4,-3.4,,,,,,,,,,
12/31/1997,,,25.700001,,25.7,25.7,,,,,,,,,,
03/31/1998,,,45.099998,,45.099999,45.099999,,,,,,,,,,
06/30/1998,,,-1.2,,-1.2,-1.2,,,,,,,,,,
09/30/1998,,,0.0,,11.0,11.0,,,,,,,,,,
12/31/1998,,,15.9,,15.9,15.9,,,,,,,,,,
03/31/1999,,,24.200001,,24.199999,24.199999,,,,,,,,,,
06/30/1999,,,7.2,,7.2,7.2,,,,,,,,,,
09/30/1999,,,-8.5,,27.1,27.1,,,,,,,,,,
