Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1995,1630.0,,-1126.0,,504.0,,-304.0,,,200.0,14.0,,5.0,,0.0,-19.0,214.0,-83.0,131.0,-61.0,,,192.0,0.0,192.0,0.0,,192.0,192.0,,217.0,0.89,0.61,0.61,217.0,0.89,0.61,0.61,
03/31/1996,1794.0,,-1274.0,,520.0,,-334.0,,,186.0,12.0,,7.0,,0.0,-19.0,198.0,-77.0,121.0,-93.0,,,214.0,0.0,214.0,0.0,,214.0,214.0,,217.300003,0.98,0.55,0.55,217.300003,0.98,0.55,0.55,
06/30/1996,1891.0,,-1335.0,,556.0,,-324.0,,,232.0,8.0,,4.0,,0.0,-12.0,240.0,-94.0,146.0,-77.0,,,223.0,0.0,223.0,0.0,,223.0,223.0,,217.699997,1.02,0.67,0.67,217.699997,1.02,0.67,0.67,
09/30/1996,1913.0,,-1349.0,,564.0,,-447.0,,,117.0,-39.0,,6.0,,0.0,33.0,78.0,-25.0,53.0,-44.0,,,97.0,0.0,97.0,0.0,,97.0,97.0,,217.699997,0.45,0.24,0.81,217.699997,0.45,0.24,0.81,
12/31/1996,2628.0,,-1943.0,,685.0,,-390.0,,,295.0,-5.0,5.0,5.0,0.0,0.0,0.0,290.0,-111.0,179.0,0.0,,,179.0,0.0,179.0,0.0,,179.0,179.0,,218.7,0.82,0.82,0.82,221.9,0.81,0.81,0.81,
03/31/1997,1919.0,,-1325.0,,594.0,,-339.0,,,255.0,-6.0,6.0,6.0,,,0.0,249.0,-94.0,155.0,-34.0,,,189.0,,189.0,,,189.0,189.0,,216.2,0.87,0.72,0.72,219.6,0.85,0.7,0.7,
09/30/1997,1718.0,,-1220.0,,498.0,,-320.0,,,178.0,8.0,,7.0,,0.0,-15.0,186.0,-69.0,117.0,8.0,,,109.0,0.0,109.0,0.0,,109.0,109.0,,208.199997,0.53,0.56,0.67,211.100006,0.53,0.55,0.66,
12/31/1997,1602.0,,-1116.0,,486.0,,-302.0,,,184.0,-87.0,,4.0,,0.0,83.0,97.0,-37.0,60.0,-12.0,,,72.0,0.0,72.0,0.0,,72.0,72.0,,204.800003,0.35,0.29,0.6,207.800003,0.35,0.29,0.59,
03/31/1998,1941.0,,-1408.0,,533.0,,-381.0,,,152.0,11.0,,13.0,,0.0,-24.0,163.0,-54.0,109.0,0.0,,,109.0,0.0,109.0,0.0,,109.0,109.0,,200.199997,0.55,0.55,0.55,203.600006,0.53,0.53,0.53,
06/30/1998,1664.0,,-1657.0,,7.0,,-472.0,,,-465.0,10.0,,18.0,,0.0,-28.0,-455.0,35.0,-420.0,62.0,,,-482.0,0.0,-482.0,0.0,,-482.0,-482.0,,195.399994,-2.47,-2.15,0.45,195.399994,-2.47,-2.15,0.45,
09/30/1998,1812.0,,-1263.0,,549.0,,-168.0,,,381.0,-189.0,,23.0,,0.0,166.0,192.0,-63.0,129.0,255.0,,,-126.0,0.0,-126.0,0.0,,-126.0,-126.0,,191.199997,-0.66,0.67,0.67,192.899994,-0.65,0.67,0.67,
12/31/1998,1654.0,,-1135.0,,519.0,,-291.0,,,228.0,-19.0,19.0,19.0,0.0,0.0,0.0,209.0,-75.0,134.0,20.0,,,114.0,0.0,114.0,0.0,,114.0,114.0,,189.9,0.6,0.71,0.71,192.2,0.59,0.7,0.7,
03/31/1999,1726.0,,-1183.0,,543.0,,-298.0,,,245.0,-24.0,24.0,24.0,0.0,0.0,0.0,221.0,-78.0,143.0,0.0,,,143.0,0.0,143.0,0.0,,143.0,143.0,,190.0,0.75,0.75,0.75,193.2,0.74,0.74,0.74,
06/30/1999,1829.0,,-1245.0,,584.0,,-330.0,,,254.0,-21.0,21.0,21.0,0.0,0.0,0.0,233.0,-83.0,150.0,0.0,,,150.0,0.0,150.0,0.0,,150.0,150.0,,190.8,0.79,0.79,0.79,194.5,0.77,0.77,0.77,
09/30/1999,1926.0,,-1352.0,,574.0,,-351.0,,,223.0,0.0,20.0,20.0,,0.0,-20.0,223.0,-71.0,152.0,0.0,,,152.0,0.0,152.0,0.0,,152.0,152.0,,191.0,0.8,0.8,0.8,194.6,0.78,0.78,0.78,
12/31/1999,1106.0,,-717.0,,389.0,,-240.0,240.0,0.0,149.0,-21.0,,21.0,,,,128.0,-41.0,87.0,-70.0,,,157.0,,157.0,,0.0,157.0,157.0,,190.0,0.83,0.46,0.46,192.9,0.81,0.45,0.45,
03/31/2000,1174.0,,-772.0,,402.0,0.0,-262.0,262.0,0.0,140.0,11.0,,17.0,,0.0,-28.0,151.0,-49.0,102.0,-62.0,,,164.0,0.0,164.0,0.0,0.0,164.0,164.0,,189.5,0.87,0.54,0.54,192.0,0.85,0.53,0.53,
06/30/2000,1226.0,,-807.0,,419.0,,-265.0,265.0,0.0,154.0,-18.0,18.0,18.0,0.0,,0.0,136.0,-44.0,92.0,-78.0,,,170.0,,170.0,0.0,0.0,170.0,170.0,,187.2,0.91,0.49,0.49,189.0,0.9,0.49,0.49,
