Date,Revenue,Net Premiums Earned,Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (L),Underwriting Cost (L),Amort Def Acq Cost (L),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/2003,366.3,256.2,256.2,0.0,107.9,2.2,,,-243.3,,243.3,,-51.3,,,,,44.8,-7.0,,37.8,-13.6,,,,24.2,0.0,,,24.2,0.0,24.2,-5.3,0.0,18.9,18.9,,100.098,0.19,0.19,0.19,144.671,0.17,0.17,0.17,
03/31/2004,1110.6,748.4,,,354.8,7.4,,,-719.7,0.0,719.7,0.0,-249.4,,,,,141.5,-29.1,0.0,112.4,-39.6,,,,72.8,0.0,,,72.8,0.0,72.8,-22.9,0.0,49.9,49.9,,100.116,0.5,0.5,0.37,100.588,0.5,0.5,0.37,
06/30/2004,1039.5,737.0,737.0,0.0,298.0,4.5,,,-666.5,0.0,666.5,0.0,-163.6,,,,,127.1,-23.1,2.8,106.8,-38.5,,,,68.3,0.0,,,68.3,0.0,68.3,-23.7,0.0,44.6,44.6,,127.048,0.35,0.35,0.36,146.992,0.34,0.34,0.35,
09/30/2004,1068.9,737.8,737.8,0.0,325.9,5.2,,,-688.4,0.0,688.4,0.0,-170.8,,,,,117.8,-12.9,0.0,104.9,-37.6,,,,67.3,0.0,,,67.3,0.0,67.3,-9.4,0.0,57.9,57.9,,150.885,0.38,0.38,0.38,189.195,0.36,0.36,0.36,
12/31/2004,1111.0,726.099976,,,380.499994,4.4,,,-966.599976,0.0,966.599976,0.0,0.0,,,,,144.399994,-14.4,0.0,129.999994,-43.599998,,,,86.400002,0.0,,,86.399996,0.0,86.400002,-9.5,0.0,76.900002,76.900002,,151.072998,0.51,0.51,0.46,186.944,0.46,0.46,0.42,
03/31/2005,1048.0,727.7,,,316.1,4.2,,,-671.0,,671.0,,-235.1,,,,,141.9,-14.7,,127.2,-45.4,,,,81.8,,,,81.8,,81.8,-9.5,,72.3,72.3,,151.058,0.48,0.48,0.47,186.764,0.44,0.44,0.43,
06/30/2005,1086.7,728.5,,,354.3,3.9,,,-703.4,,703.4,,-227.3,,,,,156.0,-16.1,,139.9,-51.8,,,,88.1,,,,88.1,,88.1,-9.5,,78.6,78.6,,151.058,0.52,0.52,0.49,185.002,0.48,0.48,0.45,
09/30/2005,1113.5,745.7,,,355.9,11.9,,,-725.2,,725.2,,-250.3,,,,,138.0,-12.9,-3.7,121.4,-43.5,,,,77.9,,,,77.9,,77.9,-9.5,,68.4,68.4,,151.114,0.45,0.45,0.49,185.178,0.42,0.42,0.45,
12/31/2005,1078.3,728.2,,,345.4,4.7,,,-701.0,0.0,701.0,0.0,-247.8,,,,,129.5,-14.6,0.0,114.9,-37.8,,,,77.1,0.0,,,77.1,0.0,77.1,-9.5,0.0,67.6,67.6,,151.41,0.45,0.45,0.47,183.217,0.42,0.42,0.44,
03/31/2006,1121.7,754.7,,,362.3,4.7,,,-726.8,,726.8,,-277.4,,,,,117.5,-16.4,,101.1,-36.5,,,,64.6,,,,64.6,,64.6,-9.5,,55.1,55.1,,151.521,0.36,0.36,0.37,183.541,0.35,0.35,0.36,
06/30/2006,1084.1,739.7,,,339.9,4.5,,,-705.2,,705.2,,-239.7,,,,,139.2,-17.1,-157.0,-34.9,12.6,,,,-22.3,,,,-22.3,,-22.3,-9.5,,-31.8,-31.8,,151.514,-0.21,-0.21,0.45,151.514,-0.21,-0.21,0.45,
09/30/2006,1118.3,748.5,,,365.0,4.8,,,-772.6,,772.6,,-251.2,,,,,94.5,-17.8,,76.7,-28.3,,,,48.4,,,,48.4,,48.4,-9.5,,38.9,38.9,,151.663,0.26,0.26,0.35,152.529,0.26,0.26,0.35,
