Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Net Premiums Earned (L),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,899.93103,645.447021,,,,147.511995,106.972,,,-465.838989,465.838989,0.0,0.0,-307.70401,,,,126.388,,0.0,126.388,-22.989,103.399002,0.0,,,103.399,0.0,103.399002,0.0,,103.399002,103.399002,,185.371994,0.5575,0.5025,0.4975,196.936005,0.535,0.48,0.475,
12/31/1988,979.60199,739.395996,,,,160.462997,79.742996,,,-549.161987,549.161987,0.0,0.0,-331.911011,,,,98.528999,,0.0,98.528999,-14.267,84.262001,0.0,,,84.261999,0.0,84.262001,0.0,,84.262001,84.262001,,185.399994,0.455,0.405,0.4225,197.095993,0.4375,0.39,0.4075,
03/31/1989,948.237,671.231018,,,,189.102001,87.903999,,,-485.484985,485.484985,0.0,0.0,-347.332001,,,,115.419998,,0.0,115.419998,-25.188999,90.231003,0.0,,,90.230999,0.0,90.231003,0.0,,90.231003,90.231003,,185.595993,0.485,0.445,0.45,197.244003,0.4675,0.4275,0.4325,
06/30/1989,924.336975,660.419983,,,,176.439996,87.476997,,,-483.490997,483.490997,0.0,0.0,-317.966003,,,,122.879997,,0.0,122.879997,-20.280001,102.599998,0.0,,,102.599997,0.0,102.599998,0.0,,102.599998,102.599998,,187.108002,0.55,0.5125,0.48,197.707993,0.525,0.4875,0.455,
09/30/1989,944.856018,664.067017,,,,186.677006,94.112,,,-538.200989,538.200989,0.0,0.0,-294.846008,,,,111.808998,,0.0,111.808998,-33.021999,78.787003,0.0,,,78.786999,0.0,78.787003,0.0,,78.787003,78.787003,,194.584,0.405,0.365,0.295,198.399994,0.4,0.36,0.29,
12/31/1989,971.218018,672.539001,,,,203.088995,95.589996,,,-512.119995,512.119995,0.0,0.0,-319.80899,,,,139.289001,,0.0,139.289001,-12.749,126.540001,0.0,,,126.540002,0.0,126.540001,0.0,,126.540001,126.540001,,197.287994,0.6475,0.6275,0.5175,198.567993,0.6425,0.6225,0.5125,
03/31/1990,946.955017,704.630981,,,,151.937992,90.386002,,,-529.271973,529.271973,0.0,0.0,-210.684998,,,,97.953003,,0.0,97.953003,-21.039,76.914001,0.0,,,76.914003,0.0,76.914001,-1.497,,75.417001,75.417001,,196.035995,0.3875,0.3875,,196.035995,0.3875,0.3875,0.3875,
06/30/1990,979.263,701.317017,,,,180.653006,97.292999,,,-503.29599,503.29599,0.0,0.0,-208.992004,,,,152.942993,,0.0,152.942993,-39.174999,113.767998,0.0,,,113.767994,0.0,113.767998,-2.011,,111.756998,111.756998,,183.207993,0.61,0.61,,183.207993,0.61,0.61,0.61,
09/30/1990,1005.086975,721.559021,,,,170.394006,113.134003,,,-536.247986,536.247986,0.0,0.0,-208.531006,,,,139.332993,,0.0,139.332993,-32.102001,107.231003,0.0,,,107.230991,0.0,107.231003,-2.011,,105.220003,105.220003,,169.707993,0.62,0.62,,169.707993,0.62,0.62,0.62,
12/31/1990,1073.932007,766.452026,,,,176.867994,130.612,,,-550.960022,550.960022,0.0,0.0,-299.279999,,,,113.676003,,0.0,113.676003,-20.319,93.357002,0.0,,,93.357002,0.0,93.357002,-2.011,,91.346002,91.346002,,169.160004,0.54,0.54,,169.160004,0.54,0.54,0.54,
03/31/1991,1021.166992,744.044006,,,,164.821003,112.302002,,,-549.893005,549.893005,0.0,0.0,-228.421997,,,,105.322998,,0.0,105.322998,-21.152,84.170998,0.0,,,84.170998,0.0,84.170998,-2.01,,82.160998,82.160998,,170.343994,0.485,0.485,,170.343994,0.485,0.485,0.485,
