Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2004,175.646,103.449,97.652,5.797,14.375,14.375,,0.0,0.0,0.0,0.0,0.0,3.799,,,,121.623,5.079,17.407,-12.328,0.0,48.944,,,,,,48.944,54.023,,5.821,5.821,,0.0,,,,,14.607,,,14.607,20.428,0.0,,,,,0.0,,,,,0.0,0.0,20.428,0.0,257.239,,,,-100.637,-1.384,155.218,0.0,155.218,175.646,
03/31/2005,170.312,98.867,57.042,41.825,14.554,14.554,,,,,,,3.779,,,,117.2,4.956,17.477,-12.521,,48.156,,,,,,48.156,53.112,,5.379,5.379,,0.0,,,,,5.125,,,5.125,10.504,,,,,,,,,,,,,,,260.452,,,,-96.521,-4.123,159.808,,159.808,,
06/30/2005,179.256,106.768,37.63,69.138,16.027,16.027,,0.0,0.0,0.0,0.0,0.0,3.798,,,,126.593,4.68,17.686,-13.006,0.0,47.983,,,,,,47.983,52.663,,7.442,7.442,,0.0,,,,,7.516,,,7.516,14.958,0.0,,,,,0.0,,,,,0.0,0.0,14.958,0.0,263.968,,,,-95.756,-3.914,164.298,0.0,164.298,179.256,
09/30/2005,185.695,111.928,54.493,57.435,17.245,17.245,,,,,,,3.773,,,,132.946,4.345,17.908,-13.563,,48.404,,,,,,48.404,52.749,,8.03,8.03,,0.0,,,,,10.232,,,10.232,18.262,0.0,,,,,,,,,,,0.0,18.262,,265.845,,,,-94.585,-3.827,167.433,,167.433,185.695,
12/31/2005,190.462,118.145,58.189,59.956,14.796,14.796,,0.0,0.0,0.0,0.0,0.0,3.799,,,,136.74,4.643,18.777,-14.134,0.0,49.079,,,,,,49.079,53.722,,6.824,6.824,,0.0,,,,,12.774,,,12.774,19.598,0.0,,,,,0.0,,,,,0.0,0.0,19.598,0.0,266.904,,,,-92.495,-3.545,170.864,0.0,170.864,190.462,
03/31/2006,185.499,112.224,52.158,60.066,15.866,15.866,,0.0,0.0,0.0,0.0,0.0,3.764,,,,131.854,4.855,20.653,-15.798,0.0,48.79,,,,,,48.79,53.645,,6.795,6.795,,0.0,,,,,3.488,,,3.488,10.283,0.0,,,,,0.0,,,,,0.0,0.0,10.283,0.0,277.476,,,,-91.409,-10.851,175.216,0.0,175.216,185.499,
06/30/2006,189.43,116.187,51.291,64.896,16.893,16.893,,0.0,0.0,0.0,0.0,0.0,3.799,,,,136.879,4.931,21.5,-16.569,0.0,47.62,,,,,,47.62,52.551,,5.738,5.738,,0.0,,,,,6.216,,,6.216,11.954,0.0,,,,,0.0,,,,,0.0,0.0,11.954,0.0,269.766,,,,-90.609,-1.681,177.476,0.0,177.476,189.43,
09/30/2006,197.455,123.501,65.293,58.208,18.796,18.796,,0.0,0.0,0.0,0.0,0.0,3.757,,,,146.054,4.635,21.913,-17.278,0.0,46.766,,,,,,46.766,51.401,,7.401,7.401,,0.0,,,,,9.098,,,9.098,16.499,0.0,,,,,0.0,,,,,0.0,0.0,16.499,0.0,272.016,,,,-89.312,-1.748,180.956,0.0,180.956,197.455,
12/31/2006,204.278,131.015,82.0,49.015,17.429,17.429,,0.0,0.0,0.0,0.0,0.0,3.798,,,,152.242,4.304,22.336,-18.032,0.0,47.732,,,,,,47.732,52.036,,5.514,5.514,,0.0,,,,,13.479,,,13.479,18.993,0.0,,,,,0.0,,,,,0.0,0.0,18.993,0.0,276.787,,,-2.653,-87.074,-1.775,185.285,0.0,185.285,204.278,
03/31/2007,189.174,112.729,68.291,44.438,19.998,19.998,,,,,,,3.765,,,,136.492,3.896,22.692,-18.796,,48.786,,,,,,48.786,52.682,,8.464,8.464,,0.0,,,,,6.364,,,6.364,14.828,0.0,,,,,,,,,,,0.0,14.828,,281.978,,,-21.192,-84.624,-1.816,174.346,,174.346,189.174,
