Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,261.399994,140.199997,91.900002,-15.2,,-15.2,44.5,,,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,231.800003,155.899994,93.0,31.6,,31.6,-48.700001,,,-48.700001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,247.600006,142.899994,93.0,15.0,,15.0,-3.3,,,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,253.899994,117.099998,95.099998,7.9,,7.9,33.799999,,,33.799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.899994,,,
03/31/1991,229.5,100.0,94.900002,28.5,,28.5,6.1,,,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,246.600006,134.0,95.699997,14.5,,14.5,2.4,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,244.600006,150.300003,94.699997,17.1,,17.1,-17.5,,,-17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,41.700001,-354.600006,96.0,357.899994,,357.899994,-57.599998,,,-57.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.700001,,,
03/31/1992,284.0,138.699997,98.0,-25.1,,-25.1,72.400002,,,72.400002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,216.699997,145.0,97.699997,-10.9,,-10.9,-15.1,,,-15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,193.399994,145.800003,99.099998,-54.299999,,-54.299999,2.8,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,264.100006,128.199997,101.800003,61.200001,,61.200001,-27.1,,,-27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.100006,,,
03/31/1993,214.600006,362.200012,103.800003,-258.200012,,-258.200012,6.8,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,264.299988,155.199997,105.099998,1.9,,1.9,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,266.600006,95.199997,98.900002,38.900002,,38.900002,33.599998,,,33.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,129.100006,159.399994,97.699997,-80.0,,-80.0,-48.0,,,-48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.100006,,,
03/31/1994,223.5,144.899994,100.199997,-25.299999,,-25.299999,3.7,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,321.399994,178.5,102.800003,6.5,,6.5,33.599998,,,33.599998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,312.100006,168.300003,102.699997,46.599998,,46.599998,-5.5,,,-5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,287.299988,176.100006,98.099998,11.7,,11.7,1.4,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.299988,,,
03/31/1995,338.899994,170.699997,101.0,-22.700001,,-22.700001,89.900002,,,89.900002,,,-183.199997,,,,-183.199997,,,,,,,,,,183.199997,,,,,,,,,,,,,,,
06/30/1995,284.799988,181.199997,102.599998,14.7,,14.7,-13.7,,,-13.7,,,-149.5,,,,-149.5,,,,,,,,,,149.5,,,,,,,,,,,,,,,
09/30/1995,290.5,183.899994,104.5,2.7,,2.7,-0.6,,,-0.6,,,-164.899994,,,,-164.899994,,,,,,,,,,164.899994,,,,,,,,,,,,,,,
12/31/1995,323.200012,176.899994,105.400002,2.6,,2.6,38.299999,,,38.299999,,-161.300003,-161.300003,,,,-161.300003,,,,,,,,,,0.0,,,,,,,,,,,,161.900009,,,
03/31/1996,320.5,168.100006,105.599998,0.4,,0.4,46.400002,,,46.400002,,-163.0,-163.0,,,,-163.0,,,,,,,,,,0.0,,,,,,,,,,,,157.5,,,
06/30/1996,289.899994,199.5,107.199997,-16.5,,-16.5,-0.3,,,-0.3,,-174.399994,-174.399994,,,,-174.399994,,,,,,,,,,0.0,,,,,,,,,,,,115.5,,,
