Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Discontinued Operations,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/03/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,
10/02/2015,7337.2,0.0,0.0,0.0,970.4,970.4,0.0,551.9,274.9,88.9,188.1,0.0,230.5,,230.5,1752.8,503.4,1474.6,-971.2,0.0,5081.0,4713.6,3943.0,770.6,,367.4,5584.4,,1278.7,609.7,669.0,0.0,0.0,,,,,0.0,,,0.0,1278.7,0.0,0.0,,,,803.2,,,,,803.2,803.2,2081.9,,0.0,,,0.0,0.0,5252.0,5252.0,3.3,5255.3,7337.2,
12/31/2015,7210.6,0.0,0.0,,979.3,979.3,,522.9,261.7,77.1,184.1,0.0,91.9,0.0,91.9,1594.1,514.8,1491.6,-976.8,0.0,5101.7,4708.0,3949.0,759.0,,393.7,5616.5,,1146.2,657.1,489.1,0.0,0.0,0.0,0.0,,,177.3,83.9,0.0,0.0,1323.5,0.0,0.0,0.0,0.0,,704.6,0.0,206.6,119.2,87.4,414.1,704.6,2028.1,0.0,,,,0.0,0.0,5179.5,5179.5,3.0,5182.5,7210.6,
04/01/2016,7212.6,0.0,0.0,0.0,929.6,929.6,0.0,553.6,276.8,80.3,196.5,0.0,88.4,,88.4,1571.6,519.1,1515.2,-996.1,0.0,5121.9,4723.3,3973.3,750.0,,398.6,5641.0,,1244.4,625.6,618.8,0.0,0.0,,,,,0.0,,,0.0,1244.4,0.0,0.0,,,,706.9,,,,,706.9,706.9,1951.3,0.0,,,,0.0,,5258.1,5258.1,3.2,5261.3,7212.6,
07/01/2016,7787.1,487.2,487.2,0.0,948.2,948.2,0.0,557.5,269.5,83.4,204.6,0.0,169.1,,169.1,2162.0,534.0,1539.2,-1005.2,0.0,5091.1,4689.0,3962.4,726.6,,402.1,5625.1,,1350.2,644.2,706.0,0.0,0.0,,,,,0.0,,,0.0,1350.2,3374.8,3374.8,,,,689.7,,,,,689.7,4064.5,5414.7,0.0,3.5,3.452,0.048,0.0,,2365.8,2369.3,3.1,2372.4,7787.1,
09/30/2016,8133.3,724.8,724.8,0.0,972.0,972.0,0.0,558.1,273.5,80.4,204.2,0.0,104.3,,104.3,2359.2,538.3,1544.6,-1006.3,0.0,5235.8,4823.8,4048.0,775.8,,412.0,5774.1,,1369.0,619.4,749.6,0.0,0.0,,,,,0.0,,,0.0,1369.0,3509.1,3509.1,,,,695.6,,,,,695.6,4204.7,5573.7,0.0,2378.8,3.5,2375.3,0.0,202.7,-25.5,2556.0,3.6,2559.6,8133.3,
12/31/2016,8189.8,803.2,803.2,0.0,945.4,945.4,,544.6,267.0,79.3,198.3,0.0,195.5,0.0,195.5,2488.7,547.6,1551.8,-1004.2,0.0,5153.5,4726.3,3979.0,747.3,,427.2,5701.1,,1466.5,666.2,800.3,0.0,,,,,,0.0,80.1,0.0,0.0,1466.5,3358.0,3358.0,,,,674.3,0.0,177.2,127.4,49.8,417.0,4032.3,5498.8,0.0,2430.7,3.5,2427.2,,403.0,-145.8,2687.9,3.1,2691.0,8189.8,
03/31/2017,8234.3,817.6,817.6,0.0,944.1,944.1,0.0,571.6,271.6,90.1,209.9,0.0,184.1,,184.1,2517.4,552.9,1580.5,-1027.6,0.0,5164.0,4735.4,3999.2,736.2,,428.6,5716.9,,1401.0,623.3,777.7,0.0,0.0,,,,,0.0,,,0.0,1401.0,3262.7,3262.7,,,,678.7,,,,,678.7,3941.4,5342.4,0.0,2411.3,3.5,2407.8,0.0,578.5,-101.4,2888.4,3.5,2891.9,8234.3,
06/30/2017,8467.1,968.4,968.4,0.0,985.0,985.0,0.0,560.6,268.2,89.6,202.8,0.0,187.7,,187.7,2701.7,562.8,1615.9,-1053.1,0.0,5202.6,4761.9,4032.1,729.8,,440.7,5765.4,,1370.8,648.6,722.2,0.0,0.0,,,,,0.0,,,0.0,1370.8,3208.1,3208.1,,,,715.2,,,,,715.2,3923.3,5294.1,0.0,2430.6,3.5,2427.1,,794.2,-55.3,3169.5,3.5,3173.0,8467.1,
