Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1997,7.12,,,-4.236,,2.884,,-2.736,,,0.148,-0.125,,0.126,,0.0,-0.001,0.023,-0.002,0.021,0.0,,,0.021,0.0,0.021,0.0,,0.021,0.021,,437.904,4.2e-05,4.2e-05,4.2e-05,437.904,4.2e-05,4.2e-05,4.2e-05,
06/30/1997,11.496,,,-6.791,,4.705,,-3.956,,,0.749,-0.148,,0.148,,0.0,0.0,0.601,-0.038,0.563,0.0,,,0.563,0.0,0.563,0.0,,0.563,0.563,,442.32,0.00125,0.00125,0.00125,442.512,0.00125,0.00125,0.00125,
09/30/1997,13.438,,,-7.924,,5.514,,-4.836,,,0.678,-0.177,,0.14,,0.0,0.037,0.501,0.0,0.501,0.0,,,0.501,0.0,0.501,0.0,,0.501,0.501,,442.32,0.001042,0.001042,0.001042,442.512,0.001042,0.001042,0.001042,
03/31/1998,11.264856,,,-5.613428,,5.651428,,-4.367286,,,1.284142,-0.108833,0.108833,0.109936,-0.001103,0.0,0.0,1.175309,-0.470123,0.705186,0.0,,,0.705186,0.0,0.705186,0.0,,0.705186,0.705186,,438.281712,0.001667,0.001667,0.001667,467.532672,0.001458,0.001458,0.001458,
09/30/1998,16.589001,,,-8.704,,7.885001,,-6.078,,,1.807,-0.051,,0.051,,0.0,0.0,1.756,-0.624,1.132,0.0,,,1.132,0.0,1.132,0.0,,1.132,1.132,,449.136,0.0025,0.0025,0.0025,506.4,0.002292,0.002292,0.002292,
12/31/1998,12.061,,,-6.005,,6.056,,-4.756,,,1.3,-0.067,,0.124,,0.0,-0.057,1.233,-0.523,0.71,0.0,,,0.71,0.0,0.71,0.0,,0.71,0.71,,475.632,0.001458,0.001458,0.001458,519.12,0.001458,0.001458,0.001458,
03/31/1999,15.229,,,-7.821,,7.408,,-5.86,,,1.548,-0.037,0.036841,0.063,-0.026159,0.0,0.000159,1.511,-0.602,0.909,0.0,,,0.909,0.0,0.909,0.0,,0.909,0.909,,476.4,0.001875,0.001875,0.001875,505.056,0.001875,0.001875,0.001875,
06/30/1999,19.142,,,-10.162,,8.98,,-6.57,,,2.41,-0.016,0.016,0.04,-0.024,0.0,0.0,2.394,-0.954,1.44,0.0,,,1.44,0.0,1.44,0.0,,1.44,1.44,,477.648,0.003125,0.003125,0.003125,510.624,0.002917,0.002917,0.002917,
09/30/1999,20.491,,,-11.061,,9.43,,-7.198,,,2.232,0.006,-0.005758,0.035,-0.040758,0.0,-0.000242,2.238,-0.902,1.336,0.0,,,1.336,0.0,1.336,0.0,,1.336,1.336,,478.848,0.002708,0.002708,0.002708,510.0,0.0025,0.0025,0.0025,
12/31/1999,17.441,,,-9.733,,7.708,,-6.398,,,1.31,-0.005,0.005504,0.033,-0.027496,0.0,-0.000504,1.305,-0.513,0.792,0.0,,,0.792,0.0,0.792,0.0,,0.792,0.792,,480.336,0.001667,0.001667,0.001667,498.0,0.001667,0.001667,0.001667,
03/31/2000,15.978,,,-8.774,,7.204,,-6.036,,,1.168,-0.021,0.020756,0.028,-0.007244,0.0,0.000244,1.147,-0.459,0.688,0.0,,,0.688,0.0,0.688,0.0,0.0,0.688,0.688,,479.952,0.001458,0.001458,0.001458,503.136,0.001458,0.001458,0.001458,
06/30/2000,22.667,,,-11.975,,10.692,,-7.876,,,2.816,-0.063,0.062694,0.064,-0.001306,0.0,0.000306,2.753,-1.101,1.652,0.0,,,1.652,0.0,1.652,0.0,0.0,1.652,1.652,,477.216,0.003542,0.003542,0.003542,497.664,0.003333,0.003333,0.003333,
09/30/2000,22.702,,,-11.723,,10.979,,-8.659,,,2.32,-0.075,0.074083,0.077,-0.002917,0.0,0.000917,2.245,-0.88,1.365,0.0,,,1.365,0.0,1.365,0.0,0.0,1.365,1.365,,477.024,0.002917,0.002917,0.002917,502.464,0.002708,0.002708,0.002708,
12/31/2000,18.385709,,,-10.174677,,8.211032,,-7.614682,,,0.59635,-0.210238,0.211705,0.213152,-0.001447,0.0,-0.001467,0.386112,-0.175986,0.210126,0.0,,,0.210126,0.0,0.210126,0.0,0.0,0.210126,0.210126,,477.694656,0.000417,0.000417,0.000417,494.630976,0.000417,0.000417,0.000417,
03/31/2001,16.908114,,,-10.607868,,6.300246,,-5.556159,,,0.744087,-0.201672,0.201672,0.202956,-0.001284,0.0,0.0,0.542415,-0.216967,0.325448,0.0,,,0.325448,0.0,0.325448,0.0,0.0,0.325448,0.325448,,480.47784,0.000625,0.000625,0.000625,494.721552,0.000625,0.000625,0.000625,
