Date,Level 1 Assets,Level 2 Assets,Total FV Assets,Level 2 Liabilities,Total FV Liabilities,Level 1 Assets/Total Equity,Level 2 Assets/Total Equity,Total FV Assets/Total Equity,Level 1 Assets/Total Assets,Level 2 Assets/Total Assets,Total FV Assets/Total Assets,Source: Bloomberg
09/30/2008,185.1,394.9,,583.5,,3.466747,7.396101,,1.074177,2.291693,,
12/31/2008,6.9,228.9,235.8,714.4,714.4,0.142365,4.722801,4.865166,0.042462,1.408633,1.451095,
03/31/2009,12.2,207.2,219.4,544.0,544.0,0.257857,4.379346,4.637203,0.080966,1.37509,1.456056,
06/30/2009,13.5,172.9,186.4,639.9,639.9,0.274614,3.517087,3.791701,0.090467,1.158653,1.24912,
09/30/2009,47.5,211.1,258.6,503.7,503.7,0.94379,4.194401,5.138191,0.321002,1.426602,1.747604,
12/31/2009,,,,,,0.127359,4.400729,4.528087,0.044615,1.541629,1.586245,
03/31/2010,2.9,258.4,261.3,110.1,110.1,0.056945,5.074029,5.130974,0.020729,1.847034,1.867763,
06/30/2010,2.5,309.6,312.1,89.0,89.0,0.050056,6.198943,6.248999,0.018626,2.306609,2.325235,
09/30/2010,2.9,367.2,370.1,106.9,106.9,0.054552,6.907449,6.962002,0.020739,2.625952,2.646691,
12/31/2010,2.7,457.9,460.6,112.6,112.6,0.050394,8.546418,8.596812,0.018969,3.216923,3.235891,
03/31/2011,2.7,1020.7,1023.4,108.4,108.4,0.047797,18.069005,18.116802,0.017841,6.74455,6.762391,
06/30/2011,2.5,1064.7,1067.2,117.5,117.5,0.042273,18.003044,18.045316,0.015336,6.531501,6.546838,
09/30/2011,1.9,922.9,924.8,97.2,97.2,0.033966,16.498329,16.532294,0.011618,5.643164,5.654782,
12/31/2011,1.9,910.6,912.5,110.5,110.5,0.035419,16.974871,17.01029,0.011064,5.302602,5.313666,
03/31/2012,0.6,949.3,949.9,108.8,108.8,0.010491,16.598766,16.609257,0.003304,5.228056,5.231361,
06/30/2012,0.6,933.1,933.7,115.7,115.7,0.010504,16.335498,16.346002,0.003289,5.114334,5.117623,
09/30/2012,0.5,958.3,958.8,115.1,115.1,0.008529,16.347384,16.355913,0.002675,5.126655,5.12933,
12/31/2012,0.6,1197.2,1197.8,113.0,113.0,0.010262,20.475808,20.48607,0.003221,6.426953,6.430174,
03/31/2013,0.3,1190.8,1191.1,93.0,93.0,0.005044,20.020511,20.025555,0.001593,6.322574,6.324167,
06/30/2013,0.4,1228.8,1229.2,57.5,57.5,0.006545,20.106028,20.112573,0.002083,6.399333,6.401417,
09/30/2013,0.4,1231.6,1232.0,75.5,75.5,0.006172,19.003533,19.009705,0.001969,6.06353,6.0655,
12/31/2013,5.2,1310.3,1315.5,68.6,68.6,0.078381,19.750388,19.828769,0.02509,6.322164,6.347253,
03/31/2014,5.3,1292.9,1298.2,52.9,52.9,0.07722,18.837328,18.914548,0.025731,6.276945,6.302676,
06/30/2014,5.3,1360.7,1366.0,,66.6,0.07403,19.006048,19.080078,0.02535,6.508222,6.533572,
09/30/2014,5.2,1379.6,1384.8,49.6,49.6,0.072598,19.260893,19.333492,0.024731,6.561369,6.5861,
12/31/2014,7.7,1353.5,1361.2,48.5,48.5,0.11402,20.04235,20.15637,0.037345,6.564398,6.601742,
03/31/2015,8.7,1218.5,1227.2,152.4,152.4,0.129241,18.101194,18.230436,0.042801,5.994549,6.03735,
06/30/2015,7.7,1521.4,1529.1,75.4,75.4,0.106669,21.076109,21.182778,0.035956,7.104267,7.140222,
09/30/2015,7.7,1549.8,1557.5,62.1,62.1,0.10485,21.103516,21.208366,0.035781,7.20174,7.237521,
12/31/2015,15.1,1570.3,1585.4,48.2,48.2,0.217567,22.625497,22.843064,0.071531,7.438725,7.510256,
03/31/2016,15.8,1544.6,1560.4,62.7,62.7,0.249086,24.350486,24.599571,0.073981,7.232323,7.306304,
06/30/2016,15.6,1526.1,1541.7,55.0,55.0,0.232499,22.744683,22.977182,0.072805,7.122256,7.19506,
09/30/2016,15.4,1161.2,1176.6,65.7,65.7,0.220687,16.640394,16.861082,0.073442,5.537725,5.611167,
12/31/2016,15.4,1243.9,1259.3,49.3,49.3,0.227219,18.353104,18.580323,0.074616,6.026968,6.101585,
03/31/2017,16.0,1261.7,1277.7,71.3,71.3,0.226011,17.822384,18.048395,0.076047,5.996759,6.072805,
06/30/2017,15.1,1289.1,1304.2,82.9,82.9,0.20132,17.186854,17.388174,0.06847,5.845384,5.913854,
09/30/2017,12.2,1255.5,1267.7,97.1,97.1,0.153738,15.82111,15.974848,0.052805,5.434147,5.486952,
12/31/2017,48.7,1376.2,1424.9,103.0,103.0,0.604931,17.09459,17.699522,0.207763,5.87111,6.078873,
03/31/2018,58.7,1037.8,1096.5,112.3,112.3,0.685163,12.113501,12.798665,0.246828,4.36386,4.610688,
06/30/2018,58.7,1045.1,1103.8,30.3,30.3,0.668611,11.904003,12.572613,0.243006,4.326497,4.569503,
09/30/2018,90.7,971.4,1062.1,34.5,34.5,0.988987,10.592084,11.581071,0.361306,3.869595,4.230901,
12/31/2018,97.1,1018.0,1115.1,24.6,24.6,1.130003,11.84699,12.976993,0.381047,3.994914,4.375961,
03/31/2019,111.0,1038.6,1149.6,26.5,26.5,1.219043,11.406293,12.625336,0.424361,3.970639,4.394999,
06/30/2019,107.2,1079.6,1186.8,34.1,34.1,1.112564,11.204517,12.317081,0.394579,3.973763,4.368342,
09/30/2019,126.2,1085.4,1211.6,32.0,32.0,1.266725,10.894637,12.161362,0.454485,3.908858,4.363343,
12/31/2019,128.4,1090.0,1218.4,44.3,44.3,1.322879,11.230051,12.552931,0.452733,3.843292,4.296025,
03/31/2020,122.5,1188.4,1310.9,67.7,67.7,1.27109,12.331127,13.602216,0.448805,4.353959,4.802764,
06/30/2020,118.4,1165.8,1284.2,55.2,55.2,1.21103,11.924147,13.135177,0.448376,4.414839,4.863215,
